,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csd_con_ROIv_scale250,mean,bag_of_edges,standard,LR,0.75,0.129886986918,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.794545454545,0.120343859952,"[ 0.81818182  0.90909091  0.90909091  1.          0.54545455  0.81818182
  0.90909091  0.90909091  0.81818182  0.90909091  0.72727273  0.81818182
  0.63636364  0.90909091  0.81818182  0.72727273  0.90909091  0.63636364
  0.81818182  1.          0.63636364  0.72727273  0.72727273  0.81818182
  0.54545455  0.63636364  0.63636364  0.72727273  0.81818182  0.54545455
  0.81818182  1.          0.54545455  0.81818182  0.72727273  0.81818182
  0.81818182  0.81818182  0.63636364  0.90909091  0.90909091  0.90909091
  0.81818182  0.81818182  0.72727273  0.81818182  0.90909091  0.81818182
  0.90909091  0.81818182]",0.71336996337,0.101273833202,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.848333333333,0.128225062553,"[ 0.5         1.          0.95833333  0.91666667  0.66666667  0.75
  0.95833333  0.83333333  0.875       1.          0.79166667  0.83333333
  0.875       1.          0.91666667  1.          0.875       0.54166667
  0.91666667  1.          0.70833333  0.625       0.79166667  0.83333333
  0.70833333  0.875       0.79166667  0.75        0.79166667  0.66666667
  0.95833333  1.          0.625       0.95833333  0.83333333  0.79166667
  0.875       0.95833333  0.91666667  0.91666667  0.58333333  0.91666667
  1.          1.          0.875       0.83333333  0.875       0.95833333
  0.91666667  0.875     ]"
1,IPCAS_1_deter_csd_con_ROIv_scale250,mean,bag_of_edges,standard,SGD,0.75,0.0728885643482,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0445361771415,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.63636364  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.90909091  0.72727273  0.54545455  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.63636364  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273]",0.677083333333,0.124759247265,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9275,0.156082688199,"[ 0.41666667  1.          1.          1.          0.83333333  0.875       1.
  1.          1.          0.95833333  0.375       1.          1.          1.
  1.          1.          1.          0.54166667  0.5         1.          0.75
  1.          1.          1.          0.95833333  1.          1.
  0.91666667  1.          1.          1.          1.          0.95833333
  1.          1.          1.          1.          1.          0.66666667
  1.          0.95833333  1.          1.          1.          1.          1.
  0.79166667  1.          0.875       1.        ]"
2,IPCAS_1_deter_csd_con_ROIv_scale250,mean,degrees,standard,LR,0.788461538462,0.0348005064552,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.9,0.109469041625,"[ 0.81818182  0.90909091  1.          1.          1.          0.81818182
  0.90909091  0.72727273  0.90909091  0.90909091  0.81818182  1.          1.
  0.81818182  1.          0.90909091  1.          0.63636364  0.63636364
  0.90909091  0.63636364  0.90909091  0.90909091  0.72727273  0.63636364
  0.90909091  1.          1.          0.90909091  0.90909091  0.90909091
  1.          0.81818182  1.          1.          0.90909091  0.90909091
  1.          0.72727273  1.          1.          1.          1.          1.
  1.          0.90909091  0.81818182  0.90909091  0.90909091  0.90909091]",0.82326007326,0.151192181774,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.944166666667,0.105938268188,"[ 0.58333333  1.          1.          1.          1.          0.83333333
  1.          0.875       1.          1.          0.70833333  1.          1.
  1.          1.          1.          1.          0.58333333  0.79166667
  1.          0.79166667  0.95833333  1.          0.91666667  0.79166667
  1.          1.          1.          1.          0.95833333  1.          1.
  1.          1.          1.          1.          1.          1.
  0.83333333  1.          1.          1.          1.          1.          1.
  0.95833333  0.75        0.91666667  0.95833333  1.        ]"
3,IPCAS_1_deter_csd_con_ROIv_scale250,mean,degrees,standard,SGD,0.807692307692,0.103564468748,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.898181818182,0.0884017874992,"[ 0.72727273  1.          1.          0.90909091  0.72727273  0.90909091
  0.90909091  0.81818182  0.90909091  1.          0.81818182  0.90909091
  1.          0.81818182  0.90909091  1.          1.          0.81818182
  0.72727273  0.90909091  0.81818182  0.90909091  0.90909091  0.72727273
  0.72727273  0.90909091  0.90909091  1.          0.90909091  1.
  0.90909091  0.90909091  0.90909091  1.          0.81818182  0.90909091
  0.90909091  1.          0.81818182  0.90909091  0.90909091  1.          1.
  1.          1.          0.81818182  0.81818182  1.          0.72727273
  0.90909091]",0.768772893773,0.203861559765,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.959166666667,0.0855902707347,"[ 0.70833333  1.          1.          1.          0.95833333  1.          1.
  1.          1.          1.          0.79166667  1.          0.95833333
  1.          1.          1.          1.          0.625       0.70833333
  1.          1.          0.91666667  1.          0.91666667  0.95833333
  1.          1.          1.          0.95833333  1.          1.          1.
  0.95833333  1.          1.          1.          1.          1.
  0.79166667  1.          1.          1.          1.          1.
  0.91666667  1.          0.875       1.          0.91666667  1.        ]"
4,IPCAS_1_deter_csd_con_ROIv_scale250,mean,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.599301739927,0.21023548568,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.85625,0.174465950992,"[ 0.41666667  0.75        1.          1.          0.66666667  1.          1.
  1.          1.          0.77083333  0.4375      1.          1.
  0.83333333  0.79166667  0.79166667  0.83333333  0.54166667  0.58333333
  0.72916667  0.66666667  0.66666667  0.70833333  0.95833333  0.66666667
  1.          1.          0.95833333  0.625       0.79166667  1.          1.
  0.95833333  1.          1.          0.70833333  0.70833333  1.          0.5
  1.          1.          1.          0.95833333  1.          1.
  0.79166667  1.          1.          1.          1.        ]"
5,IPCAS_1_deter_csd_con_ROIv_scale250,mean,closeness_centrality,standard,SGD,0.769230769231,0.0918663367292,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.878181818182,0.111503622592,"[ 0.54545455  0.72727273  1.          1.          0.81818182  0.72727273
  1.          1.          0.90909091  0.81818182  0.54545455  0.90909091
  0.90909091  0.90909091  0.81818182  0.90909091  0.90909091  0.72727273
  0.72727273  0.90909091  0.81818182  0.81818182  0.90909091  0.81818182
  0.72727273  1.          1.          1.          0.90909091  0.90909091
  1.          1.          0.81818182  1.          0.90909091  0.90909091
  0.81818182  1.          0.81818182  1.          0.90909091  0.81818182
  0.90909091  1.          0.90909091  0.90909091  0.72727273  0.90909091
  0.81818182  1.        ]",0.722699175824,0.156260052391,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.815416666667,0.179554328671,"[ 0.4375      0.66666667  1.          1.          0.83333333  0.75        1.
  1.          0.95833333  0.70833333  0.52083333  0.875       1.          0.75
  0.66666667  0.54166667  0.70833333  0.375       0.45833333  0.60416667
  0.83333333  0.66666667  0.75        1.          0.625       1.          1.
  1.          0.66666667  0.625       1.          1.          0.625       1.
  1.          0.66666667  0.75        1.          0.83333333  1.          1.
  0.91666667  1.          0.95833333  0.95833333  0.75        0.75        0.875
  0.91666667  0.75      ]"
6,IPCAS_1_deter_csd_con_ROIv_scale250,mean,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.6163003663,0.103193792423,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.562916666667,0.184018133919,"[ 0.375       0.41666667  0.75        0.5         0.66666667  0.625
  0.33333333  0.45833333  0.83333333  0.58333333  0.54166667  0.625       0.25
  0.45833333  0.66666667  0.125       0.5         0.45833333  0.70833333
  0.375       0.625       0.33333333  0.875       0.5         0.5         0.4375
  0.79166667  0.625       0.66666667  0.70833333  0.66666667  0.83333333
  0.58333333  0.66666667  0.75        0.66666667  0.70833333  0.16666667
  0.79166667  0.29166667  0.75        0.5         0.29166667  0.625       0.75
  0.70833333  0.625       0.625       0.16666667  0.66666667]"
7,IPCAS_1_deter_csd_con_ROIv_scale250,mean,betweenness_centrality,standard,SGD,0.730769230769,0.0716740575228,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.709090909091,0.0979120874024,"[ 0.72727273  0.72727273  0.63636364  0.81818182  0.72727273  0.81818182
  0.63636364  0.72727273  0.90909091  0.72727273  0.45454545  0.72727273
  0.81818182  0.72727273  0.81818182  0.72727273  0.63636364  0.63636364
  0.54545455  0.63636364  0.63636364  0.54545455  0.63636364  0.63636364
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.54545455
  0.81818182  0.72727273  0.72727273  0.81818182  0.72727273  0.81818182
  0.81818182  0.72727273  0.81818182  0.72727273  0.72727273  0.54545455
  0.54545455  0.81818182  0.81818182  0.54545455  0.81818182  0.72727273
  0.63636364  0.63636364]",0.690934065934,0.205987731442,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.613333333333,0.187646239267,"[ 0.54166667  0.45833333  0.58333333  0.58333333  0.75        0.91666667
  0.58333333  0.45833333  0.95833333  0.54166667  0.33333333  0.41666667
  0.58333333  0.54166667  0.75        0.54166667  0.79166667  0.83333333
  0.25        0.375       0.625       0.33333333  0.875       0.58333333
  0.25        0.875       0.66666667  0.91666667  0.45833333  0.75        0.875
  0.75        0.75        0.5         0.45833333  0.41666667  0.79166667
  0.33333333  0.41666667  0.54166667  0.70833333  0.45833333  0.45833333
  0.79166667  0.875       0.54166667  0.75        0.66666667  0.625
  0.83333333]"
8,IPCAS_1_deter_csd_con_ROIv_scale250,mean,eigenvector_centrality,standard,LR,0.769230769231,0.135089076663,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.832727272727,0.108116863617,"[ 0.63636364  0.81818182  1.          1.          0.72727273  0.81818182
  0.81818182  0.81818182  0.90909091  0.81818182  0.72727273  0.90909091
  1.          0.90909091  0.81818182  0.90909091  0.72727273  0.54545455
  0.81818182  0.90909091  0.72727273  0.81818182  0.81818182  0.54545455
  0.72727273  0.81818182  1.          0.81818182  0.90909091  0.72727273
  0.90909091  1.          0.90909091  0.72727273  0.72727273  0.81818182
  0.81818182  1.          0.90909091  1.          0.81818182  0.81818182
  0.81818182  0.90909091  0.90909091  0.72727273  0.72727273  0.90909091
  0.81818182  0.81818182]",0.768543956044,0.240276336157,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.8075,0.134342534838,"[ 0.58333333  0.70833333  0.5         0.79166667  0.66666667  0.83333333
  0.83333333  0.83333333  0.91666667  0.79166667  0.5         1.
  0.91666667  0.83333333  0.625       0.45833333  0.625       0.79166667
  0.83333333  0.83333333  0.83333333  0.83333333  0.66666667  0.79166667
  0.79166667  0.75        0.83333333  0.91666667  0.875       0.75
  0.83333333  0.91666667  0.95833333  1.          0.875       0.83333333
  0.75        0.79166667  1.          0.83333333  0.95833333  0.875
  0.95833333  1.          0.875       0.5         0.79166667  0.875
  0.91666667  0.91666667]"
9,IPCAS_1_deter_csd_con_ROIv_scale250,mean,eigenvector_centrality,standard,SGD,0.826923076923,0.0994238077069,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.821818181818,0.0871210803688,"[ 0.72727273  0.81818182  0.90909091  0.81818182  0.72727273  0.72727273
  0.90909091  0.90909091  0.81818182  0.90909091  0.72727273  0.90909091
  0.81818182  0.81818182  0.90909091  0.72727273  0.72727273  0.63636364
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.63636364
  0.81818182  0.81818182  0.90909091  1.          0.81818182  0.90909091
  0.90909091  0.81818182  0.90909091  0.81818182  0.90909091  0.81818182
  0.81818182  1.          0.72727273  0.90909091  0.81818182  0.81818182
  1.          0.81818182  0.90909091  0.81818182  0.72727273  0.81818182
  0.72727273  0.81818182]",0.753434065934,0.227782455991,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.8075,0.142616911106,"[ 0.54166667  0.66666667  1.          0.79166667  0.66666667  0.83333333
  0.83333333  0.875       0.91666667  0.66666667  0.41666667  0.91666667
  0.875       0.875       0.625       0.5         0.54166667  0.58333333
  0.79166667  0.875       0.75        0.83333333  0.70833333  0.91666667
  0.70833333  0.75        0.875       0.91666667  0.875       0.75
  0.83333333  0.95833333  0.83333333  1.          0.95833333  0.79166667
  0.75        0.95833333  1.          0.875       0.83333333  0.91666667
  1.          0.95833333  0.875       0.5         0.83333333  0.875
  0.83333333  0.91666667]"
