,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_dti_con_aparc150+subcort,binar,bag_of_edges,standard,LR,0.75,0.0426173593297,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.776363636364,0.10634420957,"[ 0.72727273  0.81818182  0.81818182  0.90909091  0.72727273  0.72727273
  0.81818182  0.90909091  0.81818182  1.          0.72727273  0.81818182
  0.81818182  0.81818182  0.90909091  0.90909091  0.72727273  0.45454545
  0.63636364  0.72727273  0.81818182  0.81818182  0.72727273  0.81818182
  0.63636364  0.72727273  0.81818182  0.72727273  0.63636364  0.81818182
  0.90909091  0.72727273  0.90909091  0.81818182  0.63636364  0.81818182
  0.81818182  0.90909091  0.54545455  0.81818182  0.81818182  0.90909091
  0.72727273  0.81818182  0.72727273  0.72727273  0.63636364  0.81818182
  0.81818182  0.54545455]",0.642055860806,0.233611714538,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.814166666667,0.150741224178,"[ 0.54166667  0.91666667  0.95833333  0.91666667  0.83333333  0.75        0.75
  0.70833333  0.91666667  1.          0.375       0.91666667  0.79166667
  0.875       1.          1.          0.79166667  0.625       1.          1.
  0.95833333  1.          0.83333333  0.79166667  0.79166667  0.5
  0.70833333  0.70833333  0.875       0.79166667  0.75        0.83333333
  0.83333333  0.75        0.83333333  0.83333333  0.91666667  0.875
  0.33333333  0.83333333  1.          0.95833333  0.91666667  0.875       0.75
  0.79166667  0.625       0.91666667  0.70833333  0.75      ]"
1,IPCAS_1_deter_dti_con_aparc150+subcort,binar,bag_of_edges,standard,SGD,0.75,0.0426173593297,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.730909090909,0.0178144708566,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.81818182  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.723901098901,0.170070687648,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.955833333333,0.108784317701,"[ 0.58333333  1.          1.          1.          1.          0.95833333
  1.          1.          1.          1.          0.58333333  1.
  0.91666667  1.          1.          1.          1.          0.54166667
  0.83333333  1.          1.          1.          1.          1.          0.875
  1.          1.          0.95833333  1.          1.          1.          1.
  0.91666667  0.95833333  1.          1.          1.          1.          0.75
  1.          0.91666667  1.          1.          1.          1.          1.
  1.          1.          1.          1.        ]"
2,IPCAS_1_deter_dti_con_aparc150+subcort,binar,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.789148351648,0.159473000124,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.831666666667,0.130692599467,"[ 0.66666667  0.625       0.79166667  0.75        0.95833333  0.79166667
  0.875       0.66666667  0.875       1.          0.83333333  0.66666667
  0.54166667  0.91666667  1.          0.95833333  1.          0.75
  0.95833333  0.79166667  0.91666667  0.875       0.95833333  0.66666667
  0.54166667  0.91666667  0.91666667  0.79166667  0.875       0.91666667
  0.91666667  1.          0.75        0.79166667  0.95833333  0.95833333
  0.91666667  0.91666667  0.5         0.95833333  0.58333333  0.83333333
  0.75        0.79166667  0.875       0.875       0.91666667  0.70833333
  0.91666667  0.875     ]"
3,IPCAS_1_deter_dti_con_aparc150+subcort,binar,degrees,standard,SGD,0.769230769231,0.0380317871133,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.756363636364,0.0666556464721,"[ 0.72727273  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273
  0.72727273  0.90909091  0.63636364  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.90909091  0.81818182  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182  0.81818182
  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182  0.90909091
  0.63636364  0.81818182  0.72727273  0.72727273  0.72727273  0.63636364
  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182  0.90909091
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.63636364
  0.72727273  0.72727273]",0.716059981685,0.172741623556,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.713333333333,0.152556911057,"[ 0.58333333  0.625       0.77083333  0.70833333  0.5         0.72916667
  0.875       0.66666667  0.75        1.          0.45833333  0.54166667
  0.875       0.85416667  0.79166667  0.875       0.72916667  0.58333333
  1.          0.75        0.875       0.625       0.91666667  0.66666667
  0.66666667  0.95833333  0.5         0.625       0.5         0.5
  0.70833333  0.5         0.75        0.5         0.5         0.83333333
  0.72916667  0.89583333  0.83333333  0.45833333  0.58333333  0.5         0.8125
  0.79166667  0.83333333  0.875       0.83333333  0.70833333  0.66666667
  0.85416667]"
4,IPCAS_1_deter_dti_con_aparc150+subcort,binar,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.563072344322,0.167877517141,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.685,0.153299362179,"[ 0.54166667  0.54166667  0.79166667  0.54166667  0.79166667  0.625
  0.79166667  0.625       0.75        0.83333333  0.45833333  0.70833333
  0.45833333  0.91666667  0.79166667  0.83333333  0.66666667  0.33333333
  0.625       0.75        0.875       0.45833333  0.875       0.60416667
  0.5         0.875       0.91666667  0.83333333  0.58333333  0.79166667
  0.58333333  0.83333333  0.79166667  0.625       0.79166667  0.66666667
  0.41666667  0.83333333  0.25        0.83333333  0.58333333  0.64583333
  0.70833333  0.79166667  0.66666667  0.75        0.66666667  0.58333333
  0.83333333  0.70833333]"
5,IPCAS_1_deter_dti_con_aparc150+subcort,binar,closeness_centrality,standard,SGD,0.769230769231,0.048172011637,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.769090909091,0.0580965283952,"[ 0.72727273  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273
  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273  0.72727273
  0.81818182  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182  0.72727273  0.72727273  0.81818182  0.81818182
  0.63636364  0.72727273  0.72727273  0.72727273  0.81818182  0.81818182
  0.63636364  0.81818182  0.72727273  0.81818182  0.81818182  0.81818182
  0.72727273  0.81818182  0.72727273  0.90909091  0.72727273  0.81818182
  0.90909091  0.81818182  0.72727273  0.72727273  0.81818182  0.72727273
  0.72727273  0.72727273]",0.610119047619,0.131924360659,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.685416666667,0.161226311783,"[ 0.58333333  0.58333333  0.75        0.66666667  0.91666667  0.58333333
  0.79166667  0.625       0.70833333  1.          0.54166667  0.70833333
  0.45833333  0.70833333  0.91666667  0.83333333  0.52083333  0.375
  0.95833333  0.70833333  0.875       0.4375      0.875       0.70833333
  0.45833333  0.875       0.91666667  0.70833333  0.70833333  0.625
  0.58333333  0.70833333  0.83333333  0.58333333  0.5         0.66666667
  0.45833333  0.83333333  0.29166667  0.625       0.54166667  0.66666667
  0.625       0.75        0.625       0.79166667  0.72916667  0.58333333
  0.75        1.        ]"
6,IPCAS_1_deter_dti_con_aparc150+subcort,binar,betweenness_centrality,standard,LR,0.75,0.125707013735,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.674545454545,0.107703296143,"[ 0.54545455  0.45454545  0.72727273  0.63636364  0.72727273  0.72727273
  0.72727273  0.54545455  0.72727273  0.36363636  0.72727273  0.72727273
  0.72727273  0.81818182  0.72727273  0.36363636  0.72727273  0.72727273
  0.54545455  0.72727273  0.72727273  0.72727273  0.72727273  0.63636364
  0.63636364  0.72727273  0.72727273  0.54545455  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.45454545  0.72727273
  0.72727273  0.72727273  0.36363636  0.63636364  0.72727273  0.72727273
  0.72727273  0.72727273]",0.701350732601,0.235105198373,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.798333333333,0.149155027479,"[ 0.58333333  0.58333333  1.          0.79166667  0.83333333  0.91666667
  1.          0.70833333  1.          0.5         0.83333333  0.70833333
  0.95833333  0.70833333  0.95833333  0.54166667  0.91666667  0.45833333
  0.54166667  0.66666667  0.91666667  0.79166667  0.91666667  0.75        0.5
  0.91666667  0.95833333  0.83333333  0.83333333  0.91666667  0.70833333
  0.95833333  0.75        0.91666667  0.91666667  0.91666667  0.75        0.875
  0.625       0.83333333  0.58333333  0.79166667  0.95833333  0.95833333
  0.75        0.79166667  0.75        0.79166667  0.75        1.        ]"
7,IPCAS_1_deter_dti_con_aparc150+subcort,binar,betweenness_centrality,standard,SGD,0.769230769231,0.0889659951867,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.78,0.0873673729217,"[ 0.81818182  0.72727273  0.81818182  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.63636364  0.72727273  0.72727273  0.81818182
  0.81818182  0.72727273  0.81818182  0.81818182  0.81818182  0.81818182
  0.72727273  0.81818182  0.72727273  0.72727273  0.81818182  0.81818182
  0.54545455  0.72727273  0.72727273  0.72727273  0.81818182  0.81818182
  0.63636364  1.          0.72727273  0.81818182  0.81818182  0.90909091
  1.          0.81818182  0.63636364  0.90909091  0.72727273  0.72727273
  0.81818182  0.90909091  0.81818182  0.81818182  0.72727273  0.63636364
  0.72727273  0.90909091]",0.683493589744,0.216083351779,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.6875,0.173054663811,"[ 0.58333333  0.45833333  0.5         0.95833333  0.83333333  0.83333333
  0.5         0.70833333  0.91666667  0.5         0.75        0.70833333
  0.91666667  0.75        0.875       0.58333333  0.79166667  0.41666667
  0.5         0.66666667  0.91666667  0.5         0.875       0.75
  0.29166667  0.5         0.5         0.83333333  0.625       0.83333333
  0.83333333  0.5         0.75        0.5         0.79166667  0.5         0.5
  0.5         0.45833333  0.79166667  0.625       0.79166667  0.91666667
  0.875       0.79166667  0.79166667  0.875       0.79166667  0.91666667
  0.5       ]"
8,IPCAS_1_deter_dti_con_aparc150+subcort,binar,eigenvector_centrality,standard,LR,0.75,0.168492331842,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.807272727273,0.0902521719708,"[ 0.81818182  0.81818182  0.81818182  0.63636364  0.90909091  0.72727273
  0.81818182  0.72727273  0.72727273  0.90909091  0.81818182  0.72727273
  0.72727273  0.72727273  1.          0.81818182  0.72727273  0.72727273
  1.          0.81818182  0.72727273  0.81818182  0.90909091  0.81818182
  0.72727273  0.81818182  0.81818182  0.72727273  0.81818182  0.81818182
  0.81818182  0.90909091  0.72727273  0.90909091  0.90909091  0.81818182
  0.72727273  1.          0.81818182  0.81818182  0.90909091  0.81818182
  0.90909091  0.81818182  0.90909091  0.54545455  0.72727273  0.81818182
  0.72727273  0.72727273]",0.80070970696,0.190992355178,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.899166666667,0.0841996634989,"[ 0.91666667  0.79166667  0.875       0.83333333  0.95833333  0.83333333
  0.91666667  0.875       0.91666667  1.          0.95833333  0.875
  0.83333333  0.875       1.          0.95833333  0.875       0.66666667
  1.          0.95833333  0.875       0.95833333  1.          0.95833333
  0.66666667  0.91666667  0.91666667  0.83333333  0.91666667  0.875
  0.91666667  1.          0.79166667  0.91666667  1.          0.91666667
  0.91666667  1.          0.75        1.          0.75        0.95833333
  1.          0.75        0.91666667  0.83333333  0.91666667  0.91666667
  1.          0.875     ]"
9,IPCAS_1_deter_dti_con_aparc150+subcort,binar,eigenvector_centrality,standard,SGD,0.807692307692,0.0153651780864,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.798181818182,0.071095326531,"[ 0.72727273  0.81818182  0.90909091  0.72727273  0.72727273  0.72727273
  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273  0.90909091
  0.81818182  0.81818182  0.90909091  0.81818182  0.81818182  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.81818182  0.90909091
  0.63636364  0.72727273  0.81818182  0.81818182  0.81818182  1.
  0.72727273  0.81818182  0.90909091  0.81818182  0.81818182  0.72727273
  0.81818182  0.90909091  0.72727273  0.90909091  0.72727273  0.81818182
  0.81818182  0.72727273  0.72727273  0.81818182  0.81818182  0.81818182
  0.72727273  0.72727273]",0.80070970696,0.183139415606,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.896666666667,0.077387911775,"[ 0.83333333  0.875       0.95833333  0.79166667  0.95833333  0.91666667
  0.875       0.91666667  0.91666667  0.95833333  0.79166667  0.875
  0.83333333  0.95833333  1.          0.83333333  0.91666667  0.79166667
  1.          1.          0.83333333  0.875       0.95833333  0.95833333
  0.70833333  0.95833333  0.91666667  0.875       0.83333333  0.95833333
  0.83333333  0.95833333  0.79166667  0.91666667  1.          0.91666667
  0.875       0.95833333  0.70833333  0.95833333  0.95833333  1.
  0.95833333  0.75        0.83333333  0.79166667  0.95833333  0.875       1.
  0.91666667]"
10,IPCAS_1_deter_dti_con_aparc150+subcort,binar,pagerank,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.557806776557,0.187459428348,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.851666666667,0.143410831762,"[ 0.83333333  0.66666667  0.91666667  0.79166667  0.91666667  1.          1.
  0.70833333  0.95833333  1.          0.91666667  0.70833333  0.625
  0.83333333  0.875       0.95833333  0.95833333  0.75        0.54166667
  0.70833333  0.91666667  0.95833333  0.95833333  0.83333333  0.45833333
  0.95833333  0.95833333  0.79166667  0.95833333  0.91666667  0.95833333
  1.          0.75        0.95833333  0.75        1.          1.
  0.95833333  0.41666667  0.83333333  0.625       0.875       0.75        0.875
  0.83333333  0.875       1.          0.79166667  1.          0.95833333]"
11,IPCAS_1_deter_dti_con_aparc150+subcort,binar,pagerank,standard,SGD,0.788461538462,0.0348005064552,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.767272727273,0.0607392475945,"[ 0.81818182  0.81818182  0.90909091  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.81818182  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.90909091  0.81818182
  0.72727273  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182
  0.81818182  0.90909091  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.63636364  0.90909091
  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182
  0.72727273  0.81818182]",0.617101648352,0.290244535927,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.666666666667,0.170985704406,"[ 0.70833333  0.58333333  0.5         0.625       0.5         0.83333333
  0.91666667  0.66666667  1.          0.5         0.45833333  0.45833333
  0.75        0.66666667  0.54166667  0.875       0.625       0.5
  0.83333333  0.66666667  0.79166667  0.45833333  0.91666667  0.70833333
  0.5         0.95833333  0.5         0.75        0.45833333  0.5         0.875
  0.91666667  0.70833333  0.5         0.5         0.79166667  0.75
  0.79166667  0.83333333  0.5         0.58333333  0.58333333  0.45833333
  0.875       0.79166667  0.5         0.5         0.79166667  0.95833333
  0.375     ]"
12,IPCAS_1_deter_dti_con_aparc150+subcort,binar,efficiency,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.786286630037,0.159720248766,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.795833333333,0.136740325679,"[ 0.58333333  0.625       0.79166667  0.70833333  0.875       0.70833333
  0.83333333  0.625       0.91666667  0.91666667  0.75        0.625       0.5
  0.875       1.          0.91666667  0.91666667  0.54166667  1.
  0.79166667  0.875       0.66666667  0.91666667  0.66666667  0.54166667
  0.875       0.91666667  0.875       0.875       0.875       0.83333333
  1.          0.75        0.75        0.95833333  0.95833333  0.91666667
  0.875       0.45833333  0.91666667  0.58333333  0.75        0.75
  0.83333333  0.83333333  0.79166667  0.83333333  0.70833333  0.83333333
  0.875     ]"
