,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csd_con_aparc68+subcort,binar,bag_of_edges,standard,LR,0.744897959184,0.033706092903,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.744,0.0903548559846,"[ 0.75  0.8   0.8   0.75  0.55  0.55  0.7   0.8   0.65  0.75  0.75  0.8
  0.9   0.55  0.8   0.75  0.8   0.65  0.8   0.8   0.9   0.75  0.7   0.65
  0.8   0.75  0.75  0.9   0.7   0.8   0.6   0.6   0.8   0.8   0.85  0.7
  0.8   0.6   0.85  0.75  0.7   0.75  0.75  0.8   0.85  0.85  0.8   0.65
  0.7   0.6 ]",0.837244897959,0.0365614616571,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.818354166667,0.0970721841592,"[ 0.77083333  0.78        0.87        0.79166667  0.67708333  0.75
  0.77604167  0.91        0.76190476  0.75520833  0.86904762  0.9         1.
  0.64285714  0.85416667  0.875       0.953125    0.578125    0.77604167
  0.90104167  0.98        0.8452381   0.83        0.84375     0.91666667
  0.865       0.80357143  0.915       0.73        0.9047619   0.55208333
  0.79761905  0.9047619   0.88541667  0.89880952  0.84895833  0.79166667
  0.75        0.96354167  0.72395833  0.79166667  0.734375    0.859375
  0.86979167  0.88541667  0.89        0.83333333  0.68        0.77604167
  0.6547619 ]"
1,BNU_1_deter_csd_con_aparc68+subcort,binar,bag_of_edges,standard,SGD,0.714285714286,0.0887683422967,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.667,0.127125921826,"[ 0.75  0.5   0.7   0.6   0.6   0.55  0.55  0.8   0.75  0.7   0.5   0.85
  0.75  0.55  0.75  0.55  0.45  0.55  0.65  0.8   0.75  0.85  0.45  0.8
  0.75  0.55  0.75  0.7   0.65  0.8   0.5   0.55  0.8   0.8   0.8   0.9
  0.65  0.5   0.8   0.5   0.75  0.4   0.7   0.8   0.6   0.8   0.75  0.5
  0.65  0.65]",0.829166666667,0.0840435298479,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.751038789683,0.108220314943,"[ 0.625       0.86        0.81        0.80208333  0.76041667  0.625
  0.72916667  0.875       0.55952381  0.63541667  0.83333333  0.73        0.8125
  0.61309524  0.70833333  0.63888889  0.84375     0.609375    0.83333333
  0.91145833  0.95        0.80952381  0.79        0.75        0.80208333
  0.805       0.78571429  0.77        0.55        0.88690476  0.54166667
  0.66071429  0.67857143  0.82291667  0.51190476  0.66666667  0.73214286
  0.7109375   0.93229167  0.66666667  0.76190476  0.65625     0.796875
  0.875       0.890625    0.895       0.828125    0.65        0.796875
  0.76190476]"
2,BNU_1_deter_csd_con_aparc68+subcort,binar,degrees,standard,LR,0.673469387755,0.0477282518467,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.676,0.109654001295,"[ 0.65  0.55  0.7   0.45  0.7   0.55  0.75  0.8   0.75  0.75  0.7   0.7
  0.65  0.6   0.6   0.5   0.65  0.55  0.65  0.75  0.7   0.6   0.55  0.85
  0.8   0.7   0.75  0.75  0.6   0.7   0.4   0.5   0.75  0.65  0.85  0.8
  0.7   0.65  0.85  0.75  0.55  0.7   0.8   0.65  0.55  0.75  0.85  0.75
  0.8   0.5 ]",0.746428571429,0.0647825816082,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.763766071429,0.114058952428,"[ 0.79166667  0.77        0.69        0.63541667  0.65625     0.625
  0.84375     0.92        0.79761905  0.71875     0.85714286  0.82        0.875
  0.60714286  0.75        0.58333333  0.78125     0.59375     0.71875
  0.91666667  0.63        0.60714286  0.84        0.91666667  0.78125     0.77
  0.8452381   0.84        0.86        0.61904762  0.59375     0.58333333
  0.83333333  0.79166667  0.85714286  0.91666667  0.82142857  0.8125
  0.91666667  0.78125     0.63095238  0.640625    0.85416667  0.64583333
  0.6875      0.93        0.97916667  0.75        0.90625     0.5952381 ]"
3,BNU_1_deter_csd_con_aparc68+subcort,binar,degrees,standard,SGD,0.69387755102,0.0568139220697,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.672,0.107777548682,"[ 0.8   0.6   0.65  0.55  0.5   0.4   0.8   0.75  0.75  0.65  0.7   0.75
  0.55  0.6   0.65  0.5   0.75  0.65  0.65  0.7   0.75  0.55  0.65  0.9
  0.75  0.7   0.75  0.65  0.55  0.65  0.7   0.45  0.75  0.8   0.8   0.8
  0.6   0.7   0.8   0.75  0.5   0.65  0.7   0.65  0.6   0.75  0.9   0.65
  0.65  0.55]",0.771258503401,0.0878630502674,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.771693452381,0.110378994384,"[ 0.8125      0.79        0.7         0.65625     0.64583333  0.65625
  0.79166667  0.93        0.70238095  0.70833333  0.88095238  0.83        0.90625
  0.61904762  0.72916667  0.66666667  0.8125      0.625       0.72916667
  0.90625     0.66        0.55952381  0.87        0.9375      0.78125     0.8
  0.8452381   0.85        0.87        0.58333333  0.625       0.57142857
  0.85714286  0.79166667  0.89285714  0.92708333  0.83333333  0.828125
  0.91666667  0.79166667  0.60714286  0.59375     0.84375     0.73958333
  0.71875     0.9         0.95833333  0.75        0.83333333  0.75      ]"
4,BNU_1_deter_csd_con_aparc68+subcort,binar,closeness_centrality,standard,LR,0.663265306122,0.07889396942,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.657,0.104407854111,"[ 0.7   0.55  0.75  0.5   0.7   0.5   0.75  0.7   0.7   0.65  0.7   0.65
  0.65  0.55  0.65  0.6   0.6   0.55  0.6   0.75  0.5   0.6   0.55  0.8
  0.75  0.65  0.65  0.7   0.6   0.7   0.4   0.4   0.65  0.6   0.85  0.8
  0.75  0.65  0.8   0.7   0.6   0.7   0.85  0.55  0.6   0.75  0.85  0.75
  0.7   0.6 ]",0.738945578231,0.074347363672,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.75945734127,0.114765176316,"[ 0.8125      0.79        0.69        0.63541667  0.66666667  0.671875
  0.82291667  0.94        0.79761905  0.69791667  0.8452381   0.82
  0.796875    0.60714286  0.77083333  0.52777778  0.78125     0.625
  0.69791667  0.91666667  0.66        0.57142857  0.84        0.90625     0.75
  0.76        0.85714286  0.86        0.82        0.66666667  0.58333333
  0.55952381  0.86904762  0.80208333  0.8452381   0.92708333  0.78571429
  0.78125     0.91666667  0.76041667  0.57142857  0.640625    0.85416667
  0.63541667  0.67708333  0.9         0.97916667  0.72        0.91666667
  0.64285714]"
5,BNU_1_deter_csd_con_aparc68+subcort,binar,closeness_centrality,standard,SGD,0.69387755102,0.0602050424613,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.697,0.10218121158,"[ 0.75  0.7   0.75  0.65  0.65  0.5   0.8   0.8   0.7   0.6   0.75  0.7
  0.6   0.6   0.75  0.6   0.65  0.65  0.65  0.9   0.65  0.5   0.85  0.9
  0.75  0.7   0.8   0.75  0.7   0.65  0.5   0.7   0.7   0.7   0.8   0.85
  0.55  0.65  0.8   0.65  0.5   0.6   0.85  0.7   0.6   0.75  0.9   0.7
  0.7   0.65]",0.767517006803,0.106005469551,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.749173611111,0.140868725556,"[ 0.71875     0.8         0.77        0.61458333  0.63541667  0.59375
  0.875       0.91        0.83333333  0.75        0.82142857  0.83        0.875
  0.66666667  0.73958333  0.30555556  0.8125      0.640625    0.63541667
  0.91666667  0.71        0.64285714  0.86        0.92708333  0.79166667
  0.79        0.9047619   0.87        0.81        0.60714286  0.55208333
  0.47619048  0.73809524  0.80208333  0.86904762  0.92708333  0.78571429
  0.671875    0.875       0.79166667  0.5         0.546875    0.90625
  0.61458333  0.71875     0.93        0.97916667  0.67        0.875
  0.57142857]"
6,BNU_1_deter_csd_con_aparc68+subcort,binar,betweenness_centrality,standard,LR,0.642857142857,0.0845154254729,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.637,0.118241278748,"[ 0.75  0.5   0.55  0.75  0.6   0.45  0.9   0.65  0.65  0.6   0.75  0.7
  0.4   0.6   0.5   0.6   0.45  0.65  0.7   0.85  0.55  0.6   0.7   0.65
  0.6   0.65  0.7   0.55  0.8   0.55  0.5   0.5   0.7   0.6   0.9   0.75
  0.75  0.5   0.75  0.45  0.65  0.7   0.7   0.45  0.8   0.6   0.75  0.55
  0.7   0.6 ]",0.73112244898,0.135299077781,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.725350198413,0.118649479429,"[ 0.8125      0.61        0.55        0.78125     0.71875     0.796875
  0.88541667  0.72        0.64285714  0.44791667  0.73809524  0.77        0.6875
  0.72619048  0.8125      0.52777778  0.734375    0.78125     0.65625
  0.95833333  0.71        0.67857143  0.77        0.63541667  0.77083333
  0.83        0.73809524  0.82        0.79        0.71428571  0.625
  0.61904762  0.80952381  0.71875     0.91666667  0.91666667  0.8452381
  0.515625    0.92708333  0.58333333  0.60714286  0.65625     0.8125
  0.66666667  0.76041667  0.71        0.78125     0.52        0.9375
  0.52380952]"
7,BNU_1_deter_csd_con_aparc68+subcort,binar,betweenness_centrality,standard,SGD,0.704081632653,0.125380627396,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.649,0.135088859644,"[ 0.55  0.35  0.45  0.65  0.55  0.45  0.95  0.75  0.7   0.5   0.65  0.85
  0.4   0.7   0.6   0.55  0.5   0.6   0.65  0.75  0.65  0.65  0.7   0.6
  0.75  0.75  0.8   0.9   0.7   0.65  0.65  0.55  0.8   0.55  0.8   0.8
  0.7   0.45  0.85  0.65  0.5   0.7   0.75  0.65  0.7   0.6   0.7   0.45
  0.85  0.45]",0.765731292517,0.14031572581,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.734381944444,0.124979316651,"[ 0.84375     0.54        0.58        0.86458333  0.77083333  0.765625
  0.89583333  0.77        0.71428571  0.48958333  0.71428571  0.84        0.71875
  0.80952381  0.85416667  0.55555556  0.703125    0.75        0.625
  0.91666667  0.75        0.69047619  0.82        0.77083333  0.79166667
  0.78        0.82142857  0.91        0.75        0.64285714  0.69791667
  0.47619048  0.85714286  0.65625     0.91666667  0.90625     0.75        0.5
  0.91666667  0.63541667  0.64285714  0.578125    0.84375     0.64583333
  0.78125     0.69        0.78125     0.52        0.92708333  0.54761905]"
8,BNU_1_deter_csd_con_aparc68+subcort,binar,eigenvector_centrality,standard,LR,0.683673469388,0.0469584894025,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.675,0.111915146428,"[ 0.7   0.55  0.65  0.5   0.7   0.65  0.7   0.75  0.7   0.7   0.8   0.75
  0.7   0.4   0.6   0.75  0.65  0.6   0.6   0.75  0.7   0.6   0.6   0.75
  0.75  0.65  0.75  0.7   0.65  0.65  0.45  0.4   0.75  0.65  0.75  0.9
  0.65  0.65  0.9   0.7   0.6   0.75  0.8   0.65  0.5   0.8   0.8   0.8
  0.8   0.45]",0.713350340136,0.0343852885225,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.758171626984,0.106806043408,"[ 0.80208333  0.65        0.69        0.63541667  0.63541667  0.6875
  0.76041667  0.88        0.83333333  0.78125     0.79761905  0.83        0.84375
  0.53571429  0.8125      0.69444444  0.796875    0.546875    0.6875
  0.89583333  0.67        0.6547619   0.82        0.89583333  0.73958333
  0.76        0.82142857  0.86        0.89        0.66666667  0.5625
  0.63095238  0.83333333  0.80208333  0.83333333  0.89583333  0.79761905
  0.828125    0.89583333  0.77083333  0.61904762  0.59375     0.84375
  0.63541667  0.69791667  0.92        0.9375      0.73        0.875
  0.63095238]"
9,BNU_1_deter_csd_con_aparc68+subcort,binar,eigenvector_centrality,standard,SGD,0.663265306122,0.0462885056767,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.67,0.106301458127,"[ 0.7   0.5   0.55  0.6   0.6   0.5   0.75  0.85  0.75  0.7   0.65  0.75
  0.65  0.65  0.65  0.75  0.7   0.7   0.55  0.8   0.55  0.6   0.75  0.85
  0.6   0.7   0.65  0.75  0.55  0.55  0.55  0.65  0.75  0.7   0.9   0.8
  0.6   0.7   0.8   0.65  0.45  0.6   0.8   0.55  0.6   0.8   0.85  0.55
  0.75  0.55]",0.724489795918,0.089843624593,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.738397222222,0.119364331344,"[ 0.80208333  0.69        0.67        0.60416667  0.67708333  0.578125
  0.69791667  0.9         0.72619048  0.76041667  0.88095238  0.74
  0.921875    0.60714286  0.70833333  0.69444444  0.78125     0.53125
  0.70833333  0.84375     0.57        0.61904762  0.78        0.9375
  0.76041667  0.78        0.80952381  0.82        0.8         0.51190476
  0.63541667  0.52380952  0.75        0.8125      0.85714286  0.88541667
  0.78571429  0.796875    0.89583333  0.73958333  0.57142857  0.453125
  0.85416667  0.6875      0.71875     0.91        0.95833333  0.68
  0.80208333  0.69047619]"
10,BNU_1_deter_csd_con_aparc68+subcort,binar,pagerank,standard,LR,0.704081632653,0.0825837451849,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.683,0.103735239914,"[ 0.65  0.6   0.85  0.45  0.7   0.6   0.75  0.8   0.7   0.7   0.8   0.7
  0.7   0.6   0.6   0.6   0.65  0.6   0.65  0.8   0.7   0.65  0.65  0.75
  0.8   0.7   0.75  0.75  0.55  0.7   0.4   0.5   0.75  0.6   0.8   0.75
  0.7   0.6   0.8   0.75  0.7   0.7   0.85  0.55  0.55  0.75  0.85  0.75
  0.8   0.5 ]",0.779591836735,0.0723861649221,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.785881349206,0.108531458049,"[ 0.8125      0.82        0.74        0.63541667  0.66666667  0.734375
  0.88541667  0.97        0.82142857  0.75        0.91666667  0.86        0.90625
  0.66666667  0.75        0.63888889  0.78125     0.640625    0.75
  0.92708333  0.64        0.67857143  0.81        0.92708333  0.76041667
  0.77        0.82142857  0.87        0.84        0.6547619   0.58333333
  0.5952381   0.85714286  0.76041667  0.89285714  0.95833333  0.80952381
  0.8125      0.9375      0.80208333  0.6547619   0.65625     0.86458333
  0.70833333  0.75        0.91        0.96875     0.76        0.94791667
  0.61904762]"
