,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csd_con_ROIv_scale125,max,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.672504578755,0.210589207152,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.9425,0.136648880957,"[ 0.625       1.          1.          1.          0.91666667  1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.66666667  0.58333333  1.
  0.83333333  1.          1.          1.          0.83333333  1.          1.
  0.83333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.66666667  1.          1.
  1.          1.          1.          1.          1.          0.83333333
  1.          1.          1.        ]"
1,IPCAS_1_proba_csd_con_ROIv_scale125,max,bag_of_edges,standard,SGD,0.730769230769,0.0637871025632,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.743636363636,0.0349261322042,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.81818182  0.72727273  0.81818182
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273]",0.708104395604,0.195067439496,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.94,0.138984411596,"[ 0.5         1.          1.          1.          0.875       0.91666667
  1.          1.          1.          1.          0.41666667  1.          1.
  1.          1.          1.          1.          0.66666667  0.58333333
  1.          1.          1.          1.          1.          0.83333333
  1.          1.          0.58333333  0.95833333  1.          1.          1.
  1.          1.          1.          1.          1.          1.          0.875
  1.          1.          1.          1.          1.          1.          1.
  0.83333333  1.          0.95833333  1.        ]"
2,IPCAS_1_proba_csd_con_ROIv_scale125,max,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.682463369963,0.282546167303,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.905,0.150009258973,"[ 0.5         1.          1.          1.          0.70833333  0.875       1.
  0.95833333  1.          1.          0.41666667  0.95833333  1.
  0.95833333  1.          0.95833333  1.          0.54166667  0.66666667
  1.          0.625       0.75        1.          0.95833333  0.875       1.
  1.          0.875       0.95833333  1.          0.875       1.
  0.70833333  1.          1.          1.          1.          1.
  0.66666667  1.          0.875       1.          1.          0.95833333
  1.          1.          0.75        1.          0.83333333  1.        ]"
3,IPCAS_1_proba_csd_con_ROIv_scale125,max,degrees,standard,SGD,0.788461538462,0.148963405669,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.827272727273,0.103252879015,"[ 0.72727273  1.          0.81818182  0.90909091  0.90909091  0.72727273
  0.90909091  0.81818182  0.90909091  0.90909091  0.72727273  0.90909091
  0.72727273  0.81818182  0.81818182  0.81818182  0.90909091  0.54545455
  0.63636364  0.81818182  0.81818182  0.81818182  0.90909091  0.81818182
  0.72727273  0.81818182  0.90909091  0.81818182  0.90909091  1.
  0.81818182  0.81818182  0.63636364  0.81818182  0.90909091  0.81818182
  0.90909091  0.90909091  0.72727273  1.          0.63636364  1.
  0.72727273  0.72727273  0.81818182  1.          0.72727273  0.90909091
  0.72727273  0.81818182]",0.72847985348,0.233577076819,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.889166666667,0.171109532821,"[ 0.5         1.          1.          1.          0.70833333  0.875       1.
  1.          1.          1.          0.45833333  0.95833333  0.95833333
  0.91666667  1.          0.95833333  1.          0.41666667  0.58333333
  1.          0.5         0.91666667  1.          0.83333333  1.          1.
  1.          0.75        0.83333333  1.          0.91666667  1.          0.5
  1.          1.          1.          1.          1.          0.58333333
  1.          0.79166667  1.          0.95833333  1.          1.          1.
  0.83333333  0.91666667  0.875       0.91666667]"
4,IPCAS_1_proba_csd_con_ROIv_scale125,max,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.614354395604,0.251630867255,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.928333333333,0.147676448134,"[ 0.54166667  1.          1.          1.          0.95833333  1.          1.
  1.          1.          1.          0.625       1.          1.          1.
  1.          1.          1.          0.625       0.54166667  1.
  0.83333333  1.          1.          1.          0.75        1.          1.
  0.875       1.          1.          1.          1.          0.625       1.
  1.          1.          1.          1.          0.41666667  1.
  0.91666667  1.          1.          1.          1.          1.
  0.79166667  1.          0.91666667  1.        ]"
5,IPCAS_1_proba_csd_con_ROIv_scale125,max,closeness_centrality,standard,SGD,0.730769230769,0.15168450281,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.865454545455,0.104825711312,"[ 0.63636364  1.          0.90909091  0.81818182  0.90909091  0.72727273
  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182  0.81818182
  1.          0.81818182  0.90909091  0.90909091  0.90909091  0.90909091
  0.63636364  0.90909091  0.81818182  0.72727273  1.          0.90909091
  0.72727273  1.          0.90909091  0.63636364  1.          0.81818182
  0.90909091  0.90909091  0.63636364  1.          1.          0.90909091
  0.90909091  0.90909091  0.81818182  1.          0.81818182  0.72727273
  0.81818182  0.81818182  1.          0.90909091  0.81818182  1.
  0.72727273  0.81818182]",0.716575091575,0.196432573796,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.906666666667,0.15355961564,"[ 0.66666667  1.          1.          1.          1.          0.91666667
  0.75        1.          1.          1.          0.45833333  1.          1.
  0.91666667  1.          1.          1.          0.79166667  0.5         1.
  0.75        0.91666667  1.          0.79166667  0.83333333  1.          1.
  0.75        1.          1.          1.          1.          0.5         1.
  1.          1.          1.          1.          0.5         1.          0.875
  1.          1.          1.          1.          1.          0.70833333
  0.95833333  0.91666667  0.83333333]"
6,IPCAS_1_proba_csd_con_ROIv_scale125,max,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.662202380952,0.197676394406,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.936666666667,0.147723465374,"[ 0.33333333  1.          1.          1.          1.          1.          1.
  0.95833333  1.          1.          0.33333333  0.91666667  1.          1.
  1.          1.          1.          0.83333333  0.70833333  1.
  0.83333333  1.          1.          1.          0.75        1.          1.
  0.875       1.          1.          1.          1.          0.75        1.
  1.          1.          1.          1.          0.70833333  1.
  0.83333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]"
7,IPCAS_1_proba_csd_con_ROIv_scale125,max,betweenness_centrality,standard,SGD,0.788461538462,0.0348005064552,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.869090909091,0.0947550125149,"[ 0.81818182  0.90909091  1.          0.72727273  0.81818182  0.90909091
  1.          0.81818182  0.90909091  0.81818182  0.72727273  0.90909091
  0.72727273  1.          0.81818182  1.          1.          0.72727273
  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091
  0.81818182  1.          0.90909091  0.63636364  0.90909091  0.90909091
  0.72727273  0.81818182  0.81818182  0.90909091  1.          0.90909091
  0.90909091  0.81818182  0.72727273  1.          0.81818182  0.81818182
  0.81818182  0.72727273  0.81818182  1.          1.          0.90909091
  0.81818182  1.        ]",0.711652930403,0.221011454845,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.939166666667,0.154607477899,"[ 0.33333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.91666667  0.5         1.
  0.83333333  1.          1.          1.          0.75        1.          1.
  0.83333333  1.          1.          1.          1.          0.875       1.
  1.          1.          1.          1.          0.70833333  1.          0.875
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
8,IPCAS_1_proba_csd_con_ROIv_scale125,max,eigenvector_centrality,standard,LR,0.75,0.151942869483,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.756363636364,0.112727272727,"[ 0.63636364  0.63636364  0.81818182  0.81818182  0.45454545  0.81818182
  0.81818182  0.81818182  0.72727273  0.81818182  0.63636364  0.81818182
  0.81818182  0.81818182  0.72727273  0.81818182  0.81818182  0.54545455
  0.63636364  0.63636364  0.72727273  0.72727273  0.90909091  0.63636364
  0.81818182  0.90909091  0.90909091  0.63636364  0.72727273  0.81818182
  0.72727273  0.90909091  0.72727273  0.72727273  0.81818182  0.90909091
  0.72727273  0.81818182  0.63636364  0.90909091  0.81818182  0.81818182
  0.90909091  0.72727273  0.54545455  0.81818182  0.45454545  0.81818182
  0.72727273  0.81818182]",0.580700549451,0.270646882298,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.896666666667,0.188605997312,"[ 0.41666667  0.95833333  1.          1.          0.625       1.          1.
  0.83333333  1.          1.          0.33333333  1.          0.95833333
  1.          1.          1.          1.          0.70833333  0.29166667
  1.          0.70833333  0.75        0.95833333  0.79166667  0.95833333
  1.          1.          1.          1.          1.          0.83333333
  1.          0.875       0.95833333  0.875       1.          1.          1.
  0.33333333  1.          0.91666667  1.          1.          1.          1.
  1.          0.75        1.          1.          1.        ]"
9,IPCAS_1_proba_csd_con_ROIv_scale125,max,eigenvector_centrality,standard,SGD,0.788461538462,0.0456640024928,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.849090909091,0.0901972127623,"[ 0.72727273  0.90909091  0.90909091  0.72727273  0.90909091  0.72727273
  1.          0.81818182  0.90909091  0.81818182  0.72727273  0.90909091
  0.81818182  0.90909091  0.90909091  0.81818182  0.90909091  0.72727273
  0.72727273  0.81818182  0.81818182  0.81818182  0.90909091  0.72727273
  0.81818182  0.90909091  1.          0.81818182  0.90909091  1.
  0.81818182  0.81818182  0.90909091  0.72727273  0.81818182  0.81818182
  1.          1.          0.72727273  1.          0.81818182  0.81818182
  0.90909091  0.81818182  0.90909091  0.90909091  0.63636364  0.90909091
  0.72727273  0.90909091]",0.645947802198,0.259359747898,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.885833333333,0.205448357934,"[ 0.375       0.875       1.          1.          0.79166667  1.          1.
  0.83333333  0.95833333  1.          0.20833333  1.          1.
  0.95833333  1.          1.          1.          0.58333333  0.29166667
  1.          0.70833333  0.875       0.95833333  0.75        0.79166667
  1.          1.          1.          0.95833333  1.          1.          1.
  1.          0.91666667  0.83333333  1.          0.875       1.          0.25
  1.          1.          1.          1.          1.          1.          1.
  0.625       1.          0.875       1.        ]"
