,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_dti_con_ROIv_scale33,no_norm,bag_of_edges,standard,LR,0.583333333333,0.0894427191,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.596,0.136486059524,"[ 0.51666667  0.7         0.38333333  0.63333333  0.76666667  0.6
  0.88333333  0.63333333  0.45        0.63333333  0.78333333  0.8
  0.76666667  0.56666667  0.38333333  0.78333333  0.25        0.45
  0.76666667  0.55        0.61666667  0.7         0.65        0.63333333
  0.53333333  0.4         0.76666667  0.36666667  0.6         0.65
  0.73333333  0.53333333  0.51666667  0.63333333  0.41666667  0.45
  0.51666667  0.65        0.83333333  0.68333333  0.51666667  0.51666667
  0.53333333  0.61666667  0.51666667  0.73333333  0.48333333  0.66666667
  0.5         0.53333333]",0.578,0.104762024561,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.597562222222,0.191869807451,"[ 0.66625     0.784       0.40444444  0.59        0.75555556  0.43375
  0.66375     0.6525      0.45875     0.48875     0.814       0.13        0.5725
  0.4125      0.498       0.852       0.345       0.69        0.71111111
  0.51        0.78375     0.60777778  0.62444444  0.974       0.81888889
  0.37666667  0.66777778  0.59375     0.60555556  0.584       0.75888889
  0.9025      0.36555556  0.405       0.3825      0.624       0.66375
  0.79222222  0.7075      0.56555556  0.89875     0.54        0.49125     0.61
  0.932       0.36333333  0.6825      0.56888889  0.02444444  0.53      ]"
1,HNU_1_deter_dti_con_ROIv_scale33,no_norm,bag_of_edges,standard,SGD,0.59,0.0946337971105,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.508666666667,0.104840619779,"[ 0.6         0.43333333  0.41666667  0.36666667  0.45        0.65        0.6
  0.6         0.4         0.41666667  0.53333333  0.48333333  0.48333333
  0.23333333  0.33333333  0.58333333  0.45        0.6         0.65        0.6
  0.58333333  0.53333333  0.61666667  0.53333333  0.6         0.38333333
  0.48333333  0.33333333  0.51666667  0.46666667  0.58333333  0.61666667
  0.35        0.43333333  0.45        0.4         0.7         0.61666667
  0.41666667  0.6         0.58333333  0.6         0.56666667  0.55
  0.66666667  0.51666667  0.5         0.51666667  0.3         0.53333333]",0.643277777778,0.121179695158,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.508891111111,0.182192103781,"[ 0.58        0.59        0.33111111  0.39625     0.39222222  0.6475
  0.6975      0.8175      0.18375     0.345       0.752       0.2425
  0.4375      0.17125     0.308       0.862       0.4625      0.71
  0.68888889  0.61625     0.55875     0.45666667  0.61222222  0.874       0.56
  0.29888889  0.45555556  0.38        0.47333333  0.56        0.52888889
  0.73625     0.23444444  0.29875     0.325       0.508       0.78125
  0.67888889  0.32375     0.52666667  0.6575      0.61555556  0.485
  0.54444444  0.77        0.36333333  0.53125     0.51        0.19111111
  0.37333333]"
2,HNU_1_deter_dti_con_ROIv_scale33,no_norm,degrees,standard,LR,0.726666666667,0.143990740443,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.722,0.109718832578,"[ 0.58333333  0.83333333  0.63333333  0.65        0.76666667  0.68333333
  0.78333333  0.76666667  0.83333333  0.61666667  0.86666667  0.83333333
  0.83333333  0.68333333  0.55        0.75        0.6         0.83333333
  0.6         0.68333333  0.53333333  0.66666667  0.85        0.76666667
  0.7         0.61666667  0.9         0.66666667  0.85        0.83333333
  0.8         0.63333333  0.6         0.8         0.43333333  0.56666667
  0.91666667  0.68333333  0.81666667  0.83333333  0.85        0.85
  0.68333333  0.71666667  0.68333333  0.81666667  0.66666667  0.73333333
  0.6         0.65      ]",0.788194444444,0.116839488399,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.785032777778,0.140895308486,"[ 0.8275      0.87        0.65444444  0.68375     0.78555556  0.86        0.855
  0.80375     0.63625     0.74        0.986       0.54875     0.79875     0.8
  0.552       0.996       0.505       0.936       0.69777778  0.68625
  0.845       0.74777778  0.83444444  0.966       0.80333333  0.73444444
  0.89555556  0.89125     0.81111111  0.996       0.65555556  0.9825
  0.76111111  0.67125     0.5525      0.578       0.97375     0.78555556
  0.7425      0.96333333  0.9925      0.82444444  0.7775      0.91666667
  0.964       0.73888889  0.795       0.81        0.43444444  0.58444444]"
3,HNU_1_deter_dti_con_ROIv_scale33,no_norm,degrees,standard,SGD,0.723333333333,0.10677078252,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.711333333333,0.134016582722,"[ 0.68333333  0.81666667  0.68333333  0.61666667  0.66666667  0.65
  0.83333333  0.78333333  0.81666667  0.8         0.86666667  0.81666667
  0.83333333  0.76666667  0.33333333  0.86666667  0.21666667  0.81666667
  0.73333333  0.71666667  0.61666667  0.7         0.68333333  0.5
  0.66666667  0.61666667  0.93333333  0.6         0.75        0.81666667
  0.55        0.71666667  0.71666667  0.7         0.66666667  0.61666667
  0.9         0.83333333  0.6         0.8         0.76666667  0.76666667
  0.7         0.85        0.75        0.8         0.73333333  0.76666667
  0.45        0.68333333]",0.80575,0.138706202074,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.802971111111,0.156983026326,"[ 0.64625     0.848       0.71555556  0.785       0.95111111  0.935       0.84
  0.85625     0.58        0.57375     1.          0.63125     0.82125
  0.71875     0.818       0.988       0.52625     0.938       0.70555556
  0.8875      0.77125     0.78555556  0.98222222  0.962       0.83444444
  0.73888889  0.99        0.745       0.92555556  0.934       0.76111111
  0.89875     0.82555556  0.935       0.6375      0.412       0.9775      0.91
  0.8275      0.89888889  0.97125     0.88222222  0.8025      0.89333333
  0.978       0.71111111  0.7375      0.87222222  0.34222222  0.44      ]"
4,HNU_1_deter_dti_con_ROIv_scale33,no_norm,closeness_centrality,standard,LR,0.566666666667,0.18973665961,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.530666666667,0.138337750933,"[ 0.46666667  0.41666667  0.48333333  0.56666667  0.31666667  0.71666667
  0.68333333  0.76666667  0.7         0.46666667  0.53333333  0.65        0.7
  0.36666667  0.46666667  0.45        0.36666667  0.51666667  0.5
  0.36666667  0.6         0.61666667  0.68333333  0.55        0.73333333
  0.26666667  0.45        0.51666667  0.48333333  0.71666667  0.66666667
  0.45        0.61666667  0.48333333  0.4         0.61666667  0.71666667
  0.5         0.6         0.48333333  0.43333333  0.41666667  0.5
  0.78333333  0.45        0.61666667  0.55        0.66666667  0.13333333
  0.33333333]",0.541916666667,0.231712765198,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.522253611111,0.202003516173,"[ 0.47875     0.756       0.44333333  0.356875    0.31333333  0.7175
  0.5675      0.7475      0.9825      0.66        0.784       0.655       0.7125
  0.3225      0.554       0.456       0.40625     0.252       0.36555556
  0.17625     0.5275      0.65666667  0.67        0.774       0.69111111
  0.17222222  0.49777778  0.885       0.47444444  0.302       0.41444444
  0.50375     0.53333333  0.12375     0.41375     0.726       0.705
  0.60222222  0.7075      0.41444444  0.5425      0.37555556  0.24        0.84
  0.66        0.58222222  0.31625     0.56055556  0.15111111  0.34222222]"
5,HNU_1_deter_dti_con_ROIv_scale33,no_norm,closeness_centrality,standard,SGD,0.583333333333,0.16465452047,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.543666666667,0.140629141914,"[ 0.53333333  0.33333333  0.61666667  0.5         0.33333333  0.7
  0.73333333  0.73333333  0.63333333  0.41666667  0.66666667  0.55        0.65
  0.36666667  0.5         0.46666667  0.36666667  0.35        0.51666667
  0.3         0.6         0.56666667  0.76666667  0.61666667  0.71666667
  0.35        0.48333333  0.66666667  0.58333333  0.73333333  0.66666667
  0.5         0.63333333  0.45        0.38333333  0.51666667  0.71666667
  0.51666667  0.7         0.6         0.58333333  0.5         0.5
  0.83333333  0.5         0.56666667  0.46666667  0.63333333  0.15
  0.41666667]",0.588305555556,0.222143882025,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.566440277778,0.197729759235,"[ 0.5425      0.864       0.54        0.474375    0.33333333  0.80875
  0.72625     0.73125     0.9925      0.5825      0.76        0.68625
  0.795       0.26        0.61        0.404       0.48875     0.25
  0.38666667  0.2275      0.52375     0.65        0.71666667  0.756
  0.78222222  0.22222222  0.54        0.75        0.57111111  0.494
  0.50444444  0.635       0.67        0.16875     0.40125     0.73        0.695
  0.59777778  0.805       0.42666667  0.63        0.48111111  0.29625
  0.89888889  0.672       0.65333333  0.3575      0.61944444  0.17222222
  0.43777778]"
6,HNU_1_deter_dti_con_ROIv_scale33,no_norm,betweenness_centrality,standard,LR,0.536666666667,0.0812403840464,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.480333333333,0.131896002804,"[ 0.46666667  0.4         0.38333333  0.31666667  0.55        0.43333333
  0.85        0.36666667  0.4         0.63333333  0.41666667  0.58333333
  0.36666667  0.53333333  0.28333333  0.46666667  0.31666667  0.41666667
  0.58333333  0.31666667  0.65        0.63333333  0.63333333  0.46666667
  0.6         0.35        0.5         0.36666667  0.58333333  0.38333333
  0.53333333  0.58333333  0.63333333  0.63333333  0.35        0.33333333
  0.5         0.43333333  0.58333333  0.56666667  0.58333333  0.4         0.5
  0.53333333  0.41666667  0.71666667  0.33333333  0.4         0.13333333
  0.6       ]",0.531527777778,0.0712697882419,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.50642,0.198629333946,"[ 0.60625     0.818       0.24666667  0.279375    0.61        0.33375
  0.81625     0.3275      0.52125     0.84125     0.864       0.5675
  0.25875     0.534375    0.422       0.426       0.27625     0.268
  0.69222222  0.26625     0.77875     0.63222222  0.77444444  0.668
  0.70666667  0.32333333  0.54111111  0.3625      0.57611111  0.374
  0.55777778  0.59        0.63111111  0.110625    0.27625     0.586
  0.34125     0.42666667  0.724375    0.48111111  0.7125      0.43111111
  0.5         0.53444444  0.72        0.75111111  0.29        0.37666667
  0.04888889  0.51833333]"
7,HNU_1_deter_dti_con_ROIv_scale33,no_norm,betweenness_centrality,standard,SGD,0.593333333333,0.092255683354,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.51,0.12706079035,"[ 0.55        0.76666667  0.66666667  0.51666667  0.53333333  0.3
  0.71666667  0.36666667  0.43333333  0.71666667  0.53333333  0.41666667
  0.38333333  0.55        0.43333333  0.6         0.46666667  0.4
  0.46666667  0.45        0.65        0.46666667  0.61666667  0.66666667
  0.7         0.36666667  0.5         0.36666667  0.66666667  0.56666667
  0.51666667  0.3         0.66666667  0.33333333  0.28333333  0.56666667
  0.55        0.48333333  0.53333333  0.43333333  0.66666667  0.36666667
  0.43333333  0.51666667  0.45        0.63333333  0.55        0.45        0.25
  0.68333333]",0.571888888889,0.135425985434,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.531816111111,0.193340001952,"[ 0.44125     0.836       0.62222222  0.3375      0.51777778  0.26        0.90125
  0.23375     0.66625     0.83875     0.774       0.69625     0.32        0.62125
  0.44        0.572       0.54625     0.442       0.66666667  0.31125
  0.6975      0.47222222  0.67555556  0.726       0.75555556  0.34333333
  0.51111111  0.15375     0.60666667  0.354       0.53555556  0.3375
  0.86111111  0.43125     0.325       0.576       0.50125     0.42        0.865
  0.56555556  0.58375     0.30444444  0.58125     0.39888889  0.654
  0.70222222  0.46125     0.37666667  0.05777778  0.71222222]"
8,HNU_1_deter_dti_con_ROIv_scale33,no_norm,eigenvector_centrality,standard,LR,0.7,0.0829993306533,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.697,0.143862974929,"[ 0.58333333  0.65        0.75        0.5         0.85        0.93333333
  0.7         0.76666667  0.81666667  0.46666667  0.76666667  0.81666667
  0.75        0.65        0.48333333  0.78333333  0.63333333  0.68333333
  0.75        0.78333333  0.6         0.6         0.78333333  0.65
  0.81666667  0.75        0.88333333  0.81666667  0.58333333  0.73333333
  0.68333333  0.81666667  0.81666667  0.91666667  0.36666667  0.6
  0.81666667  0.66666667  0.71666667  0.66666667  0.9         0.61666667
  0.58333333  0.7         0.66666667  0.8         0.71666667  0.81666667
  0.16666667  0.48333333]",0.673277777778,0.116666190475,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.699926666667,0.197134131403,"[ 0.66125     0.972       0.74333333  0.68625     0.97555556  1.          0.6775
  0.72        0.6425      0.4625      0.918       0.57        0.72625     0.5
  0.428       0.992       0.81875     0.614       0.64888889  0.56875
  0.605       0.61666667  0.98555556  0.706       0.85555556  0.69666667
  0.99888889  0.8475      0.58111111  0.75        0.66333333  0.935
  0.75222222  1.          0.27125     0.654       0.75375     0.71777778
  0.81375     0.37666667  0.97875     0.33333333  0.54625     0.73111111
  0.614       0.78333333  0.79        0.76666667  0.26444444  0.28222222]"
9,HNU_1_deter_dti_con_ROIv_scale33,no_norm,eigenvector_centrality,standard,SGD,0.703333333333,0.092736184955,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.646333333333,0.132635255913,"[ 0.66666667  0.61666667  0.68333333  0.5         0.65        0.81666667
  0.7         0.73333333  0.75        0.46666667  0.61666667  0.71666667
  0.73333333  0.58333333  0.48333333  0.53333333  0.53333333  0.61666667
  0.75        0.68333333  0.43333333  0.61666667  0.81666667  0.66666667
  0.8         0.58333333  0.93333333  0.63333333  0.43333333  0.55
  0.66666667  0.66666667  0.81666667  0.93333333  0.33333333  0.46666667
  0.76666667  0.66666667  0.7         0.66666667  0.73333333  0.6         0.55
  0.71666667  0.65        0.75        0.66666667  0.83333333  0.33333333
  0.5       ]",0.728722222222,0.0897922155608,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.743443333333,0.202504509701,"[ 0.71        0.962       0.99888889  0.635       0.99666667  1.          0.66875
  0.71        0.7575      0.57        0.922       0.59125     0.835
  0.51375     0.484       0.986       0.85875     0.766       0.69111111
  0.59125     0.685       0.77555556  0.98777778  0.716       0.92222222
  0.57222222  0.5         1.          0.77222222  0.774       0.73333333
  0.9525      0.88444444  1.          0.3125      0.656       0.7575
  0.74222222  0.835       0.42333333  1.          0.43555556  0.6275
  0.77777778  0.772       0.89666667  0.96625     0.93666667  0.14333333
  0.36666667]"
10,HNU_1_deter_dti_con_ROIv_scale33,no_norm,pagerank,standard,LR,0.666666666667,0.143372087784,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.656333333333,0.124315458948,"[ 0.66666667  0.63333333  0.68333333  0.46666667  0.6         0.63333333
  0.78333333  0.86666667  0.66666667  0.76666667  0.76666667  0.68333333
  0.78333333  0.7         0.45        0.8         0.56666667  0.68333333
  0.5         0.53333333  0.55        0.75        0.7         0.65        0.7
  0.53333333  0.71666667  0.78333333  0.68333333  0.81666667  0.53333333
  0.53333333  0.71666667  0.61666667  0.48333333  0.63333333  0.73333333
  0.83333333  0.5         0.88333333  0.86666667  0.65        0.75        0.7
  0.56666667  0.61666667  0.58333333  0.76666667  0.33333333  0.4       ]",0.735027777778,0.163302963919,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.737236666667,0.174648931567,"[ 0.78875     0.942       0.62444444  0.6775      0.63888889  0.89375
  0.88875     0.89625     0.65        0.89625     0.978       0.65375
  0.8475      0.705       0.476       0.988       0.7025      0.866
  0.44111111  0.4975      0.85125     0.69        0.76555556  0.91
  0.88555556  0.56666667  0.84222222  0.955       0.74555556  0.986
  0.53222222  0.7325      0.84666667  0.50375     0.37625     0.862
  0.94625     0.89111111  0.37875     0.86        0.9325      0.65111111
  0.74625     0.80888889  0.718       0.69888889  0.6125      0.69222222
  0.48555556  0.33666667]"
11,HNU_1_deter_dti_con_ROIv_scale33,no_norm,pagerank,standard,SGD,0.706666666667,0.118602979164,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.673333333333,0.134907375632,"[ 0.66666667  0.66666667  0.68333333  0.58333333  0.76666667  0.63333333
  0.76666667  0.75        0.65        0.76666667  0.75        0.65
  0.76666667  0.66666667  0.48333333  0.98333333  0.66666667  0.65
  0.53333333  0.66666667  0.51666667  0.71666667  0.71666667  0.76666667
  0.68333333  0.6         0.81666667  0.7         0.8         0.95
  0.73333333  0.28333333  0.68333333  0.56666667  0.56666667  0.73333333
  0.56666667  0.83333333  0.46666667  0.91666667  0.78333333  0.7
  0.58333333  0.65        0.63333333  0.76666667  0.63333333  0.78333333
  0.45        0.31666667]",0.762111111111,0.145046671927,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.723422222222,0.173909530724,"[ 0.6825      0.978       0.63777778  0.875       0.71        0.64125     0.88
  0.8925      0.59        0.82625     0.986       0.64375     0.865
  0.65125     0.428       0.93        0.5975      0.886       0.41777778
  0.52125     0.975       0.72        0.72888889  0.87        0.82111111
  0.51333333  0.93333333  0.82        0.93555556  0.97        0.59111111
  0.6075      0.79666667  0.485       0.3725      0.78        0.93375
  0.82666667  0.54875     0.80222222  0.92625     0.69777778  0.755
  0.41888889  0.772       0.71111111  0.55        0.75        0.49777778
  0.42111111]"
