,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csa_con_aparc68+subcort,binar,bag_of_edges,standard,LR,0.602040816327,0.107361293368,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.602,0.103903801663,"[ 0.65  0.55  0.75  0.55  0.4   0.45  0.6   0.6   0.55  0.55  0.6   0.65
  0.5   0.4   0.6   0.55  0.55  0.65  0.6   0.75  0.6   0.3   0.75  0.65
  0.7   0.6   0.5   0.7   0.6   0.65  0.55  0.4   0.6   0.6   0.5   0.55
  0.7   0.8   0.65  0.65  0.65  0.6   0.75  0.7   0.7   0.75  0.6   0.45
  0.7   0.65]",0.627380952381,0.125865765969,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.651882738095,0.14162110497,"[ 0.80208333  0.61        0.74        0.67708333  0.44791667  0.4375
  0.63541667  0.7         0.54761905  0.73958333  0.64285714  0.67
  0.546875    0.44047619  0.67708333  0.66666667  0.625       0.5625
  0.79166667  0.82291667  0.6         0.26190476  0.82        0.72916667
  0.625       0.55        0.76190476  0.73        0.63        0.69047619
  0.53125     0.30952381  0.72619048  0.625       0.52380952  0.54166667
  0.82142857  0.875       0.69791667  0.6875      0.57142857  0.6875
  0.83333333  0.66666667  0.77083333  0.92        0.61458333  0.36        0.875
  0.77380952]"
1,BNU_1_proba_csa_con_aparc68+subcort,binar,bag_of_edges,standard,SGD,0.65306122449,0.0325892233116,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.522,0.135336617366,"[ 0.7   0.65  0.7   0.55  0.35  0.45  0.4   0.75  0.35  0.45  0.4   0.45
  0.4   0.4   0.6   0.3   0.4   0.5   0.6   0.55  0.55  0.2   0.65  0.6
  0.6   0.75  0.35  0.5   0.6   0.5   0.6   0.3   0.3   0.45  0.5   0.35
  0.65  0.6   0.75  0.55  0.4   0.55  0.7   0.65  0.6   0.7   0.5   0.5
  0.7   0.5 ]",0.647448979592,0.111572824332,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.632198809524,0.129620824853,"[ 0.75        0.54        0.81        0.64583333  0.47916667  0.453125
  0.60416667  0.74        0.53571429  0.64583333  0.60714286  0.55
  0.546875    0.5         0.66666667  0.66666667  0.5625      0.609375
  0.71875     0.73958333  0.63        0.23809524  0.69        0.63541667
  0.60416667  0.69        0.76190476  0.63        0.71        0.5952381
  0.55208333  0.38095238  0.60714286  0.58333333  0.42857143  0.5625
  0.85714286  0.703125    0.65625     0.625       0.46428571  0.78125
  0.78125     0.72916667  0.70833333  0.86        0.60416667  0.44
  0.89583333  0.83333333]"
2,BNU_1_proba_csa_con_aparc68+subcort,binar,degrees,standard,LR,0.591836734694,0.120755485079,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.631,0.121610032481,"[ 0.7   0.6   0.7   0.55  0.55  0.4   0.85  0.55  0.75  0.5   0.55  0.6
  0.6   0.65  0.55  0.55  0.65  0.7   0.6   0.65  0.65  0.5   0.85  0.7
  0.4   0.55  0.7   0.6   0.6   0.8   0.4   0.4   0.8   0.9   0.55  0.65
  0.7   0.6   0.5   0.8   0.6   0.8   0.65  0.65  0.6   0.8   0.55  0.5
  0.7   0.8 ]",0.651105442177,0.1174823451,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.666428373016,0.144690896195,"[ 0.75        0.64        0.75        0.625       0.54166667  0.515625
  0.82291667  0.59        0.75        0.48958333  0.60714286  0.63
  0.828125    0.51190476  0.60416667  0.63888889  0.84375     0.625       0.75
  0.77083333  0.72        0.42857143  0.91        0.73958333  0.51041667
  0.53        0.88095238  0.44        0.71        0.63095238  0.35416667
  0.57142857  0.83333333  0.84375     0.5952381   0.61458333  0.85714286
  0.921875    0.36458333  0.65625     0.55952381  0.875       0.78125
  0.65625     0.73958333  0.85        0.47916667  0.51        0.77083333
  0.70238095]"
3,BNU_1_proba_csa_con_aparc68+subcort,binar,degrees,standard,SGD,0.65306122449,0.0998112430211,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.62,0.115758369028,"[ 0.75  0.6   0.7   0.65  0.6   0.5   0.8   0.5   0.75  0.55  0.55  0.5
  0.55  0.5   0.6   0.5   0.55  0.65  0.55  0.8   0.55  0.45  0.8   0.7
  0.4   0.6   0.55  0.6   0.75  0.8   0.45  0.4   0.65  0.85  0.55  0.55
  0.7   0.6   0.55  0.8   0.75  0.55  0.6   0.6   0.65  0.8   0.5   0.65
  0.65  0.8 ]",0.679506802721,0.114270171112,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.67125218254,0.141172774684,"[ 0.79166667  0.58        0.7         0.61458333  0.52083333  0.578125
  0.80208333  0.58        0.73809524  0.40625     0.60714286  0.64
  0.765625    0.48809524  0.58333333  0.63888889  0.859375    0.78125
  0.625       0.79166667  0.57        0.41666667  0.89        0.79166667
  0.48958333  0.59        0.85714286  0.7         0.76        0.64285714
  0.19791667  0.54761905  0.77380952  0.76041667  0.61904762  0.6875
  0.91666667  0.921875    0.52083333  0.75        0.61904762  0.828125
  0.73958333  0.65625     0.72916667  0.81        0.57291667  0.6         0.75
  0.76190476]"
4,BNU_1_proba_csa_con_aparc68+subcort,binar,closeness_centrality,standard,LR,0.602040816327,0.0554953628286,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.597,0.108816359064,"[ 0.65  0.7   0.6   0.6   0.6   0.45  0.75  0.55  0.7   0.4   0.55  0.65
  0.65  0.5   0.7   0.65  0.5   0.55  0.65  0.7   0.65  0.5   0.75  0.7
  0.4   0.45  0.65  0.55  0.55  0.75  0.5   0.4   0.7   0.7   0.5   0.65
  0.65  0.6   0.35  0.55  0.45  0.55  0.65  0.5   0.7   0.8   0.5   0.6
  0.65  0.8 ]",0.655782312925,0.121381340974,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.666092460317,0.139318870622,"[ 0.77083333  0.63        0.72        0.65625     0.57291667  0.515625
  0.79166667  0.62        0.72619048  0.45833333  0.64285714  0.66        0.84375
  0.48809524  0.60416667  0.61111111  0.78125     0.625       0.77083333
  0.73958333  0.72        0.48809524  0.9         0.73958333  0.55208333
  0.53        0.79761905  0.44        0.72        0.63095238  0.375
  0.53571429  0.85714286  0.8125      0.58333333  0.58333333  0.88095238
  0.921875    0.39583333  0.66666667  0.53571429  0.875       0.80208333
  0.63541667  0.73958333  0.87        0.47916667  0.51        0.76041667
  0.73809524]"
5,BNU_1_proba_csa_con_aparc68+subcort,binar,closeness_centrality,standard,SGD,0.65306122449,0.0998112430211,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.626,0.109654001295,"[ 0.75  0.55  0.7   0.6   0.6   0.45  0.8   0.6   0.7   0.6   0.5   0.65
  0.7   0.55  0.6   0.55  0.6   0.7   0.55  0.7   0.65  0.5   0.7   0.7
  0.35  0.4   0.65  0.45  0.7   0.8   0.5   0.4   0.8   0.85  0.6   0.65
  0.7   0.55  0.6   0.75  0.7   0.55  0.65  0.6   0.7   0.75  0.55  0.65
  0.65  0.75]",0.688605442177,0.107869150461,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.676963690476,0.134350007233,"[ 0.72916667  0.61        0.73        0.64583333  0.5         0.640625
  0.8125      0.54        0.77380952  0.39583333  0.61904762  0.71        0.75
  0.53571429  0.5625      0.41666667  0.8125      0.765625    0.66666667
  0.78125     0.62        0.5         0.9         0.8125      0.53125     0.53
  0.83333333  0.62        0.75        0.71428571  0.29166667  0.53571429
  0.8452381   0.77083333  0.66666667  0.65625     0.92857143  0.90625
  0.57291667  0.69791667  0.6547619   0.765625    0.6875      0.69791667
  0.70833333  0.85        0.55208333  0.73        0.77083333  0.75      ]"
6,BNU_1_proba_csa_con_aparc68+subcort,binar,betweenness_centrality,standard,LR,0.571428571429,0.133630620956,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.568,0.10137060718,"[ 0.55  0.5   0.6   0.6   0.55  0.4   0.5   0.45  0.6   0.7   0.55  0.5
  0.65  0.5   0.6   0.5   0.6   0.5   0.65  0.6   0.65  0.35  0.6   0.65
  0.5   0.55  0.45  0.5   0.6   0.8   0.5   0.4   0.6   0.65  0.65  0.75
  0.4   0.5   0.45  0.6   0.7   0.7   0.65  0.6   0.5   0.65  0.6   0.4
  0.55  0.8 ]",0.606972789116,0.0995297466157,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.706240873016,0.112334922222,"[ 0.66666667  0.52        0.75        0.6875      0.625       0.484375
  0.6875      0.5         0.73809524  0.64583333  0.69047619  0.71
  0.828125    0.54761905  0.6875      0.97222222  0.921875    0.84375
  0.84375     0.75        0.77        0.44047619  0.73        0.65625
  0.78125     0.59        0.66666667  0.63        0.69        0.8452381
  0.57291667  0.63095238  0.76190476  0.75        0.75        0.88541667
  0.77380952  0.859375    0.60416667  0.77083333  0.64285714  0.8125
  0.5625      0.6875      0.70833333  0.82        0.65625     0.67
  0.80208333  0.69047619]"
7,BNU_1_proba_csa_con_aparc68+subcort,binar,betweenness_centrality,standard,SGD,0.602040816327,0.070359673072,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.588,0.121885191882,"[ 0.6   0.5   0.65  0.75  0.7   0.3   0.55  0.4   0.45  0.65  0.6   0.6
  0.6   0.75  0.55  0.55  0.6   0.45  0.8   0.65  0.75  0.5   0.75  0.45
  0.5   0.45  0.55  0.45  0.5   0.7   0.8   0.55  0.6   0.7   0.55  0.7
  0.6   0.5   0.45  0.65  0.7   0.75  0.65  0.65  0.5   0.7   0.25  0.5
  0.7   0.6 ]",0.672789115646,0.0899798495678,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.671496031746,0.121364896321,"[ 0.6875      0.54        0.66        0.66666667  0.625       0.390625
  0.625       0.46        0.52380952  0.63541667  0.57142857  0.6         0.734375
  0.66666667  0.67708333  0.94444444  0.875       0.953125    0.84375
  0.8125      0.76        0.5         0.77        0.54166667  0.76041667
  0.53        0.57142857  0.59        0.68        0.67857143  0.5625
  0.64285714  0.76190476  0.70833333  0.70238095  0.73958333  0.82142857
  0.734375    0.55208333  0.63541667  0.77380952  0.71875     0.65625
  0.70833333  0.63541667  0.74        0.42708333  0.72        0.86458333
  0.5952381 ]"
8,BNU_1_proba_csa_con_aparc68+subcort,binar,eigenvector_centrality,standard,LR,0.591836734694,0.0862498117898,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.635,0.105948100502,"[ 0.75  0.8   0.65  0.4   0.55  0.6   0.7   0.45  0.7   0.45  0.6   0.75
  0.6   0.6   0.65  0.55  0.7   0.65  0.5   0.7   0.6   0.5   0.85  0.75
  0.6   0.55  0.75  0.6   0.7   0.75  0.55  0.6   0.7   0.8   0.55  0.65
  0.7   0.65  0.5   0.8   0.45  0.75  0.65  0.6   0.65  0.75  0.55  0.45
  0.7   0.7 ]",0.635799319728,0.113269503482,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.666973412698,0.139572611131,"[ 0.75        0.71        0.67        0.54166667  0.375       0.65625
  0.73958333  0.51        0.64285714  0.38541667  0.55952381  0.74
  0.859375    0.57142857  0.66666667  0.69444444  0.859375    0.59375
  0.61458333  0.75        0.72        0.44047619  0.96        0.83333333
  0.58333333  0.46        0.83333333  0.62        0.72        0.5952381
  0.53125     0.58333333  0.83333333  0.875       0.58333333  0.6875
  0.76190476  0.90625     0.45833333  0.73958333  0.58333333  0.90625
  0.80208333  0.61458333  0.70833333  0.76        0.46875     0.5         0.6875
  0.70238095]"
9,BNU_1_proba_csa_con_aparc68+subcort,binar,eigenvector_centrality,standard,SGD,0.683673469388,0.101825168957,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.655,0.103561575886,"[ 0.7   0.75  0.7   0.7   0.6   0.5   0.8   0.5   0.65  0.45  0.55  0.7
  0.7   0.65  0.6   0.55  0.65  0.6   0.55  0.8   0.75  0.55  0.85  0.75
  0.5   0.6   0.65  0.65  0.65  0.8   0.5   0.5   0.8   0.75  0.75  0.7
  0.7   0.55  0.55  0.8   0.6   0.7   0.55  0.65  0.7   0.85  0.5   0.7
  0.7   0.75]",0.690221088435,0.120966385287,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.698244642857,0.136336321379,"[ 0.76041667  0.72        0.61        0.64583333  0.47916667  0.640625
  0.78125     0.55        0.79761905  0.35416667  0.55952381  0.63        0.8125
  0.66666667  0.75        0.66666667  0.84375     0.6875      0.5625
  0.76041667  0.74        0.60714286  0.97        0.88541667  0.63541667
  0.59        0.88095238  0.58        0.74        0.57142857  0.42708333
  0.66666667  0.85714286  0.88541667  0.70238095  0.76041667  0.77380952
  0.953125    0.4375      0.82291667  0.57142857  0.890625    0.75
  0.64583333  0.75        0.82        0.48958333  0.71        0.78125
  0.73809524]"
10,BNU_1_proba_csa_con_aparc68+subcort,binar,pagerank,standard,LR,0.612244897959,0.115851159016,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.654,0.107628992377,"[ 0.75  0.75  0.75  0.65  0.65  0.4   0.8   0.55  0.65  0.45  0.6   0.65
  0.65  0.5   0.65  0.55  0.6   0.7   0.7   0.8   0.7   0.5   0.8   0.7
  0.55  0.5   0.65  0.6   0.65  0.8   0.6   0.45  0.65  0.8   0.6   0.6
  0.7   0.75  0.5   0.7   0.7   0.8   0.7   0.65  0.7   0.8   0.45  0.75
  0.75  0.8 ]",0.668367346939,0.115699705037,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.718127777778,0.124988342806,"[ 0.85416667  0.72        0.76        0.65625     0.57291667  0.5625
  0.90625     0.57        0.71428571  0.44791667  0.70238095  0.75        0.8125
  0.61904762  0.66666667  0.63888889  0.8125      0.734375    0.875
  0.73958333  0.82        0.55952381  0.95        0.82291667  0.6875      0.51
  0.89285714  0.65        0.79        0.76190476  0.48958333  0.57142857
  0.71428571  0.83333333  0.6547619   0.61458333  0.88095238  0.953125
  0.46875     0.73958333  0.5952381   0.90625     0.80208333  0.67708333
  0.79166667  0.83        0.63541667  0.73        0.70833333  0.75      ]"
