,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csd_con_aparc150+subcort,no_norm,bag_of_edges,standard,LR,0.826530612245,0.107850486883,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.868,0.0876127844552,"[ 0.85  0.8   0.9   0.9   0.65  0.75  0.9   0.85  0.9   0.9   0.9   0.9
  0.8   0.8   0.9   0.95  0.95  0.8   1.    1.    0.9   0.65  1.    0.85
  0.7   0.9   0.85  1.    0.8   0.85  0.75  0.9   0.9   0.95  0.95  0.8
  0.9   0.9   0.9   0.85  0.95  0.9   0.75  0.85  0.8   0.9   0.85  0.7   1.
  1.  ]",0.889370748299,0.135044848582,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.922857738095,0.0944110515698,"[ 0.90625     0.88        0.84        0.9375      0.84375     1.          1.
  0.9         0.97619048  0.9375      0.96428571  0.63        0.9375
  0.6547619   0.9375      1.          1.          0.75        1.
  0.85416667  1.          0.83333333  0.98        0.97916667  0.79166667
  0.99        1.          0.92        0.88        0.9047619   0.78125     1.
  1.          0.96875     0.92857143  0.96875     0.97619048  1.          1.
  0.97916667  1.          0.671875    0.94791667  0.98958333  0.97916667
  0.95        0.83333333  0.94        1.          1.        ]"
1,BNU_1_proba_csd_con_aparc150+subcort,no_norm,bag_of_edges,standard,SGD,0.877551020408,0.0986042630159,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.805,0.099121138008,"[ 0.75  0.7   0.9   0.85  0.85  0.8   0.8   0.8   0.75  0.85  0.8   0.75
  0.7   0.65  0.9   0.85  0.8   0.8   0.85  0.85  1.    0.75  0.9   0.7
  0.7   0.45  0.85  0.85  0.75  0.85  0.7   0.8   0.9   0.8   0.9   0.75
  0.75  0.9   0.85  0.65  0.85  0.8   0.65  0.85  0.75  1.    0.8   0.8   1.
  0.95]",0.926870748299,0.0911144514955,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.906953571429,0.0966083463015,"[ 0.89583333  0.93        0.83        0.8125      0.78125     0.96875
  0.98958333  0.91        1.          0.88541667  0.89285714  0.88
  0.921875    0.5952381   0.9375      0.91666667  0.953125    0.84375     1.
  0.96875     1.          0.58333333  1.          0.97916667  0.82291667
  1.          0.96428571  0.93        0.75        0.85714286  0.72916667
  1.          0.97619048  0.9375      0.95238095  0.85416667  0.91666667
  0.984375    1.          0.94791667  1.          0.796875    0.90625
  0.95833333  0.85416667  1.          0.84375     0.89        1.          1.        ]"
2,BNU_1_proba_csd_con_aparc150+subcort,no_norm,degrees,standard,LR,0.887755102041,0.0689058898618,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.854,0.0984073168011,"[ 0.9   0.8   0.85  0.8   0.75  0.8   0.85  0.75  1.    0.75  1.    0.8
  0.8   0.8   0.8   0.9   1.    0.7   1.    1.    0.9   0.7   0.9   0.8
  0.75  0.8   0.85  0.9   0.65  0.8   0.65  0.9   0.9   0.9   0.9   0.95
  0.9   1.    0.85  0.85  1.    0.75  1.    0.9   0.9   0.85  0.85  0.65
  0.9   1.  ]",0.939200680272,0.0711286778245,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.939352380952,0.0783193289606,"[ 0.875       0.82        0.94        0.88541667  0.86458333  0.953125
  0.98958333  0.89        1.          0.86458333  1.          0.98        0.96875
  0.78571429  0.97916667  1.          1.          0.828125    1.          1.
  1.          0.83333333  0.99        0.95833333  0.91666667  0.98        1.
  0.97        0.8         0.70238095  0.75        0.97619048  1.
  0.97916667  1.          1.          1.          1.          0.90625
  0.88541667  1.          1.          1.          0.98958333  0.98958333
  1.          0.92708333  0.8         0.98958333  1.        ]"
3,BNU_1_proba_csd_con_aparc150+subcort,no_norm,degrees,standard,SGD,0.887755102041,0.0668174748522,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.82,0.109087121146,"[ 0.9   0.8   0.8   0.75  0.75  0.8   0.85  0.8   0.95  0.7   0.9   0.85
  0.8   0.65  0.8   0.8   0.85  0.7   1.    1.    0.95  0.6   0.9   0.8
  0.8   0.8   0.75  0.85  0.65  0.75  0.6   0.85  0.85  0.85  0.85  0.9
  0.9   0.95  0.85  0.85  0.95  0.45  0.95  0.85  0.9   0.85  0.8   0.65
  0.9   0.95]",0.966836734694,0.0490698573002,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.923307539683,0.0741689714136,"[ 0.96875     0.87        0.83        0.95833333  0.89583333  0.890625    1.
  0.9         1.          0.85416667  1.          0.96        0.9375
  0.85714286  0.97916667  0.97222222  0.9375      0.921875    1.          1.
  0.99        0.79761905  0.98        0.9375      0.875       0.98
  0.85714286  0.78        0.76        0.71428571  0.76041667  0.97619048
  0.92857143  0.96875     1.          1.          0.97619048  1.
  0.91666667  0.84375     0.9047619   1.          0.98958333  0.92708333
  0.89583333  1.          0.89583333  0.85        0.92708333  1.        ]"
4,BNU_1_proba_csd_con_aparc150+subcort,no_norm,closeness_centrality,standard,LR,0.755102040816,0.0694327585151,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.756,0.104709120902,"[ 0.7   0.7   0.6   0.7   0.75  0.95  0.85  0.45  0.75  0.6   0.8   0.9
  0.75  0.55  0.85  0.8   0.75  0.85  0.75  0.95  0.95  0.7   0.9   0.95
  0.75  0.7   0.75  0.55  0.7   0.7   0.65  0.85  0.8   0.75  0.9   0.65
  0.75  0.75  0.8   0.8   0.75  0.75  0.75  0.75  0.75  0.75  0.8   0.7
  0.65  0.8 ]",0.801445578231,0.112283114886,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.828417857143,0.112320107394,"[ 0.8125      0.65        0.75        0.8125      0.89583333  0.96875
  0.94791667  0.6         0.79761905  0.6875      0.79761905  0.97        0.875
  0.61904762  0.92708333  0.75        0.796875    0.8125      0.89583333
  1.          0.98        0.66666667  0.8         1.          0.95833333
  0.72        0.77380952  0.64        0.84        0.95238095  0.80208333
  0.89285714  0.77380952  0.91666667  1.          0.82291667  0.63095238
  0.875       0.83333333  0.91666667  0.78571429  0.796875    0.85416667
  0.875       0.84375     1.          0.83333333  0.77        0.58333333
  0.91666667]"
5,BNU_1_proba_csd_con_aparc150+subcort,no_norm,closeness_centrality,standard,SGD,0.765306122449,0.090465960242,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.702,0.101469207152,"[ 0.7   0.5   0.45  0.8   0.65  0.65  0.8   0.7   0.7   0.55  0.7   0.8
  0.6   0.6   0.7   0.55  0.7   0.55  0.6   0.9   0.7   0.5   0.8   0.85
  0.75  0.7   0.65  0.55  0.7   0.7   0.75  0.85  0.75  0.8   0.8   0.75
  0.75  0.75  0.8   0.8   0.65  0.65  0.85  0.7   0.85  0.75  0.75  0.7
  0.7   0.6 ]",0.811649659864,0.0923065544488,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.819446825397,0.113415812463,"[ 0.72916667  0.61        0.61        0.8125      0.91666667  0.953125
  0.85416667  0.66        0.80952381  0.75        0.79761905  0.9         0.90625
  0.60714286  0.9375      0.63888889  0.8125      0.78125     0.83333333
  0.96875     0.99        0.64285714  0.8         0.96875     0.92708333
  0.76        0.79761905  0.65        0.85        0.97619048  0.80208333
  0.86904762  0.77380952  0.92708333  0.97619048  0.82291667  0.66666667
  0.875       0.78125     0.9375      0.80952381  0.703125    0.92708333
  0.86458333  0.92708333  1.          0.83333333  0.81        0.59375
  0.82142857]"
6,BNU_1_proba_csd_con_aparc150+subcort,no_norm,betweenness_centrality,standard,LR,0.602040816327,0.089190911769,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.562,0.106564534438,"[ 0.7   0.6   0.6   0.55  0.6   0.55  0.5   0.6   0.45  0.65  0.55  0.5
  0.85  0.45  0.55  0.5   0.4   0.75  0.55  0.65  0.5   0.7   0.55  0.3
  0.6   0.65  0.45  0.75  0.45  0.7   0.45  0.4   0.65  0.45  0.55  0.65
  0.6   0.55  0.6   0.55  0.45  0.6   0.7   0.4   0.65  0.5   0.45  0.65
  0.55  0.5 ]",0.601530612245,0.119110679362,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.553362896825,0.145377181368,"[ 0.70833333  0.5         0.58        0.69791667  0.33333333  0.453125
  0.375       0.53        0.5952381   0.54166667  0.61904762  0.55
  0.265625    0.26190476  0.58333333  0.22222222  0.328125    0.6875
  0.45833333  0.91666667  0.54        0.78571429  0.69        0.40625
  0.41666667  0.66        0.54761905  0.73        0.68        0.66666667
  0.57291667  0.41666667  0.33333333  0.5         0.57142857  0.61458333
  0.6547619   0.59375     0.59375     0.71875     0.58333333  0.6875
  0.66666667  0.47916667  0.63541667  0.47        0.54166667  0.35        0.6875
  0.66666667]"
7,BNU_1_proba_csd_con_aparc150+subcort,no_norm,betweenness_centrality,standard,SGD,0.591836734694,0.0674379238352,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.516,0.113771701227,"[ 0.7   0.6   0.6   0.7   0.4   0.4   0.45  0.6   0.6   0.45  0.65  0.6
  0.35  0.4   0.4   0.3   0.4   0.65  0.4   0.75  0.35  0.55  0.65  0.4
  0.5   0.6   0.5   0.75  0.55  0.65  0.5   0.45  0.4   0.45  0.4   0.6
  0.65  0.4   0.45  0.55  0.55  0.45  0.45  0.35  0.65  0.45  0.6   0.5
  0.55  0.5 ]",0.641241496599,0.0717571554281,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.506782738095,0.142910941042,"[ 0.77083333  0.41        0.61        0.328125    0.53125     0.5625
  0.26041667  0.45        0.39285714  0.45833333  0.79761905  0.55        0.5
  0.42857143  0.5         0.08333333  0.40625     0.5         0.63541667
  0.5         0.56        0.64285714  0.455       0.375       0.41666667
  0.51        0.39285714  0.76        0.8         0.48809524  0.48958333
  0.60714286  0.53571429  0.57291667  0.5         0.64583333  0.5         0.625
  0.78125     0.51041667  0.54761905  0.5         0.17708333  0.45833333
  0.54166667  0.435       0.3125      0.41        0.625       0.48809524]"
8,BNU_1_proba_csd_con_aparc150+subcort,no_norm,eigenvector_centrality,standard,LR,0.642857142857,0.0225876975726,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.578,0.110977475192,"[ 0.7   0.7   0.7   0.5   0.45  0.45  0.45  0.45  0.6   0.75  0.7   0.65
  0.35  0.6   0.65  0.75  0.65  0.55  0.6   0.45  0.55  0.35  0.45  0.5
  0.6   0.45  0.55  0.6   0.5   0.85  0.5   0.5   0.65  0.7   0.45  0.6
  0.6   0.6   0.6   0.7   0.8   0.55  0.65  0.6   0.65  0.5   0.6   0.6
  0.4   0.55]",0.677551020408,0.0630014820407,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.643582142857,0.149906547651,"[ 0.61458333  0.9         0.69        0.69791667  0.59375     0.765625
  0.63541667  0.44        0.61904762  0.52083333  0.8452381   0.77
  0.359375    0.52380952  0.70833333  0.83333333  0.609375    0.546875
  0.69791667  0.54166667  0.53        0.23809524  0.54        0.64583333
  0.67708333  0.35        0.6547619   0.61        0.56        0.96428571
  0.65625     0.48809524  0.6547619   0.84375     0.54761905  0.63541667
  0.79761905  0.78125     0.72916667  0.73958333  0.73809524  1.
  0.60416667  0.63541667  0.80208333  0.54        0.64583333  0.7
  0.55208333  0.4047619 ]"
9,BNU_1_proba_csd_con_aparc150+subcort,no_norm,eigenvector_centrality,standard,SGD,0.673469387755,0.105458633783,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.579,0.138956827828,"[ 0.75  0.55  0.5   0.7   0.45  0.3   0.8   0.55  0.55  0.7   0.65  0.7
  0.45  0.55  0.7   0.65  0.7   0.35  0.7   0.35  0.65  0.35  0.55  0.6
  0.6   0.45  0.6   0.4   0.45  1.    0.55  0.5   0.65  0.75  0.45  0.6
  0.65  0.6   0.55  0.75  0.45  0.4   0.7   0.45  0.55  0.65  0.8   0.6
  0.4   0.6 ]",0.764370748299,0.0519845064057,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.645947222222,0.161968008313,"[ 0.80208333  0.81        0.46        0.6875      0.48958333  0.875
  0.88541667  0.64        0.61904762  0.70833333  0.67857143  0.72        0.375
  0.54761905  0.875       0.61111111  0.65625     0.234375    0.79166667
  0.51041667  0.67        0.27380952  0.49        0.78125     0.69791667
  0.41        0.89285714  0.48        0.68        0.98809524  0.54166667
  0.39285714  0.72619048  0.90625     0.57142857  0.61458333  0.77380952
  0.625       0.71875     0.73958333  0.69047619  0.546875    0.63541667
  0.53125     0.69791667  0.72        0.77083333  0.7         0.625
  0.42857143]"
10,BNU_1_proba_csd_con_aparc150+subcort,no_norm,pagerank,standard,LR,0.642857142857,0.102131478998,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.633,0.126732000694,"[ 0.65  0.8   0.5   0.55  0.75  0.45  0.8   0.4   0.8   0.65  0.65  0.75
  0.45  0.4   0.7   0.65  0.75  0.5   0.6   0.55  0.65  0.3   0.7   0.65
  0.6   0.5   0.7   0.5   0.5   0.95  0.65  0.6   0.75  0.8   0.6   0.6
  0.8   0.75  0.55  0.8   0.75  0.6   0.6   0.5   0.6   0.65  0.65  0.75
  0.6   0.65]",0.659778911565,0.0616679365355,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.680775793651,0.148504737172,"[ 0.71875     0.88        0.6         0.61458333  0.65625     0.671875
  0.875       0.61        0.88095238  0.64583333  0.86904762  0.74
  0.453125    0.48809524  0.86458333  0.86111111  0.5625      0.390625
  0.64583333  0.5625      0.55        0.23809524  0.65        0.66666667
  0.58333333  0.56        0.89285714  0.61        0.62        1.
  0.63541667  0.71428571  0.79761905  0.78125     0.72619048  0.75        0.75
  0.96875     0.65625     0.76041667  0.8452381   0.734375    0.53125
  0.52083333  0.70833333  0.74        0.67708333  0.64        0.6875
  0.45238095]"
