,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
15,HNU_1_deter_csd_con_ROIv_scale250,binar,clustering_coefficient,l1_l2_linf,standard,SGD,0.998148148148,0.00117121394821,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0.2, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'modified_huber', 'class_weight': None, 'alpha': 0.001}",0.996814814815,0.00219239238325,"[ 0.9962963   0.99444444  1.          0.99814815  0.99814815  0.99814815
  0.99814815  0.9962963   0.9962963   0.99444444  0.99814815  0.9962963
  0.99814815  0.9962963   0.99444444  0.9962963   1.          0.9962963
  0.99444444  1.          0.9962963   0.9962963   0.99814815  0.99814815
  0.99074074  0.99814815  1.          1.          0.9962963   0.9962963
  0.99444444  0.9962963   0.99814815  0.9962963   0.99814815  0.9962963
  0.9962963   0.9962963   0.98888889  0.99814815  0.9962963   0.99814815
  0.99444444  0.9962963   0.99814815  1.          0.99444444  1.          0.9962963
  0.9962963 ]",0.999986282579,2.12509374277e-05,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'modified_huber', 'class_weight': None, 'alpha': 0.001}",0.999972839506,3.80633101395e-05,"[ 0.99993141  0.99994513  1.          0.99997257  1.          1.          1.
  0.9999177   0.99997257  1.          1.          0.99997257  0.99993141
  0.99995885  0.99994513  0.99998628  1.          0.99998628  0.99994513
  1.          1.          0.99997257  0.99997257  0.99995885  0.99994513
  0.99998628  1.          1.          0.99993141  0.9999177   0.99994513
  1.          1.          0.99998628  1.          0.99998628  1.
  0.99994513  0.99978052  1.          1.          0.99997257  0.99998628
  0.99993141  1.          1.          1.          1.          0.99995885
  1.        ]"
16,HNU_1_deter_csd_con_ROIv_scale250,binar,triangles,l1_l2_linf,standard,LR,0.921481481481,0.00568973759101,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1', 'C': 0.05}",0.917148148148,0.0125588327418,"[ 0.91666667  0.93518519  0.92222222  0.91296296  0.91851852  0.92037037
  0.91111111  0.91111111  0.91851852  0.91851852  0.92407407  0.89444444
  0.93518519  0.91481481  0.89814815  0.92592593  0.9037037   0.91111111
  0.92037037  0.90925926  0.92407407  0.89444444  0.91666667  0.89444444
  0.92037037  0.91296296  0.91111111  0.92777778  0.94444444  0.91481481
  0.92222222  0.92037037  0.92407407  0.92222222  0.90555556  0.91666667
  0.9037037   0.89074074  0.90740741  0.91481481  0.94814815  0.92407407
  0.91851852  0.8962963   0.92777778  0.92777778  0.9462963   0.92407407
  0.91851852  0.91481481]",0.980024691358,0.00280645697362,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1', 'C': 0.6000000000000001}",0.979404938272,0.00542497481485,"[ 0.97942387  0.98769547  0.97871056  0.97696845  0.97984911  0.98115226
  0.9722085   0.97910837  0.98744856  0.97990398  0.98497942  0.96899863
  0.98262003  0.98049383  0.97262003  0.98447188  0.97600823  0.97950617
  0.98194787  0.97825789  0.98164609  0.9703155   0.97914952  0.96909465
  0.97471879  0.97983539  0.97799726  0.98292181  0.98721536  0.97733882
  0.98037037  0.9845679   0.98654321  0.97950617  0.98038409  0.97836763
  0.97481481  0.96484225  0.97116598  0.98048011  0.99067215  0.98600823
  0.97607682  0.96972565  0.98427984  0.98315501  0.98458162  0.9833882
  0.97930041  0.97941015]"
17,HNU_1_deter_csd_con_ROIv_scale250,binar,triangles,l1_l2_linf,standard,SGD,0.922222222222,0.00868595511078,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'modified_huber', 'class_weight': None, 'alpha': 0.001}",0.918074074074,0.0116272703434,"[ 0.92407407  0.93148148  0.92222222  0.91851852  0.91666667  0.92407407
  0.90925926  0.91111111  0.92592593  0.91481481  0.92222222  0.88888889
  0.92592593  0.91296296  0.9         0.92592593  0.90185185  0.90925926
  0.91666667  0.92592593  0.92222222  0.90925926  0.91666667  0.90185185
  0.91666667  0.92407407  0.91111111  0.93333333  0.93703704  0.90925926
  0.92222222  0.92592593  0.92222222  0.92777778  0.91296296  0.91666667
  0.9037037   0.89074074  0.90555556  0.91666667  0.94814815  0.92592593
  0.91296296  0.89814815  0.92592593  0.93148148  0.93703704  0.92592593
  0.92407407  0.92037037]",0.980150891632,0.00271899910491,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'modified_huber', 'class_weight': None, 'alpha': 0.01}",0.979400548697,0.00546071100759,"[ 0.97994513  0.98765432  0.97865569  0.97695473  0.98048011  0.98098765
  0.97240055  0.97910837  0.98735254  0.97987654  0.9848834   0.96897119
  0.98266118  0.98056241  0.97262003  0.98438957  0.97599451  0.98016461
  0.9817284   0.97823045  0.98122085  0.97041152  0.97902606  0.96902606
  0.97459534  0.97975309  0.97798354  0.98285322  0.98713306  0.97733882
  0.98038409  0.98447188  0.98652949  0.97943759  0.98028807  0.97868313
  0.97495199  0.96360768  0.97122085  0.98072702  0.9905487   0.98599451
  0.97602195  0.97001372  0.98427984  0.98312757  0.98470508  0.98342936
  0.97928669  0.97935528]"
18,HNU_1_deter_csd_con_ROIv_scale250,max,bag_of_edges,l1_l2_linf,standard,LR,0.96037037037,0.00531581484978,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1', 'C': 0.35000000000000003}",0.957851851852,0.0075136820788,"[ 0.96296296  0.96481481  0.96111111  0.95740741  0.95555556  0.96481481
  0.95185185  0.95925926  0.96296296  0.9462963   0.95925926  0.95185185
  0.96666667  0.96666667  0.95925926  0.96666667  0.9537037   0.9462963
  0.97592593  0.96481481  0.96111111  0.94814815  0.95185185  0.95740741
  0.9462963   0.96111111  0.95555556  0.94259259  0.97962963  0.94814815
  0.96481481  0.96296296  0.95740741  0.9537037   0.9537037   0.96111111
  0.95        0.94814815  0.95        0.9537037   0.96296296  0.96296296
  0.95740741  0.95185185  0.96851852  0.95555556  0.95555556  0.96111111
  0.95740741  0.9537037 ]",0.996208504801,0.00103336347917,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1', 'C': 0.01}",0.995899862826,0.00111042926462,"[ 0.99627572  0.99609053  0.99668038  0.99587106  0.99624143  0.99695473
  0.99569273  0.99696845  0.99639232  0.99423868  0.99694787  0.99470508
  0.99762689  0.99625514  0.99572016  0.99729081  0.99567901  0.99441701
  0.99798354  0.99674211  0.99604938  0.99432785  0.99544582  0.99513032
  0.99489026  0.99622771  0.99515775  0.99446502  0.99847051  0.9938546
  0.9966941   0.99624143  0.99668038  0.99541152  0.99545267  0.99622771
  0.99319616  0.99351166  0.99577503  0.99552812  0.99765432  0.9969273
  0.99578189  0.99513032  0.99718793  0.99566529  0.99628258  0.99576132
  0.99617284  0.9949177 ]"
19,HNU_1_deter_csd_con_ROIv_scale250,max,bag_of_edges,l1_l2_linf,standard,SGD,0.961481481481,0.0079780219365,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0.4, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'hinge', 'class_weight': None, 'alpha': 1.0}",0.960888888889,0.00700421194074,"[ 0.96851852  0.96296296  0.96666667  0.95925926  0.96481481  0.96296296
  0.96111111  0.97222222  0.96296296  0.95185185  0.96851852  0.95185185
  0.97037037  0.96666667  0.96296296  0.97222222  0.95555556  0.9462963
  0.97592593  0.96481481  0.96111111  0.95740741  0.95555556  0.95740741
  0.95185185  0.96296296  0.95740741  0.9537037   0.97777778  0.94814815
  0.96481481  0.95555556  0.95925926  0.96111111  0.9537037   0.96111111
  0.95        0.95555556  0.95555556  0.95925926  0.96851852  0.96666667
  0.95740741  0.9537037   0.97222222  0.95740741  0.95740741  0.96296296
  0.96111111  0.95925926]",0.996208504801,0.00103336347917,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'hinge', 'class_weight': None, 'alpha': 0.001}",0.995899862826,0.00111042926462,"[ 0.99627572  0.99609053  0.99668038  0.99587106  0.99624143  0.99695473
  0.99569273  0.99696845  0.99639232  0.99423868  0.99694787  0.99470508
  0.99762689  0.99625514  0.99572016  0.99729081  0.99567901  0.99441701
  0.99798354  0.99674211  0.99604938  0.99432785  0.99544582  0.99513032
  0.99489026  0.99622771  0.99515775  0.99446502  0.99847051  0.9938546
  0.9966941   0.99624143  0.99668038  0.99541152  0.99545267  0.99622771
  0.99319616  0.99351166  0.99577503  0.99552812  0.99765432  0.9969273
  0.99578189  0.99513032  0.99718793  0.99566529  0.99628258  0.99576132
  0.99617284  0.9949177 ]"
20,HNU_1_deter_csd_con_ROIv_scale250,max,degrees,l1_l2_linf,standard,LR,0.99962962963,0.000740740740741,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1', 'C': 0.5}",0.999259259259,0.00117121394821,"[ 1.          1.          0.99814815  1.          1.          0.99814815
  1.          1.          1.          1.          1.          0.99814815
  1.          0.99814815  1.          0.99814815  1.          0.99814815
  1.          0.99814815  1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.99814815  1.          1.
  1.          0.99814815  0.99814815  1.          0.99444444  1.
  0.99814815  0.99814815  0.99814815  1.          1.          0.9962963   1.
  0.99814815  1.          1.          1.          0.99814815]",0.999997256516,5.48696844991e-06,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1', 'C': 0.01}",0.999994238683,1.62515261669e-05,"[ 1.          1.          1.          1.          1.          0.99997257
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.99997257  1.          1.          1.
  0.99998628  0.99997257  1.          0.99990398  1.          0.99997257
  1.          1.          1.          1.          0.99995885  1.          1.
  1.          1.          1.          0.99997257]"
21,HNU_1_deter_csd_con_ROIv_scale250,max,degrees,l1_l2_linf,standard,SGD,0.99962962963,0.000740740740741,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'hinge', 'class_weight': None, 'alpha': 0.001}",0.999444444444,0.000925925925926,"[ 1.          1.          0.99814815  1.          0.99814815  0.9962963
  0.99814815  0.99814815  1.          0.99814815  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.99814815  1.          1.          1.
  0.99814815  0.99814815  1.          0.99814815  1.          0.99814815
  1.          1.          1.          1.          0.99814815  1.          1.
  1.          0.99814815  1.          0.99814815]",0.999997256516,5.48696844991e-06,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'hinge', 'class_weight': None, 'alpha': 0.001}",0.999995336077,1.24549349386e-05,"[ 1.          1.          1.          1.          1.          0.99998628
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.99997257  1.          1.          1.
  0.99997257  0.99997257  1.          0.99993141  1.          0.99997257
  1.          1.          1.          1.          0.99997257  1.          1.
  1.          1.          1.          0.99998628]"
22,HNU_1_deter_csd_con_ROIv_scale250,max,closeness_centrality,l1_l2_linf,standard,LR,0.8,0.0133024333304,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 100, 'penalty': 'l1', 'C': 0.9500000000000001}",0.79937037037,0.0152959375799,"[ 0.80555556  0.79259259  0.80185185  0.79814815  0.79074074  0.79259259
  0.78518519  0.80740741  0.82037037  0.8         0.80185185  0.7962963
  0.81111111  0.80925926  0.78333333  0.80740741  0.8         0.80185185
  0.77962963  0.7962963   0.78518519  0.77222222  0.83148148  0.80185185
  0.82777778  0.80555556  0.82037037  0.82592593  0.77592593  0.8
  0.79259259  0.80555556  0.8037037   0.78518519  0.77407407  0.77407407
  0.80555556  0.77407407  0.75740741  0.81666667  0.80740741  0.80740741
  0.81111111  0.81111111  0.79814815  0.8037037   0.79444444  0.81111111
  0.79074074  0.81666667]",0.868115226337,0.0129088989514,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 100, 'penalty': 'l1', 'C': 0.9500000000000001}",0.86460521262,0.0145752235001,"[ 0.89246914  0.86590535  0.85049383  0.86561043  0.85244856  0.86006173
  0.85392318  0.86301097  0.88337449  0.86999314  0.87868999  0.83977366
  0.86989712  0.88215364  0.8487037   0.8772428   0.86709877  0.87588477
  0.85186557  0.86360768  0.86213306  0.83812757  0.88906036  0.85576818
  0.88914952  0.88323731  0.88188615  0.86368313  0.85851852  0.85646091
  0.87600823  0.8830727   0.86423868  0.86351852  0.83489026  0.86227023
  0.87840878  0.85535665  0.82455418  0.88235254  0.87492455  0.86890947
  0.843107    0.86432785  0.85777092  0.86196159  0.86464335  0.86855281
  0.85387517  0.85728395]"
23,HNU_1_deter_csd_con_ROIv_scale250,max,closeness_centrality,l1_l2_linf,standard,SGD,0.795925925926,0.0240997014593,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'modified_huber', 'class_weight': None, 'alpha': 0.001}",0.780074074074,0.0217907494751,"[ 0.77407407  0.77962963  0.76666667  0.75925926  0.77407407  0.78518519
  0.77592593  0.76666667  0.82777778  0.77222222  0.79444444  0.78333333
  0.78333333  0.82777778  0.74444444  0.77962963  0.77592593  0.8
  0.73333333  0.80185185  0.78703704  0.76851852  0.81851852  0.77037037
  0.81111111  0.71481481  0.80555556  0.79444444  0.77037037  0.8037037
  0.80185185  0.7962963   0.8         0.76481481  0.7962963   0.76666667
  0.7462963   0.76481481  0.77407407  0.77777778  0.78518519  0.76666667
  0.77962963  0.77037037  0.79814815  0.78703704  0.77222222  0.76296296
  0.75185185  0.79074074]",0.841744855967,0.0136724823566,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'log', 'class_weight': None, 'alpha': 0.001}",0.837933333333,0.0146707210617,"[ 0.86554184  0.84272291  0.82595336  0.83855967  0.82631687  0.84036351
  0.82640604  0.8353155   0.85459534  0.84395748  0.8413786   0.81375171
  0.84489026  0.85665295  0.80954047  0.84536351  0.83792181  0.8448834
  0.83122085  0.83499314  0.83604252  0.80969136  0.86399863  0.82919753
  0.86296296  0.85502058  0.85708505  0.84010288  0.83578875  0.83294925
  0.85127572  0.85624143  0.84134431  0.83967764  0.81076132  0.83840192
  0.84912209  0.82194102  0.79877915  0.8550823   0.84914952  0.8474417
  0.81910151  0.83109053  0.83018519  0.83696845  0.83859396  0.84307956
  0.82534294  0.8299177 ]"
24,HNU_1_deter_csd_con_ROIv_scale250,max,betweenness_centrality,l1_l2_linf,standard,LR,0.532962962963,0.00839687707315,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2', 'C': 0.01}",0.530259259259,0.0187160208801,"[ 0.54259259  0.51111111  0.53333333  0.52777778  0.5537037   0.51851852
  0.54444444  0.56481481  0.54074074  0.51111111  0.51111111  0.51111111
  0.53703704  0.54814815  0.48888889  0.56481481  0.53703704  0.51296296
  0.51481481  0.50925926  0.57222222  0.50740741  0.52962963  0.52592593
  0.51481481  0.56296296  0.54074074  0.51481481  0.52592593  0.51481481
  0.52592593  0.51296296  0.5462963   0.52962963  0.51666667  0.51666667
  0.52962963  0.57222222  0.52407407  0.52592593  0.54814815  0.51111111
  0.53333333  0.51851852  0.54444444  0.54074074  0.55740741  0.50740741
  0.52777778  0.53148148]",0.536181069959,0.005621297082,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l2', 'C': 0.5}",0.533398353909,0.01945048794,"[ 0.53744856  0.50757888  0.54241427  0.53223594  0.56074074  0.5183882
  0.55591221  0.57019204  0.54128258  0.51667353  0.50969136  0.5141358
  0.53386831  0.55266804  0.49278464  0.56825789  0.54190672  0.50442387
  0.51419753  0.51095336  0.57539781  0.51655007  0.52764746  0.53743484
  0.51926612  0.56102881  0.54025377  0.51781207  0.53065844  0.52116598
  0.53347051  0.5199177   0.55251029  0.52982167  0.52975995  0.51331276
  0.53585734  0.57642661  0.52985597  0.5231893   0.54739369  0.5166118
  0.53823731  0.52694102  0.55765432  0.5451989   0.55609053  0.50710562
  0.52409465  0.53349794]"
25,HNU_1_deter_csd_con_ROIv_scale250,max,betweenness_centrality,l1_l2_linf,standard,SGD,0.533703703704,0.00716262207623,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'log', 'class_weight': None, 'alpha': 0.5}",0.530444444444,0.0187875276025,"[ 0.54259259  0.51111111  0.53333333  0.52777778  0.5537037   0.51851852
  0.54444444  0.56481481  0.54074074  0.51111111  0.51111111  0.51111111
  0.53703704  0.54814815  0.48888889  0.56481481  0.53703704  0.51296296
  0.51481481  0.50925926  0.57407407  0.50740741  0.52962963  0.53703704
  0.51481481  0.56296296  0.54074074  0.51481481  0.52592593  0.51481481
  0.52592593  0.51296296  0.5462963   0.52962963  0.51666667  0.51666667
  0.52962963  0.57222222  0.52407407  0.52592593  0.54814815  0.51111111
  0.53333333  0.51851852  0.54259259  0.54074074  0.55740741  0.50740741
  0.52777778  0.52962963]",0.536696844993,0.00564287855837,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'hinge', 'class_weight': None, 'alpha': 1.0}",0.53369739369,0.0194532255227,"[ 0.53742798  0.50766804  0.54345679  0.53223594  0.56102881  0.51841564
  0.55602881  0.57029492  0.54310014  0.51671468  0.51025377  0.51444444
  0.53389575  0.55266804  0.49311385  0.56836077  0.54300412  0.50462963
  0.51467078  0.51102881  0.5763786   0.51720165  0.52849794  0.53813443
  0.51922497  0.56171468  0.54042524  0.51805213  0.53065844  0.52208505
  0.53357339  0.52091907  0.55251715  0.53041838  0.5301989   0.51333333
  0.53585048  0.57607682  0.52991084  0.52288066  0.54717421  0.51713306
  0.53838134  0.52737311  0.55821674  0.545       0.55609053  0.50707819
  0.52432785  0.53360082]"
26,HNU_1_deter_csd_con_ROIv_scale250,max,eigenvector_centrality,l1_l2_linf,standard,LR,0.998888888889,0.00148148148148,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1', 'C': 0.2}",0.998185185185,0.00167651411819,"[ 1.          0.99814815  0.99814815  1.          0.9962963   1.          1.
  0.9962963   1.          0.99814815  0.99814815  0.99814815  0.99814815
  1.          1.          0.99814815  0.99814815  0.99814815  1.
  0.99444444  0.99814815  0.9962963   1.          0.99814815  1.          1.
  0.99814815  0.99814815  0.99814815  0.99444444  1.          0.9962963   1.
  0.9962963   0.99814815  0.9962963   0.99444444  0.99444444  0.9962963
  0.99814815  0.99814815  0.99814815  1.          1.          0.99814815
  0.99814815  1.          1.          0.9962963   0.99814815]",0.999983539095,2.19478737997e-05,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1', 'C': 0.01}",0.999988751715,1.95327599575e-05,"[ 1.          0.99997257  0.99995885  1.          0.99995885  1.          1.
  0.99998628  1.          1.          0.99998628  0.99995885  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.99997257  1.          0.99998628  1.          1.          1.
  0.99998628  1.          0.99993141  1.          1.          1.
  0.99994513  1.          0.99998628  1.          0.9999177   0.99995885
  1.          1.          0.99997257  1.          1.          0.99998628
  1.          1.          1.          1.          0.99997257]"
27,HNU_1_deter_csd_con_ROIv_scale250,max,eigenvector_centrality,l1_l2_linf,standard,SGD,0.998518518519,0.00138579903214,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'log', 'class_weight': None, 'alpha': 0.001}",0.998222222222,0.00156960148892,"[ 1.          0.99814815  0.99814815  1.          0.99814815  1.
  0.99814815  0.9962963   1.          1.          0.9962963   0.99814815
  0.99814815  0.99814815  1.          0.99814815  1.          0.9962963
  0.99814815  0.99814815  0.99814815  0.99814815  1.          0.99814815
  1.          1.          0.9962963   0.9962963   1.          0.99444444
  1.          0.99814815  1.          0.9962963   1.          0.99814815
  0.99444444  0.99814815  0.99444444  0.99814815  0.9962963   0.99814815
  0.99814815  1.          0.9962963   0.99814815  0.99814815  0.99814815
  1.          0.99814815]",0.999986282579,2.74348422496e-05,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0.8, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'hinge', 'class_weight': None, 'alpha': 0.001}",0.999992866941,1.35073071332e-05,"[ 1.          0.99998628  0.99997257  1.          0.99997257  1.
  0.99997257  0.99998628  1.          1.          1.          0.99995885
  1.          1.          1.          0.99998628  1.          1.          1.
  1.          1.          0.99998628  1.          1.          1.          1.
  1.          1.          1.          0.99995885  1.          1.          1.
  0.99995885  1.          1.          1.          0.99995885  0.99995885
  1.          1.          1.          1.          1.          0.99998628
  1.          1.          1.          1.          1.        ]"
28,HNU_1_deter_csd_con_ROIv_scale250,max,pagerank,l1_l2_linf,standard,LR,1.0,0.0,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1', 'C': 0.01}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'n_jobs': -1, 'fit_intercept': True, 'random_state': 0, 'solver': 'liblinear', 'max_iter': 50, 'penalty': 'l1', 'C': 0.01}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
29,HNU_1_deter_csd_con_ROIv_scale250,max,pagerank,l1_l2_linf,standard,SGD,1.0,0.0,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'hinge', 'class_weight': None, 'alpha': 0.001}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'learning_rate': 'optimal', 'penalty': 'elasticnet', 'l1_ratio': 0, 'epsilon': 0.1, 'random_state': 0, 'n_iter': 50, 'verbose': 0, 'power_t': 0.5, 'n_jobs': -1, 'fit_intercept': True, 'eta0': 0.0, 'shuffle': True, 'loss': 'hinge', 'class_weight': None, 'alpha': 0.001}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
