,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csd_con_ROIv_scale60,binar,bag_of_edges,l1_l2_linf,standard,LR,0.884615384615,0.0680816310121,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.01, 'penalty': 'l2', 'random_state': 0}",0.890909090909,0.0792527080644,"[ 0.81818182  1.          0.72727273  1.          0.72727273  0.90909091
  0.90909091  0.81818182  1.          0.90909091  0.81818182  0.81818182
  1.          0.90909091  0.90909091  0.90909091  0.90909091  0.90909091
  0.90909091  1.          0.90909091  1.          0.90909091  0.90909091
  0.81818182  0.90909091  0.90909091  0.72727273  0.81818182  0.90909091
  1.          0.81818182  0.90909091  1.          1.          1.
  0.81818182  0.90909091  0.90909091  0.90909091  0.81818182  0.81818182
  0.81818182  0.81818182  0.90909091  0.90909091  0.90909091  0.72727273
  1.          0.81818182]",0.984615384615,0.0315290792799,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.01, 'penalty': 'l2', 'random_state': 0}",0.961333333333,0.0526455653931,"[ 0.96666667  1.          0.8         1.          0.9         0.9         1.
  0.93333333  1.          0.93333333  0.96666667  1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          0.86666667  0.96666667  0.86666667  1.
  0.96666667  0.93333333  0.83333333  1.          1.          0.9         1.
  1.          1.          1.          0.96666667  1.          0.9         1.
  0.9         0.9         0.9         0.96666667  1.          1.
  0.96666667  0.86666667  1.          1.        ]"
1,IPCAS_1_deter_csd_con_ROIv_scale60,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.923076923077,0.0728065172538,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0.2, 'n_jobs': -1, 'loss': 'log', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 1.0, 'epsilon': 0.1}",0.878181818182,0.102223220341,"[ 0.90909091  1.          0.72727273  1.          0.72727273  0.81818182
  1.          0.81818182  1.          0.90909091  0.90909091  0.81818182
  1.          0.90909091  1.          0.81818182  0.63636364  0.90909091
  0.72727273  1.          0.90909091  1.          0.72727273  0.90909091
  0.81818182  0.90909091  0.90909091  0.54545455  0.81818182  0.90909091
  0.81818182  0.81818182  0.90909091  0.90909091  1.          1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182  0.81818182
  0.81818182  0.90909091  1.          0.90909091  0.72727273  0.81818182
  0.90909091  1.        ]",0.984615384615,0.0315290792799,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_jobs': -1, 'loss': 'hinge', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.001, 'epsilon': 0.1}",0.961333333333,0.0526455653931,"[ 0.96666667  1.          0.8         1.          0.9         0.9         1.
  0.93333333  1.          0.93333333  0.96666667  1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          0.86666667  0.96666667  0.86666667  1.
  0.96666667  0.93333333  0.83333333  1.          1.          0.9         1.
  1.          1.          1.          0.96666667  1.          0.9         1.
  0.9         0.9         0.9         0.96666667  1.          1.
  0.96666667  0.86666667  1.          1.        ]"
2,IPCAS_1_deter_csd_con_ROIv_scale60,binar,degrees,l1_l2_linf,standard,LR,0.942307692308,0.0792904928003,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.01, 'penalty': 'l2', 'random_state': 0}",0.943636363636,0.0571788552492,"[ 1.          0.90909091  0.81818182  1.          0.90909091  0.90909091
  1.          0.81818182  1.          0.90909091  0.90909091  0.90909091
  1.          0.90909091  0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  0.90909091  0.90909091  0.90909091
  1.          0.90909091  0.90909091  0.90909091  1.          1.
  0.81818182  1.          0.90909091  1.          1.          0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  0.81818182
  1.          1.          1.          1.          0.90909091  0.90909091
  0.90909091]",1.0,0.0,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.1, 'penalty': 'l1', 'random_state': 0}",0.994,0.0159024805892,"[ 1.          1.          1.          1.          1.          1.          1.
  0.93333333  1.          1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.96666667  0.96666667  1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  0.96666667  0.93333333  1.          1.          1.          1.          1.
  1.          1.        ]"
3,IPCAS_1_deter_csd_con_ROIv_scale60,binar,degrees,l1_l2_linf,standard,SGD,0.961538461538,0.0788226981997,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_jobs': -1, 'loss': 'log', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 1.0, 'epsilon': 0.1}",0.945454545455,0.0514259477227,"[ 1.          1.          0.81818182  1.          0.90909091  0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  0.90909091
  1.          1.          1.          0.90909091  1.          0.90909091
  0.90909091  1.          1.          1.          0.90909091  0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  1.          1.
  0.81818182  1.          0.90909091  1.          1.          0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  0.90909091
  0.90909091  1.          1.          1.          0.90909091  0.90909091
  0.90909091]",1.0,0.0,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0.8, 'n_jobs': -1, 'loss': 'modified_huber', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.001, 'epsilon': 0.1}",0.99,0.0191485421551,"[ 1.          1.          0.96666667  1.          1.          1.          1.
  0.93333333  1.          1.          0.93333333  1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.96666667  0.96666667  1.          1.          1.          1.
  0.96666667  1.          1.          0.96666667  1.          1.          1.
  0.96666667  0.96666667  0.93333333  1.          1.          1.          1.
  0.96666667  1.          1.        ]"
4,IPCAS_1_deter_csd_con_ROIv_scale60,binar,closeness_centrality,l1_l2_linf,standard,LR,0.961538461538,0.0486504255411,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.01, 'penalty': 'l2', 'random_state': 0}",0.965454545455,0.047725108176,"[ 1.          0.90909091  0.90909091  1.          1.          1.          1.
  0.81818182  1.          1.          0.90909091  0.90909091  1.
  0.90909091  0.90909091  0.90909091  1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  0.90909091  1.          0.90909091  1.          0.90909091  1.
  0.90909091  1.          1.          0.90909091  1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  0.90909091  0.90909091  0.90909091]",0.992307692308,0.0157645396399,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.01, 'penalty': 'l2', 'random_state': 0}",0.996,0.0158324561161,"[ 1.          1.          1.          1.          1.          1.          1.
  0.93333333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.93333333  1.          1.          1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
5,IPCAS_1_deter_csd_con_ROIv_scale60,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.961538461538,0.0486504255411,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_jobs': -1, 'loss': 'hinge', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.1, 'epsilon': 0.1}",0.963636363636,0.0514259477227,"[ 1.          0.90909091  0.90909091  1.          1.          1.          1.
  0.81818182  1.          1.          0.90909091  0.90909091  1.
  0.90909091  0.90909091  0.90909091  1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  0.90909091  1.          0.90909091  1.          0.90909091  1.
  0.90909091  1.          1.          0.81818182  1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  0.90909091  0.90909091  0.90909091]",1.0,0.0,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'n_jobs': -1, 'loss': 'modified_huber', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.1, 'epsilon': 0.1}",0.99,0.0307318148576,"[ 1.          1.          1.          1.          1.          1.          1.
  0.9         1.          1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.93333333  0.86666667  1.          1.          1.          1.          1.
  1.          1.          0.86666667  1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          1.          1.
  1.          1.        ]"
6,IPCAS_1_deter_csd_con_ROIv_scale60,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.884615384615,0.116659622216,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.25, 'penalty': 'l2', 'random_state': 0}",0.829090909091,0.08651183457,"[ 0.72727273  0.90909091  0.72727273  0.90909091  0.72727273  0.81818182
  0.90909091  0.72727273  0.81818182  0.81818182  0.81818182  0.81818182
  0.72727273  0.72727273  0.90909091  0.81818182  0.90909091  0.81818182
  0.81818182  0.90909091  1.          0.81818182  0.72727273  0.81818182
  0.54545455  0.90909091  0.90909091  0.81818182  0.81818182  0.72727273
  0.81818182  0.81818182  0.90909091  0.90909091  0.81818182  0.81818182
  0.90909091  0.81818182  0.90909091  0.81818182  0.72727273  0.81818182
  0.81818182  0.81818182  0.90909091  1.          1.          0.72727273
  0.90909091  0.72727273]",0.907692307692,0.108567869319,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.1, 'penalty': 'l1', 'random_state': 0}",0.924,0.0742488308924,"[ 0.9         1.          0.7         1.          0.83333333  0.9         1.
  0.86666667  1.          0.9         0.9         0.86666667  1.          0.9
  0.9         0.93333333  1.          1.          0.96666667  1.          1.
  0.93333333  0.83333333  0.86666667  0.76666667  0.96666667  0.9         0.9
  0.9         0.93333333  1.          0.76666667  1.          0.93333333
  1.          0.96666667  0.83333333  0.96666667  0.9         1.
  0.86666667  0.9         0.8         0.96666667  1.          1.          1.
  0.83333333  1.          0.9       ]"
7,IPCAS_1_deter_csd_con_ROIv_scale60,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.884615384615,0.116659622216,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_jobs': -1, 'loss': 'modified_huber', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.001, 'epsilon': 0.1}",0.792727272727,0.11360363165,"[ 0.54545455  0.90909091  0.63636364  0.63636364  0.63636364  0.72727273
  0.90909091  0.72727273  0.90909091  0.90909091  0.81818182  0.63636364
  0.90909091  0.81818182  0.81818182  0.90909091  0.90909091  0.72727273
  0.81818182  0.54545455  0.90909091  0.81818182  0.81818182  0.81818182
  0.72727273  0.81818182  0.90909091  0.72727273  0.81818182  0.81818182
  0.81818182  0.81818182  0.90909091  0.90909091  0.81818182  0.72727273
  0.45454545  0.90909091  0.72727273  0.90909091  0.72727273  0.72727273
  0.81818182  0.63636364  0.90909091  0.90909091  0.90909091  0.72727273
  0.90909091  0.72727273]",0.930769230769,0.107307003031,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_jobs': -1, 'loss': 'hinge', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.01, 'epsilon': 0.1}",0.916666666667,0.0752034278179,"[ 0.83333333  0.96666667  0.7         1.          0.83333333  0.9
  0.96666667  0.86666667  1.          0.9         0.9         0.86666667
  1.          0.93333333  0.9         0.93333333  1.          1.
  0.96666667  1.          1.          0.96666667  0.83333333  0.83333333
  0.76666667  0.96666667  0.9         0.9         0.9         0.93333333
  1.          0.76666667  1.          0.93333333  1.          0.96666667
  0.83333333  0.96666667  0.9         0.93333333  0.86666667  0.9
  0.76666667  0.86666667  1.          1.          0.96666667  0.83333333
  1.          0.86666667]"
8,IPCAS_1_deter_csd_con_ROIv_scale60,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.942307692308,0.0792904928003,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.15000000000000002, 'penalty': 'l2', 'random_state': 0}",0.947272727273,0.0548175033879,"[ 1.          0.90909091  0.81818182  1.          0.90909091  0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  0.90909091
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          0.90909091  0.90909091  0.90909091
  1.          0.90909091  0.90909091  0.90909091  1.          1.
  0.81818182  1.          0.90909091  1.          1.          0.90909091
  0.90909091  0.90909091  1.          0.90909091  0.90909091  0.81818182
  1.          1.          1.          1.          0.90909091  0.90909091
  0.90909091]",1.0,0.0,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.1, 'penalty': 'l1', 'random_state': 0}",0.992,0.0170749979665,"[ 1.          1.          1.          1.          1.          1.          1.
  0.93333333  1.          1.          0.96666667  1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.96666667  0.96666667  1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.
  0.96666667  0.96666667  0.93333333  1.          1.          1.          1.
  0.96666667  1.          1.        ]"
9,IPCAS_1_deter_csd_con_ROIv_scale60,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.961538461538,0.0788226981997,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0.2, 'n_jobs': -1, 'loss': 'log', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 1.0, 'epsilon': 0.1}",0.925454545455,0.074278902603,"[ 1.          1.          0.81818182  1.          0.90909091  0.81818182
  1.          0.81818182  1.          0.90909091  0.90909091  0.90909091
  1.          0.90909091  1.          0.90909091  0.81818182  0.90909091
  0.90909091  1.          0.90909091  1.          1.          0.90909091
  0.90909091  0.90909091  0.90909091  0.63636364  0.90909091  0.90909091
  1.          0.81818182  1.          0.90909091  1.          1.
  0.81818182  1.          0.90909091  1.          0.90909091  0.90909091
  0.81818182  0.90909091  1.          1.          1.          0.90909091
  0.90909091  0.90909091]",1.0,0.0,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0.2, 'n_jobs': -1, 'loss': 'modified_huber', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.001, 'epsilon': 0.1}",0.988666666667,0.0206666666667,"[ 1.          1.          0.96666667  1.          0.96666667  1.          1.
  0.93333333  1.          1.          0.93333333  1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  0.96666667  0.96666667  1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.
  0.96666667  0.96666667  0.93333333  1.          1.          1.          1.
  0.93333333  1.          1.        ]"
10,IPCAS_1_deter_csd_con_ROIv_scale60,binar,pagerank,l1_l2_linf,standard,LR,0.942307692308,0.0792904928003,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.01, 'penalty': 'l2', 'random_state': 0}",0.932727272727,0.0624830555543,"[ 0.90909091  1.          0.81818182  1.          0.81818182  0.90909091
  1.          0.90909091  1.          0.90909091  0.81818182  0.90909091
  1.          1.          0.90909091  1.          1.          0.90909091
  0.90909091  1.          1.          1.          0.90909091  0.90909091
  0.81818182  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091
  1.          0.81818182  0.90909091  1.          1.          1.
  0.90909091  0.90909091  0.90909091  1.          0.90909091  0.90909091
  0.81818182  0.90909091  1.          1.          1.          0.81818182
  1.          0.90909091]",1.0,0.0,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.1, 'penalty': 'l1', 'random_state': 0}",0.991333333333,0.01863091815,"[ 1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          0.96666667  0.96666667  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.93333333  1.          0.93333333  1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.96666667
  0.93333333  0.96666667  1.          1.          1.          1.
  0.96666667  1.          1.        ]"
11,IPCAS_1_deter_csd_con_ROIv_scale60,binar,pagerank,l1_l2_linf,standard,SGD,0.942307692308,0.0792904928003,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_jobs': -1, 'loss': 'log', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.01, 'epsilon': 0.1}",0.936363636364,0.0609836721136,"[ 0.90909091  1.          0.81818182  1.          0.81818182  0.90909091
  1.          0.90909091  1.          0.90909091  0.81818182  0.90909091
  1.          1.          1.          1.          1.          0.90909091
  0.90909091  1.          1.          1.          0.90909091  0.90909091
  0.81818182  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091
  1.          0.81818182  0.90909091  1.          1.          1.
  0.90909091  0.90909091  0.90909091  1.          0.90909091  0.90909091
  0.90909091  0.90909091  1.          1.          1.          0.81818182
  1.          0.90909091]",1.0,0.0,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_jobs': -1, 'loss': 'hinge', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.001, 'epsilon': 0.1}",0.992,0.0157197681634,"[ 1.          1.          0.96666667  1.          0.96666667  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  0.96666667  0.93333333  1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.96666667
  0.96666667  0.96666667  1.          1.          1.          1.
  0.96666667  1.          1.        ]"
12,IPCAS_1_deter_csd_con_ROIv_scale60,binar,efficiency,l1_l2_linf,standard,LR,0.942307692308,0.0792904928003,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.01, 'penalty': 'l2', 'random_state': 0}",0.943636363636,0.0571788552492,"[ 1.          0.90909091  0.81818182  1.          0.90909091  0.90909091
  1.          0.81818182  1.          0.90909091  0.90909091  0.90909091
  1.          0.90909091  0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  0.90909091  0.90909091  0.90909091
  1.          0.90909091  0.90909091  0.90909091  1.          1.
  0.81818182  1.          0.90909091  1.          1.          0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  0.81818182
  1.          1.          1.          1.          0.90909091  0.90909091
  0.90909091]",1.0,0.0,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.1, 'penalty': 'l1', 'random_state': 0}",0.994,0.0159024805892,"[ 1.          1.          1.          1.          1.          1.          1.
  0.93333333  1.          1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.96666667  0.96666667  1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  0.96666667  0.93333333  1.          1.          1.          1.          1.
  1.          1.        ]"
13,IPCAS_1_deter_csd_con_ROIv_scale60,binar,efficiency,l1_l2_linf,standard,SGD,0.961538461538,0.0788226981997,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0, 'n_jobs': -1, 'loss': 'log', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 1.0, 'epsilon': 0.1}",0.945454545455,0.0514259477227,"[ 1.          1.          0.81818182  1.          0.90909091  0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  0.90909091
  1.          1.          1.          0.90909091  1.          0.90909091
  0.90909091  1.          1.          1.          0.90909091  0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  1.          1.
  0.81818182  1.          0.90909091  1.          1.          0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  0.90909091
  0.90909091  1.          1.          1.          0.90909091  0.90909091
  0.90909091]",1.0,0.0,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0.8, 'n_jobs': -1, 'loss': 'modified_huber', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.001, 'epsilon': 0.1}",0.99,0.0191485421551,"[ 1.          1.          0.96666667  1.          1.          1.          1.
  0.93333333  1.          1.          0.93333333  1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.96666667  0.96666667  1.          1.          1.          1.
  0.96666667  1.          1.          0.96666667  1.          1.          1.
  0.96666667  0.96666667  0.93333333  1.          1.          1.          1.
  0.96666667  1.          1.        ]"
14,IPCAS_1_deter_csd_con_ROIv_scale60,binar,clustering_coefficient,l1_l2_linf,standard,LR,0.865384615385,0.102001662979,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.01, 'penalty': 'l2', 'random_state': 0}",0.881818181818,0.0838140405208,"[ 0.81818182  0.90909091  0.72727273  1.          0.81818182  0.90909091
  1.          0.72727273  0.90909091  0.90909091  0.90909091  0.72727273
  0.72727273  0.81818182  0.81818182  0.90909091  1.          1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091
  0.90909091  1.          0.90909091  0.90909091  0.72727273  0.81818182
  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091  1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.72727273  0.72727273
  0.72727273  1.          0.81818182  0.90909091  1.          0.90909091
  0.90909091  0.90909091]",0.946153846154,0.0692307692308,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.01, 'penalty': 'l2', 'random_state': 0}",0.962666666667,0.0440403855064,"[ 0.86666667  1.          0.9         1.          0.83333333  1.          1.
  0.93333333  0.96666667  1.          0.96666667  0.86666667  0.93333333
  0.93333333  0.93333333  1.          1.          1.          0.96666667
  1.          1.          1.          1.          1.          0.96666667
  1.          0.96666667  0.96666667  0.9         0.93333333  1.
  0.86666667  0.96666667  1.          0.96666667  1.          0.96666667
  0.96666667  1.          1.          0.93333333  0.9         0.9         1.
  0.96666667  0.96666667  1.          0.93333333  1.          0.96666667]"
15,IPCAS_1_deter_csd_con_ROIv_scale60,binar,clustering_coefficient,l1_l2_linf,standard,SGD,0.884615384615,0.0971740746751,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 0.2, 'n_jobs': -1, 'loss': 'hinge', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.001, 'epsilon': 0.1}",0.854545454545,0.0813115628182,"[ 0.81818182  0.90909091  0.63636364  0.90909091  0.72727273  0.90909091
  1.          0.72727273  0.90909091  0.90909091  0.81818182  0.72727273
  0.72727273  0.81818182  0.81818182  0.90909091  1.          0.90909091
  0.81818182  0.90909091  0.90909091  0.81818182  0.90909091  0.90909091
  0.81818182  0.81818182  0.90909091  0.81818182  0.72727273  0.81818182
  0.90909091  0.72727273  0.81818182  0.90909091  0.90909091  1.
  0.81818182  0.81818182  0.90909091  0.90909091  0.72727273  0.81818182
  0.81818182  0.90909091  0.81818182  0.90909091  1.          0.81818182
  0.90909091  0.90909091]",0.961538461538,0.0612493207304,"{'learning_rate': 'optimal', 'random_state': 0, 'power_t': 0.5, 'shuffle': True, 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'n_jobs': -1, 'loss': 'hinge', 'verbose': 0, 'n_iter': 50, 'eta0': 0.0, 'fit_intercept': True, 'class_weight': None, 'alpha': 0.5, 'epsilon': 0.1}",0.936,0.0744878811918,"[ 0.86666667  1.          0.6         0.93333333  0.9         0.96666667
  1.          0.86666667  0.96666667  0.96666667  0.96666667  0.9
  0.93333333  0.93333333  0.86666667  1.          1.          1.          1.
  1.          0.96666667  0.93333333  1.          1.          0.96666667
  1.          0.93333333  0.9         0.9         0.86666667  1.          0.7
  0.96666667  0.93333333  0.96666667  1.          0.96666667  0.93333333
  0.86666667  1.          0.86666667  0.93333333  0.9         0.96666667
  0.93333333  0.96666667  0.93333333  0.96666667  1.          0.86666667]"
16,IPCAS_1_deter_csd_con_ROIv_scale60,binar,triangles,l1_l2_linf,standard,LR,0.923076923077,0.0381396789247,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.01, 'penalty': 'l2', 'random_state': 0}",0.903636363636,0.0860712754803,"[ 0.90909091  0.81818182  0.90909091  1.          1.          1.
  0.90909091  0.63636364  1.          0.90909091  0.90909091  0.90909091
  0.90909091  0.81818182  0.81818182  0.90909091  1.          0.81818182
  1.          0.90909091  0.81818182  0.90909091  1.          1.          1.
  0.90909091  1.          0.72727273  0.81818182  0.90909091  1.
  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091  0.72727273
  0.90909091  0.90909091  0.90909091  0.81818182  0.90909091  0.72727273
  1.          1.          1.          1.          0.90909091  0.81818182
  0.90909091]",0.992307692308,0.0157645396399,"{'max_iter': 50, 'fit_intercept': True, 'solver': 'liblinear', 'n_jobs': -1, 'C': 0.01, 'penalty': 'l2', 'random_state': 0}",0.986,0.0291280696999,"[ 1.          0.93333333  0.96666667  1.          1.          1.          1.
  0.86666667  1.          1.          0.93333333  1.          1.
  0.96666667  0.96666667  1.          1.          0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.93333333  1.          1.          1.          1.          0.96666667
  1.          1.          1.          0.9         1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          0.96666667]"
