,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_dti_con_ROIv_scale33,binar,bag_of_edges,l1_l2_linf,standard,LR,1.0,0.0,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.01, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.992727272727,0.0246630181205,"[ 1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.90909091  1.          1.          1.
  0.90909091  0.90909091  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.01, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
1,IPCAS_1_deter_dti_con_ROIv_scale33,binar,bag_of_edges,l1_l2_linf,standard,SGD,1.0,0.0,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.5, 'loss': 'hinge', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0}",0.996363636364,0.0178144708566,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.90909091  1.        ]",1.0,0.0,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.001, 'loss': 'hinge', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
2,IPCAS_1_deter_dti_con_ROIv_scale33,binar,degrees,l1_l2_linf,standard,LR,0.942307692308,0.0460468846053,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.01, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.958181818182,0.0488208057531,"[ 0.90909091  1.          0.90909091  0.90909091  1.          1.          1.
  1.          0.90909091  1.          0.90909091  0.90909091  1.
  0.90909091  1.          1.          1.          0.81818182  0.90909091
  0.90909091  1.          0.90909091  0.90909091  1.          0.90909091
  1.          1.          1.          1.          1.          0.90909091
  1.          1.          1.          0.90909091  1.          1.
  0.90909091  1.          0.90909091  1.          0.90909091  0.90909091
  1.          0.90909091  0.90909091  1.          1.          1.
  0.90909091]",0.99358974359,0.011703473451,"{'penalty': 'l1', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.1, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.996666666667,0.01,"[ 1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          1.          0.96666667  0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
3,IPCAS_1_deter_dti_con_ROIv_scale33,binar,degrees,l1_l2_linf,standard,SGD,0.961538461538,0.0452366122164,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.01, 'loss': 'log', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0.4}",0.965454545455,0.0542110964214,"[ 1.          1.          0.90909091  0.90909091  1.          1.          1.
  1.          1.          1.          0.90909091  0.90909091  1.
  0.90909091  1.          1.          1.          0.81818182  0.81818182
  1.          1.          0.90909091  0.90909091  0.90909091  1.          1.
  1.          1.          1.          1.          0.81818182  1.          1.
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          1.          1.          0.90909091  0.90909091
  1.          1.          1.          0.90909091]",1.0,0.0,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.001, 'loss': 'hinge', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0}",0.995333333333,0.0149220195237,"[ 1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          1.          0.93333333  0.96666667  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
4,IPCAS_1_deter_dti_con_ROIv_scale33,binar,closeness_centrality,l1_l2_linf,standard,LR,0.865384615385,0.11527772827,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.7000000000000001, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.774545454545,0.123636363636,"[ 0.72727273  0.63636364  0.63636364  0.81818182  0.90909091  0.63636364
  0.81818182  0.72727273  0.72727273  0.63636364  0.90909091  0.81818182
  0.72727273  0.81818182  0.72727273  0.90909091  0.72727273  0.63636364
  0.72727273  0.72727273  0.90909091  0.72727273  0.90909091  1.
  0.90909091  0.90909091  0.63636364  0.63636364  0.81818182  0.90909091
  0.54545455  1.          0.72727273  0.54545455  0.90909091  0.81818182
  1.          0.81818182  0.72727273  0.72727273  0.81818182  0.54545455
  0.54545455  0.81818182  0.63636364  0.81818182  0.90909091  0.81818182
  0.90909091  0.72727273]",0.948717948718,0.0759915101894,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.01, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.942666666667,0.0874426796377,"[ 0.8         1.          0.93333333  0.9         0.83333333  1.          1.
  1.          1.          1.          0.83333333  0.96666667  1.          1.
  1.          1.          1.          0.7         0.73333333  1.          1.
  0.9         0.93333333  1.          0.86666667  0.86666667  1.          1.
  1.          0.8         0.93333333  1.          0.8         1.          1.
  1.          1.          0.73333333  1.          1.          1.          1.
  1.          0.83333333  0.96666667  1.          1.          0.8         1.
  1.        ]"
5,IPCAS_1_deter_dti_con_ROIv_scale33,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.865384615385,0.124629628816,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.01, 'loss': 'log', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0}",0.790909090909,0.110968687416,"[ 0.90909091  0.54545455  0.81818182  0.72727273  0.90909091  0.72727273
  0.63636364  0.90909091  0.81818182  0.54545455  0.81818182  0.90909091
  0.54545455  0.81818182  0.72727273  0.81818182  0.90909091  0.81818182
  0.72727273  0.81818182  0.72727273  0.72727273  0.81818182  0.90909091
  0.90909091  0.90909091  0.54545455  0.72727273  0.72727273  0.90909091
  0.63636364  1.          0.90909091  0.81818182  0.81818182  0.81818182
  0.63636364  0.81818182  0.72727273  0.81818182  0.81818182  0.63636364
  0.72727273  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091
  0.81818182  0.81818182]",0.948717948718,0.0759915101894,"{'class_weight': None, 'fit_intercept': True, 'alpha': 1.0, 'loss': 'hinge', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0}",0.937333333333,0.0893532316148,"[ 0.8         0.96666667  0.93333333  0.86666667  0.83333333  1.
  0.96666667  1.          1.          1.          0.83333333  0.96666667
  0.96666667  1.          1.          1.          1.          0.7         0.7
  1.          1.          0.9         0.9         1.          0.86666667
  0.86666667  0.96666667  1.          1.          0.8         0.93333333
  1.          0.8         1.          1.          1.          1.
  0.73333333  1.          1.          1.          1.          1.          0.8
  0.96666667  1.          1.          0.8         1.          1.        ]"
6,IPCAS_1_deter_dti_con_ROIv_scale33,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.5,0.0,"{'penalty': 'l1', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.01, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.505454545455,0.0451260859854,"[ 0.54545455  0.54545455  0.54545455  0.45454545  0.54545455  0.54545455
  0.45454545  0.54545455  0.54545455  0.54545455  0.45454545  0.54545455
  0.45454545  0.45454545  0.45454545  0.54545455  0.54545455  0.45454545
  0.45454545  0.54545455  0.45454545  0.45454545  0.45454545  0.45454545
  0.45454545  0.45454545  0.54545455  0.54545455  0.45454545  0.54545455
  0.54545455  0.45454545  0.54545455  0.54545455  0.45454545  0.54545455
  0.45454545  0.54545455  0.54545455  0.54545455  0.54545455  0.54545455
  0.54545455  0.45454545  0.54545455  0.45454545  0.45454545  0.54545455
  0.45454545  0.54545455]",0.673076923077,0.151423228346,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.6000000000000001, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.496666666667,0.0648930744464,"[ 0.4         0.58333333  0.5         0.4         0.48333333  0.5         0.5
  0.5         0.5         0.5         0.41666667  0.58333333  0.5         0.5
  0.5         0.58333333  0.58333333  0.41666667  0.41666667  0.58333333
  0.5         0.5         0.5         0.4         0.51666667  0.51666667
  0.58333333  0.5         0.4         0.7         0.5         0.5         0.4
  0.5         0.5         0.58333333  0.5         0.4         0.58333333
  0.5         0.58333333  0.5         0.5         0.41666667  0.5         0.4
  0.5         0.4         0.5         0.5       ]"
7,IPCAS_1_deter_dti_con_ROIv_scale33,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.5,0.0,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.001, 'loss': 'log', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0.4}",0.494545454545,0.0550281670924,"[ 0.36363636  0.54545455  0.54545455  0.45454545  0.45454545  0.54545455
  0.45454545  0.54545455  0.54545455  0.54545455  0.45454545  0.54545455
  0.54545455  0.54545455  0.45454545  0.45454545  0.54545455  0.45454545
  0.45454545  0.54545455  0.45454545  0.54545455  0.54545455  0.45454545
  0.54545455  0.54545455  0.45454545  0.45454545  0.54545455  0.36363636
  0.54545455  0.54545455  0.54545455  0.45454545  0.45454545  0.45454545
  0.45454545  0.36363636  0.54545455  0.45454545  0.45454545  0.45454545
  0.54545455  0.45454545  0.54545455  0.54545455  0.54545455  0.54545455
  0.45454545  0.45454545]",0.673076923077,0.151423228346,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.01, 'loss': 'log', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 1.0}",0.515666666667,0.0803056660517,"[ 0.4         0.5         0.5         0.5         0.75        0.5         0.5
  0.5         0.5         0.5         0.66666667  0.5         0.5         0.5
  0.5         0.5         0.5         0.41666667  0.66666667  0.5         0.5
  0.5         0.5         0.5         0.51666667  0.85        0.5         0.5
  0.5         0.7         0.5         0.5         0.4         0.5         0.5
  0.5         0.5         0.4         0.5         0.5         0.5         0.5
  0.5         0.41666667  0.5         0.5         0.5         0.6         0.5
  0.5       ]"
8,IPCAS_1_deter_dti_con_ROIv_scale33,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.980769230769,0.0351104203529,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.01, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.983636363636,0.0349261322042,"[ 1.          1.          0.90909091  0.90909091  1.          1.          1.
  1.          1.          1.          1.          0.90909091  1.          1.
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  0.90909091  0.90909091  1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.01, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
9,IPCAS_1_deter_dti_con_ROIv_scale33,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.980769230769,0.0351104203529,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.001, 'loss': 'hinge', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0}",0.987272727273,0.0315442755871,"[ 1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          0.90909091  1.
  0.90909091  1.          1.          1.          0.90909091  0.90909091
  1.          1.          0.90909091  0.90909091  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.        ]",1.0,0.0,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.001, 'loss': 'hinge', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
10,IPCAS_1_deter_dti_con_ROIv_scale33,binar,pagerank,l1_l2_linf,standard,LR,0.980769230769,0.0351104203529,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.01, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.983636363636,0.0349261322042,"[ 1.          1.          0.90909091  0.90909091  1.          1.          1.
  1.          1.          1.          1.          0.90909091  1.          1.
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  0.90909091  0.90909091  1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.01, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
11,IPCAS_1_deter_dti_con_ROIv_scale33,binar,pagerank,l1_l2_linf,standard,SGD,1.0,0.0,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.001, 'loss': 'hinge', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0}",0.985454545455,0.033327823236,"[ 1.          1.          1.          0.90909091  1.          1.          1.
  1.          1.          1.          1.          0.90909091  1.          1.
  1.          1.          0.90909091  0.90909091  0.90909091  1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.001, 'loss': 'hinge', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
12,IPCAS_1_deter_dti_con_ROIv_scale33,binar,efficiency,l1_l2_linf,standard,LR,0.961538461538,0.0452366122164,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.45, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.961818181818,0.0548175033879,"[ 0.90909091  1.          0.90909091  0.90909091  0.90909091  1.          1.
  1.          1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          1.          0.81818182  0.81818182  1.          1.
  0.90909091  0.90909091  1.          0.90909091  0.90909091  1.          1.
  1.          0.90909091  0.90909091  1.          0.90909091  1.          1.
  1.          1.          0.81818182  1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          0.90909091
  1.          1.        ]",1.0,0.0,"{'penalty': 'l1', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.1, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.991333333333,0.0265078604694,"[ 0.96666667  1.          1.          0.96666667  0.83333333  1.          1.
  1.          1.          1.          1.          0.96666667  1.          1.
  1.          1.          1.          0.96666667  0.93333333  1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
13,IPCAS_1_deter_dti_con_ROIv_scale33,binar,efficiency,l1_l2_linf,standard,SGD,0.961538461538,0.0452366122164,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.001, 'loss': 'modified_huber', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 1.0}",0.949090909091,0.0684177735354,"[ 1.          0.81818182  0.90909091  0.90909091  1.          1.          1.
  1.          1.          1.          0.81818182  0.81818182  1.
  0.81818182  1.          0.90909091  0.90909091  0.81818182  0.81818182
  1.          1.          0.90909091  0.90909091  0.90909091  1.          1.
  1.          1.          1.          1.          0.90909091  1.
  0.90909091  1.          1.          1.          1.          0.81818182
  0.90909091  1.          0.81818182  1.          0.90909091  1.          1.
  1.          1.          1.          0.90909091  1.        ]",1.0,0.0,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.001, 'loss': 'hinge', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0}",0.982666666667,0.0448404579221,"[ 0.93333333  1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          0.96666667  0.96666667  1.          1.
  1.          1.          1.          0.8         0.8         1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.93333333  0.96666667  1.          1.          1.          1.
  1.          1.          0.86666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.93333333
  1.          1.        ]"
14,IPCAS_1_deter_dti_con_ROIv_scale33,binar,clustering_coefficient,l1_l2_linf,standard,LR,0.942307692308,0.0707455367247,"{'penalty': 'l1', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.1, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.950909090909,0.0660828430741,"[ 1.          1.          0.90909091  1.          1.          1.
  0.90909091  0.90909091  1.          1.          0.81818182  1.          1.
  0.81818182  0.90909091  1.          0.81818182  0.90909091  1.          1.
  0.90909091  1.          0.90909091  1.          0.81818182  0.90909091
  1.          0.81818182  0.90909091  1.          1.          1.          1.
  0.90909091  1.          1.          0.90909091  1.          1.          1.
  0.81818182  0.90909091  0.81818182  0.90909091  1.          1.          1.
  1.          1.          1.        ]",0.987179487179,0.0234069469019,"{'penalty': 'l1', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.1, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.987333333333,0.023935097428,"[ 1.          1.          0.93333333  1.          1.          1.          1.
  0.96666667  1.          1.          0.93333333  1.          1.
  0.93333333  1.          1.          0.96666667  0.96666667  1.          1.
  1.          1.          0.93333333  1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.
  0.96666667  1.          1.          0.96666667  1.          1.          1.
  0.96666667  0.96666667  0.9         1.          1.          1.          1.
  1.          1.          1.        ]"
15,IPCAS_1_deter_dti_con_ROIv_scale33,binar,clustering_coefficient,l1_l2_linf,standard,SGD,0.961538461538,0.0452366122164,"{'class_weight': None, 'fit_intercept': True, 'alpha': 1.0, 'loss': 'log', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0.2}",0.923636363636,0.0712578834264,"[ 0.90909091  1.          0.90909091  0.90909091  0.90909091  0.90909091
  1.          0.90909091  1.          1.          0.90909091  0.90909091
  1.          0.90909091  1.          0.90909091  0.90909091  0.81818182
  0.90909091  1.          0.90909091  1.          0.72727273  1.
  0.81818182  0.81818182  1.          0.72727273  0.90909091  0.90909091
  0.81818182  1.          0.81818182  0.90909091  1.          0.90909091
  0.90909091  0.90909091  1.          1.          0.90909091  0.90909091
  0.90909091  0.81818182  1.          1.          0.90909091  1.          1.
  0.90909091]",0.99358974359,0.011703473451,"{'class_weight': None, 'fit_intercept': True, 'alpha': 0.1, 'loss': 'log', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'eta0': 0.0, 'learning_rate': 'optimal', 'penalty': 'elasticnet', 'n_iter': 50, 'random_state': 0, 'epsilon': 0.1, 'power_t': 0.5, 'l1_ratio': 0.2}",0.985333333333,0.0222710574513,"[ 0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.93333333  1.          1.
  0.96666667  1.          1.          0.96666667  0.93333333  0.96666667
  1.          1.          1.          1.          1.          0.93333333
  0.93333333  1.          0.96666667  1.          0.96666667  1.          1.
  0.96666667  1.          1.          1.          0.96666667  0.96666667
  1.          1.          0.96666667  0.96666667  0.93333333  1.          1.
  1.          1.          0.96666667  1.          1.        ]"
16,IPCAS_1_deter_dti_con_ROIv_scale33,binar,triangles,l1_l2_linf,standard,LR,0.846153846154,0.131745975166,"{'penalty': 'l2', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.01, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.86,0.0796894800029,"[ 0.90909091  0.72727273  0.90909091  0.81818182  0.90909091  0.90909091
  1.          0.81818182  0.90909091  0.90909091  0.90909091  0.81818182
  0.90909091  0.72727273  0.81818182  0.81818182  0.81818182  0.81818182
  0.81818182  0.90909091  0.81818182  0.81818182  0.90909091  0.81818182
  0.81818182  1.          0.72727273  0.81818182  0.81818182  0.90909091
  0.72727273  1.          0.90909091  0.72727273  0.90909091  0.90909091
  0.72727273  0.90909091  1.          0.90909091  0.81818182  0.72727273
  0.72727273  0.90909091  0.90909091  0.90909091  1.          0.81818182
  0.90909091  0.90909091]",0.944871794872,0.0646659007526,"{'penalty': 'l1', 'max_iter': 50, 'solver': 'liblinear', 'C': 0.1, 'random_state': 0, 'n_jobs': -1, 'fit_intercept': True}",0.952,0.0574108003776,"[ 1.          0.96666667  0.9         0.93333333  1.          1.          1.
  0.93333333  1.          0.96666667  0.93333333  0.93333333  1.          0.8
  1.          0.93333333  0.86666667  0.93333333  0.8         1.
  0.96666667  0.93333333  0.96666667  0.96666667  1.          1.
  0.96666667  0.93333333  0.9         1.          0.76666667  1.
  0.96666667  1.          1.          1.          0.93333333  0.93333333
  1.          1.          0.9         0.9         0.83333333  0.96666667
  0.93333333  0.96666667  1.          0.96666667  1.          1.        ]"
