,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
14,BNU_1_proba_csa_con_aparc150+subcort,binar,clustering_coefficient,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'C': 0.8, 'fit_intercept': True, 'n_jobs': -1}",0.99,0.022360679775,"[ 0.95  1.    1.    1.    1.    1.    1.    0.9   1.    1.    1.    1.
  0.95  0.95  1.    1.    1.    1.    1.    0.95  1.    0.95  1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    0.95  0.95  0.95  1.  ]",1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'C': 0.05, 'fit_intercept': True, 'n_jobs': -1}",0.9964,0.017636326148,"[ 0.91  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.91  1.    1.    1.  ]"
15,BNU_1_proba_csa_con_aparc150+subcort,binar,clustering_coefficient,l1_l2_linf,standard,SGD,0.989795918367,0.0215120929263,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.994,0.0162480768093,"[ 0.95  1.    1.    1.    1.    1.    1.    0.95  1.    1.    0.95  1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.95  0.95  1.    1.  ]",1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 1.0, 'random_state': 0, 'loss': 'modified_huber', 'alpha': 1.0, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.9918,0.02550999804,"[ 0.91  1.    1.    1.    1.    1.    1.    0.96  1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    0.91  1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.91  0.9   1.    1.  ]"
16,BNU_1_proba_csa_con_aparc150+subcort,binar,triangles,l1_l2_linf,standard,LR,0.989795918367,0.0215120929263,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'C': 0.15000000000000002, 'fit_intercept': True, 'n_jobs': -1}",0.978,0.033406586177,"[ 0.95  0.95  1.    1.    1.    1.    1.    1.    0.95  0.9   0.95  1.
  0.85  0.95  1.    1.    0.9   1.    1.    1.    0.95  1.    0.95  0.95
  0.95  1.    1.    0.95  1.    1.    1.    1.    0.95  1.    1.    1.    1.
  0.95  1.    1.    1.    1.    1.    0.95  0.95  1.    1.    0.95  1.    1.  ]",1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'C': 0.05, 'fit_intercept': True, 'n_jobs': -1}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
17,BNU_1_proba_csa_con_aparc150+subcort,binar,triangles,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0.4, 'random_state': 0, 'loss': 'modified_huber', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.993,0.0245153013443,"[ 0.95  0.95  1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.
  0.85  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    0.95  1.    1.    1.    1.    1.    1.  ]",1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.9998,0.0014,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.99
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.  ]"
18,BNU_1_proba_csa_con_aparc150+subcort,max,bag_of_edges,l1_l2_linf,standard,LR,0.989795918367,0.0201514465899,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'C': 0.01, 'fit_intercept': True, 'n_jobs': -1}",0.988,0.0213541565041,"[ 0.95  1.    0.95  1.    1.    1.    1.    1.    1.    1.    1.    0.95
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.95
  1.    0.95  0.95  1.    0.95  1.    1.    0.95  0.95  1.    1.    0.95
  1.    1.    1.    1.    1.    1.    0.95  1.    0.95  1.    1.    1.    1.
  1.  ]",1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'C': 0.01, 'fit_intercept': True, 'n_jobs': -1}",0.9992,0.00271293199325,"[ 1.    1.    0.99  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  0.99  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    0.99  1.    0.99  1.    1.    1.    1.    1.  ]"
19,BNU_1_proba_csa_con_aparc150+subcort,max,bag_of_edges,l1_l2_linf,standard,SGD,0.989795918367,0.0215120929263,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0.2, 'random_state': 0, 'loss': 'log', 'alpha': 0.5, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.988,0.0213541565041,"[ 0.95  1.    0.95  1.    1.    1.    1.    1.    1.    1.    1.    0.95
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.95
  1.    0.95  0.95  1.    0.95  1.    1.    0.95  0.95  1.    1.    0.95
  1.    1.    1.    1.    1.    1.    0.95  1.    0.95  1.    1.    1.    1.
  1.  ]",1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.9992,0.00271293199325,"[ 1.    1.    0.99  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  0.99  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    0.99  1.    0.99  1.    1.    1.    1.    1.  ]"
20,BNU_1_proba_csa_con_aparc150+subcort,max,degrees,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'C': 0.05, 'fit_intercept': True, 'n_jobs': -1}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'C': 0.01, 'fit_intercept': True, 'n_jobs': -1}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
21,BNU_1_proba_csa_con_aparc150+subcort,max,degrees,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
22,BNU_1_proba_csa_con_aparc150+subcort,max,closeness_centrality,l1_l2_linf,standard,LR,0.816326530612,0.0949095401706,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'C': 0.30000000000000004, 'fit_intercept': True, 'n_jobs': -1}",0.811,0.0981274681218,"[ 0.95  0.8   0.75  0.95  0.85  0.75  0.8   0.9   0.75  0.5   0.9   0.9
  0.75  0.75  0.85  0.85  0.7   0.85  0.8   0.85  0.95  0.85  0.85  0.8
  0.95  0.85  0.8   0.75  0.65  0.75  0.95  0.9   0.75  0.8   0.95  0.7
  0.8   0.9   0.75  0.85  0.85  0.7   0.65  0.75  0.6   0.75  0.95  0.8
  0.8   0.95]",0.952607709751,0.048429491359,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'C': 0.01, 'fit_intercept': True, 'n_jobs': -1}",0.9608,0.0438105010243,"[ 0.9   0.97  0.99  1.    1.    0.96  0.97  0.9   0.94  0.83  0.9   0.97
  0.9   0.97  1.    0.99  0.89  0.98  1.    1.    1.    0.89  1.    0.93
  1.    1.    1.    0.95  0.94  0.97  1.    1.    1.    0.93  1.    0.9
  0.99  1.    0.93  1.    1.    0.94  0.94  0.98  0.94  1.    0.9   0.87
  0.98  1.  ]"
23,BNU_1_proba_csa_con_aparc150+subcort,max,closeness_centrality,l1_l2_linf,standard,SGD,0.897959183673,0.0434656083013,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 1.0, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.834,0.109745159347,"[ 0.95  0.8   0.7   0.8   0.9   0.8   0.85  0.95  0.75  0.55  0.95  0.95
  0.55  0.75  0.85  0.85  0.8   0.9   0.95  0.8   0.95  0.95  0.9   0.75
  0.95  0.95  0.95  0.7   0.65  0.75  1.    0.95  0.9   0.8   1.    0.75
  0.75  0.9   0.8   0.85  0.85  0.75  0.65  0.75  0.7   0.8   0.95  0.95
  0.85  0.85]",0.951587301587,0.0501803109201,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0.2, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.1, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.9534,0.0477225313662,"[ 0.9    0.97   0.96   1.     1.     0.96   0.97   0.9    0.96   0.81   0.9
  0.945  0.87   0.95   0.99   0.97   0.865  0.96   1.     1.     1.     0.88
  1.     0.91   1.     1.     0.98   0.94   0.93   0.96   1.     0.99   1.
  0.94   1.     0.92   0.97   1.     0.94   1.     1.     0.93   0.91   0.97
  0.89   1.     0.9    0.85   0.98   1.   ]"
24,BNU_1_proba_csa_con_aparc150+subcort,max,betweenness_centrality,l1_l2_linf,standard,LR,0.5,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'C': 0.01, 'fit_intercept': True, 'n_jobs': -1}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]",0.5,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'C': 0.01, 'fit_intercept': True, 'n_jobs': -1}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
25,BNU_1_proba_csa_con_aparc150+subcort,max,betweenness_centrality,l1_l2_linf,standard,SGD,0.5,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0.6, 'random_state': 0, 'loss': 'log', 'alpha': 0.1, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.516,0.0790189850606,"[ 0.85  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5
  0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.5   0.95  0.5
  0.5   0.5 ]",0.5,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0.6, 'random_state': 0, 'loss': 'log', 'alpha': 0.1, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.516,0.0783900503891,"[ 0.895  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5    0.5
  0.5    0.5    0.905  0.5    0.5    0.5  ]"
26,BNU_1_proba_csa_con_aparc150+subcort,max,eigenvector_centrality,l1_l2_linf,standard,LR,0.989795918367,0.0201514465899,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'C': 0.25, 'fit_intercept': True, 'n_jobs': -1}",0.989,0.023,"[ 1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    0.95
  0.95  1.    0.95  1.    1.    1.    1.    0.95  0.95  1.    1.    1.    0.9
  1.    1.    1.    1.    1.    1.    0.95  1.    1.    1.    1.    1.    1.
  1.    0.95  0.95  1.    1.    1.    1.    0.95  1.    1.    1.    1.  ]",1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'C': 0.01, 'fit_intercept': True, 'n_jobs': -1}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
27,BNU_1_proba_csa_con_aparc150+subcort,max,eigenvector_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
28,BNU_1_proba_csa_con_aparc150+subcort,max,pagerank,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'C': 0.05, 'fit_intercept': True, 'n_jobs': -1}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'C': 0.01, 'fit_intercept': True, 'n_jobs': -1}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
29,BNU_1_proba_csa_con_aparc150+subcort,max,pagerank,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
30,BNU_1_proba_csa_con_aparc150+subcort,max,efficiency,l1_l2_linf,standard,LR,0.989795918367,0.0215120929263,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l2', 'C': 0.15000000000000002, 'fit_intercept': True, 'n_jobs': -1}",0.989,0.025079872408,"[ 0.95  1.    1.    1.    1.    1.    1.    0.95  1.    0.95  0.95  1.    0.9
  1.    1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    0.95  1.    0.95  0.9   1.    1.  ]",1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'C': 0.05, 'fit_intercept': True, 'n_jobs': -1}",0.9966,0.0166865215069,"[ 0.92  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.91  1.    1.    1.  ]"
31,BNU_1_proba_csa_con_aparc150+subcort,max,efficiency,l1_l2_linf,standard,SGD,1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 1.0, 'random_state': 0, 'loss': 'modified_huber', 'alpha': 0.5, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.991,0.0216564078277,"[ 0.95  0.9   1.    1.    1.    1.    1.    1.    1.    1.    0.95  1.
  0.95  1.    1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.
  0.95  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    0.95  0.95  1.    1.  ]",1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 1.0, 'random_state': 0, 'loss': 'modified_huber', 'alpha': 0.1, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.9944,0.0200159936051,"[ 0.92  1.    1.    1.    1.    1.    1.    0.99  1.    1.    0.99  1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    0.9   1.    1.    1.    1.    1.    0.93  0.99  1.    1.  ]"
32,BNU_1_proba_csa_con_aparc150+subcort,max,clustering_coefficient,l1_l2_linf,standard,LR,1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'C': 0.8, 'fit_intercept': True, 'n_jobs': -1}",0.99,0.022360679775,"[ 0.95  1.    1.    1.    1.    1.    1.    0.9   1.    1.    1.    1.
  0.95  0.95  1.    1.    1.    1.    1.    0.95  1.    0.95  1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    0.95  0.95  0.95  1.  ]",1.0,0.0,"{'solver': 'liblinear', 'random_state': 0, 'max_iter': 50, 'penalty': 'l1', 'C': 0.05, 'fit_intercept': True, 'n_jobs': -1}",0.9964,0.017636326148,"[ 0.91  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.91  1.    1.    1.  ]"
33,BNU_1_proba_csa_con_aparc150+subcort,max,clustering_coefficient,l1_l2_linf,standard,SGD,0.989795918367,0.0215120929263,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 0, 'random_state': 0, 'loss': 'hinge', 'alpha': 0.001, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.994,0.0162480768093,"[ 0.95  1.    1.    1.    1.    1.    1.    0.95  1.    1.    0.95  1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    0.95  1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.95  0.95  1.    1.  ]",1.0,0.0,"{'eta0': 0.0, 'shuffle': True, 'power_t': 0.5, 'learning_rate': 'optimal', 'fit_intercept': True, 'epsilon': 0.1, 'n_jobs': -1, 'l1_ratio': 1.0, 'random_state': 0, 'loss': 'modified_huber', 'alpha': 1.0, 'penalty': 'elasticnet', 'class_weight': None, 'n_iter': 50, 'verbose': 0}",0.9918,0.02550999804,"[ 0.91  1.    1.    1.    1.    1.    1.    0.96  1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    0.91  1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.    1.
  1.    1.    1.    1.    1.    1.    1.    0.91  0.9   1.    1.  ]"
