,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_dti_con_ROIv_scale33,binar,bag_of_edges,l1_l2_linf,standard,LR,0.962222222222,0.00857469400207,"{'penalty': 'l1', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.05}",0.959333333333,0.00733258507219,"[ 0.97037037  0.95185185  0.97777778  0.94444444  0.96851852  0.95740741
  0.95925926  0.96481481  0.96111111  0.95185185  0.97037037  0.95740741
  0.95555556  0.96481481  0.95555556  0.95925926  0.95925926  0.95925926
  0.96296296  0.96111111  0.96296296  0.96666667  0.96111111  0.95185185
  0.95555556  0.95555556  0.94814815  0.95925926  0.96111111  0.95925926
  0.96296296  0.96851852  0.96666667  0.95555556  0.97222222  0.96296296
  0.95185185  0.96851852  0.96666667  0.9462963   0.95555556  0.9537037
  0.94259259  0.95        0.95740741  0.9537037   0.96481481  0.95555556
  0.96481481  0.95185185]",0.993646090535,0.00175135317501,"{'penalty': 'l1', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.01}",0.993687379973,0.00175146377696,"[ 0.9945679   0.99449246  0.9972085   0.99117284  0.99576818  0.99414952
  0.99436214  0.99596022  0.99229767  0.99109053  0.99650206  0.99251029
  0.99324417  0.99386145  0.9921262   0.99553498  0.9924417   0.99362826
  0.99573388  0.9958642   0.9940535   0.99685871  0.99294925  0.99254458
  0.99078875  0.99296296  0.99257888  0.99323731  0.99408779  0.99383402
  0.99478052  0.99652949  0.99355281  0.99458848  0.99515775  0.99407407
  0.98939643  0.99277092  0.99438957  0.99367627  0.9923251   0.99260631
  0.99138546  0.98983539  0.99268176  0.99340878  0.99218793  0.99463649
  0.99621399  0.99375857]"
1,HNU_1_deter_dti_con_ROIv_scale33,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.961851851852,0.00888888888889,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 0, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.01, 'loss': 'log'}",0.959259259259,0.00734230651911,"[ 0.97037037  0.95185185  0.97777778  0.94444444  0.96851852  0.95555556
  0.95925926  0.96481481  0.96111111  0.95185185  0.97037037  0.95740741
  0.95185185  0.96481481  0.95555556  0.95925926  0.95925926  0.95925926
  0.96296296  0.96111111  0.96111111  0.96666667  0.96111111  0.95185185
  0.95555556  0.95555556  0.95        0.95925926  0.96111111  0.95925926
  0.96296296  0.96851852  0.96666667  0.95555556  0.97222222  0.96296296
  0.95185185  0.96851852  0.96851852  0.95        0.95555556  0.95
  0.94259259  0.95        0.95740741  0.9537037   0.96481481  0.95555556
  0.96481481  0.95185185]",0.993646090535,0.00175135317501,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 0, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'loss': 'hinge'}",0.993687379973,0.00175146377696,"[ 0.9945679   0.99449246  0.9972085   0.99117284  0.99576818  0.99414952
  0.99436214  0.99596022  0.99229767  0.99109053  0.99650206  0.99251029
  0.99324417  0.99386145  0.9921262   0.99553498  0.9924417   0.99362826
  0.99573388  0.9958642   0.9940535   0.99685871  0.99294925  0.99254458
  0.99078875  0.99296296  0.99257888  0.99323731  0.99408779  0.99383402
  0.99478052  0.99652949  0.99355281  0.99458848  0.99515775  0.99407407
  0.98939643  0.99277092  0.99438957  0.99367627  0.9923251   0.99260631
  0.99138546  0.98983539  0.99268176  0.99340878  0.99218793  0.99463649
  0.99621399  0.99375857]"
2,HNU_1_deter_dti_con_ROIv_scale33,binar,degrees,l1_l2_linf,standard,LR,0.918518518519,0.00852656624683,"{'penalty': 'l2', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.8}",0.917407407407,0.009139972355,"[ 0.92222222  0.91851852  0.92777778  0.90185185  0.93703704  0.90185185
  0.91296296  0.91851852  0.91851852  0.91481481  0.91111111  0.92037037
  0.93148148  0.91481481  0.91481481  0.93333333  0.91481481  0.90740741
  0.92407407  0.90740741  0.92407407  0.90925926  0.91666667  0.90555556
  0.90740741  0.92037037  0.93518519  0.92037037  0.90555556  0.91666667
  0.92037037  0.93148148  0.92222222  0.91111111  0.92592593  0.92592593
  0.9         0.90555556  0.92592593  0.92037037  0.91666667  0.91481481
  0.9         0.93333333  0.91296296  0.91851852  0.91481481  0.92037037
  0.91481481  0.92037037]",0.976419753086,0.004443866497,"{'penalty': 'l1', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.1}",0.976699176955,0.0041377296954,"[ 0.97655007  0.97907407  0.97982853  0.9717284   0.98010974  0.96893004
  0.97759259  0.97983539  0.97853224  0.9759808   0.97187243  0.97535665
  0.98176269  0.97408093  0.9727915   0.98179012  0.97116598  0.96955418
  0.98021948  0.97358711  0.98        0.97136488  0.98052126  0.97320302
  0.96956104  0.97155693  0.98589849  0.97716049  0.97321674  0.98286694
  0.98047325  0.98418381  0.97461591  0.97638546  0.97882716  0.97724966
  0.97502058  0.97280521  0.98177641  0.97572016  0.97565158  0.97344993
  0.97194102  0.98088477  0.97983539  0.9748011   0.97633059  0.98281207
  0.97538409  0.98111797]"
3,HNU_1_deter_dti_con_ROIv_scale33,binar,degrees,l1_l2_linf,standard,SGD,0.917777777778,0.00911743231488,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'loss': 'log'}",0.917296296296,0.00900853124081,"[ 0.92222222  0.91851852  0.92777778  0.90185185  0.93518519  0.90185185
  0.91296296  0.91666667  0.91666667  0.91481481  0.91296296  0.92037037
  0.93148148  0.91481481  0.91296296  0.93333333  0.91481481  0.90555556
  0.92407407  0.90925926  0.92407407  0.90925926  0.91666667  0.90555556
  0.90740741  0.91851852  0.93333333  0.92222222  0.9037037   0.91666667
  0.92222222  0.92962963  0.92222222  0.91111111  0.92592593  0.92407407
  0.9         0.90740741  0.92962963  0.92037037  0.91666667  0.91481481
  0.9         0.93148148  0.91111111  0.92222222  0.91481481  0.92037037
  0.91481481  0.92037037]",0.97640877915,0.00452619525233,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'loss': 'hinge'}",0.976668449931,0.00415699217472,"[ 0.97672154  0.97907407  0.97983539  0.97176269  0.98010974  0.96902606
  0.97759259  0.97989026  0.97866255  0.9759808   0.97187243  0.97530864
  0.98128258  0.97351852  0.97270233  0.98184499  0.97102195  0.96958162
  0.9803155   0.97358711  0.97978052  0.97136488  0.98070645  0.97326475
  0.96967764  0.97155693  0.98577503  0.9773251   0.97321674  0.98318244
  0.98049383  0.98414952  0.97462963  0.97643347  0.97878601  0.97724966
  0.97521262  0.97273663  0.98165981  0.97572016  0.97561043  0.97270233
  0.97155007  0.98088477  0.97986283  0.97465706  0.97633059  0.9827572
  0.97538409  0.98106996]"
4,HNU_1_deter_dti_con_ROIv_scale33,binar,closeness_centrality,l1_l2_linf,standard,LR,0.793333333333,0.0230880701859,"{'penalty': 'l1', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 100, 'C': 0.9500000000000001}",0.796222222222,0.0156433150546,"[ 0.81111111  0.79444444  0.8         0.77222222  0.77592593  0.80185185
  0.80185185  0.8037037   0.80185185  0.7962963   0.80185185  0.77777778
  0.80555556  0.7962963   0.79074074  0.80740741  0.80925926  0.78888889
  0.78518519  0.78703704  0.8         0.76481481  0.80185185  0.78518519
  0.73148148  0.81481481  0.82592593  0.78333333  0.79444444  0.79444444
  0.81111111  0.82407407  0.79074074  0.80925926  0.80740741  0.78703704
  0.77222222  0.7962963   0.79074074  0.79444444  0.7962963   0.81111111
  0.79259259  0.79074074  0.8037037   0.81296296  0.81296296  0.80925926
  0.7962963   0.7962963 ]",0.876993141289,0.0182020733012,"{'penalty': 'l1', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 100, 'C': 0.9500000000000001}",0.881255418381,0.0138325450274,"[ 0.8959465   0.8890192   0.87809328  0.86336763  0.87138546  0.87450617
  0.87966392  0.87465021  0.88648148  0.88156379  0.88134431  0.87562414
  0.890631    0.88748971  0.87288066  0.87838134  0.88182442  0.86727709
  0.87093278  0.87931413  0.89019204  0.8455487   0.88379287  0.88133059
  0.82093278  0.88673525  0.90290809  0.87856653  0.88056241  0.88237997
  0.89836763  0.90459534  0.87644719  0.89490398  0.89753086  0.88037723
  0.86297668  0.8884225   0.88410837  0.88207133  0.87762003  0.89685871
  0.87920439  0.87238683  0.89638546  0.88602881  0.90021948  0.88289438
  0.88699588  0.88104938]"
5,HNU_1_deter_dti_con_ROIv_scale33,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.796666666667,0.0187540576314,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'loss': 'modified_huber'}",0.788481481481,0.0175302599444,"[ 0.82407407  0.79814815  0.77222222  0.77037037  0.76666667  0.7962963
  0.82037037  0.80925926  0.79444444  0.75555556  0.78888889  0.77962963
  0.80740741  0.7962963   0.78148148  0.78148148  0.80185185  0.7962963
  0.78333333  0.78888889  0.77592593  0.77037037  0.77407407  0.76481481
  0.73703704  0.77777778  0.81296296  0.77962963  0.78888889  0.78703704
  0.81296296  0.80555556  0.75925926  0.79259259  0.79074074  0.78518519
  0.75925926  0.78148148  0.79814815  0.78148148  0.79814815  0.79074074
  0.78703704  0.79074074  0.80925926  0.80555556  0.80555556  0.81666667
  0.78703704  0.78518519]",0.87722085048,0.00636020978074,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 0, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 1.0, 'loss': 'log'}",0.879183539095,0.0106405882664,"[ 0.8840535   0.88067901  0.8826749   0.87229767  0.87004115  0.87895062
  0.87938957  0.87145405  0.88604252  0.87558299  0.87032922  0.87333333
  0.88283951  0.89751715  0.8758299   0.88139918  0.88492455  0.86170782
  0.86894376  0.86622771  0.88075446  0.8565775   0.87589163  0.88032922
  0.83910837  0.88356653  0.89481481  0.87605624  0.87072702  0.88158436
  0.90065844  0.8881893   0.86716049  0.88464335  0.88497942  0.87682442
  0.86990398  0.88484225  0.88233882  0.87986283  0.88483539  0.89573388
  0.88508916  0.87628258  0.89483539  0.88081619  0.89327846  0.88917695
  0.88106996  0.87502743]"
6,HNU_1_deter_dti_con_ROIv_scale33,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.5,0.0,"{'penalty': 'l1', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.01}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]",0.5239739369,0.0629116732261,"{'penalty': 'l2', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.05}",0.484269272977,0.0788147399822,"[ 0.49248285  0.64548011  0.50188615  0.65943073  0.33995885  0.50165981
  0.33625514  0.49646091  0.498107    0.49450617  0.49048011  0.49465021
  0.50195473  0.50167353  0.49990398  0.48491084  0.50193416  0.49458162
  0.48517833  0.66106996  0.32840878  0.49623457  0.34412894  0.50390261
  0.4967284   0.50020576  0.50547325  0.49255144  0.50192044  0.49997257
  0.49822359  0.50203018  0.49816187  0.49474623  0.50745542  0.50201646
  0.50569959  0.47967078  0.66153635  0.49651578  0.33656379  0.50198903
  0.49820988  0.49996571  0.32781207  0.31982167  0.4983059   0.50375857
  0.33293553  0.49595336]"
7,HNU_1_deter_dti_con_ROIv_scale33,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.501481481481,0.00181443684651,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 0, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'loss': 'modified_huber'}",0.500333333333,0.00510103677027,"[ 0.5         0.5         0.5         0.4962963   0.50740741  0.50185185
  0.5         0.4962963   0.50185185  0.5         0.5         0.49444444
  0.50185185  0.5         0.5         0.48518519  0.5         0.5         0.5
  0.5037037   0.50925926  0.5         0.49074074  0.5         0.5         0.5
  0.5         0.49259259  0.5         0.5         0.5         0.5         0.5
  0.49444444  0.49259259  0.50185185  0.50555556  0.52037037  0.5         0.5
  0.5037037   0.5037037   0.49814815  0.5         0.50555556  0.51111111
  0.49814815  0.5         0.5         0.5       ]",0.531362139918,0.0795528146732,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 0, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.1, 'loss': 'log'}",0.529046364883,0.0817033248738,"[ 0.49248285  0.49093278  0.50188615  0.65943073  0.50917695  0.50165981
  0.51111111  0.49646091  0.67575446  0.66995885  0.49048011  0.49465021
  0.50195473  0.67888203  0.49990398  0.48491084  0.67312757  0.63793553
  0.48517833  0.49647462  0.50922497  0.65434842  0.33264746  0.6850823
  0.4967284   0.50020576  0.50547325  0.49255144  0.50192044  0.66224966
  0.49822359  0.68358025  0.49816187  0.49474623  0.50745542  0.50201646
  0.50569959  0.47961591  0.49823731  0.49651578  0.67147462  0.50198903
  0.49820988  0.49996571  0.50580247  0.3197668   0.4983059   0.50375857
  0.50005487  0.49595336]"
8,HNU_1_deter_dti_con_ROIv_scale33,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.925185185185,0.00984098537451,"{'penalty': 'l1', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.4}",0.923555555556,0.0106962039598,"[ 0.92592593  0.92037037  0.91111111  0.93148148  0.91666667  0.92592593
  0.91111111  0.94074074  0.90555556  0.94074074  0.91851852  0.92037037
  0.93333333  0.92962963  0.93333333  0.94259259  0.93333333  0.92222222
  0.93148148  0.91851852  0.92222222  0.91851852  0.92777778  0.93703704
  0.9037037   0.91851852  0.95        0.92407407  0.91666667  0.93148148
  0.91111111  0.93703704  0.92592593  0.92037037  0.92407407  0.92962963
  0.91666667  0.90925926  0.93333333  0.92962963  0.90740741  0.92777778
  0.92407407  0.92222222  0.91851852  0.91296296  0.90925926  0.93703704
  0.90185185  0.91666667]",0.979673525377,0.00386312779403,"{'penalty': 'l2', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.9}",0.979454046639,0.00420753534886,"[ 0.98300412  0.98100137  0.97576132  0.97925926  0.97562414  0.98124829
  0.97510288  0.98183813  0.97293553  0.98517147  0.97570645  0.98042524
  0.98145405  0.97978052  0.9841701   0.9882716   0.98333333  0.97757202
  0.98108368  0.98106996  0.9809465   0.97500686  0.98037037  0.98209877
  0.96967078  0.97521262  0.99159122  0.97934156  0.97766804  0.98227709
  0.97978052  0.98390947  0.97902606  0.97960219  0.98100137  0.98159122
  0.97744856  0.97067215  0.98506173  0.97935528  0.97514403  0.97964335
  0.97812071  0.98037037  0.98085048  0.97403292  0.97555556  0.98408779
  0.97155007  0.97790123]"
9,HNU_1_deter_dti_con_ROIv_scale33,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.924814814815,0.00962962962963,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'loss': 'hinge'}",0.922814814815,0.0109834643141,"[ 0.92592593  0.91296296  0.91481481  0.92777778  0.91296296  0.92592593
  0.91111111  0.94074074  0.90555556  0.93703704  0.91851852  0.92037037
  0.93148148  0.92777778  0.92962963  0.94074074  0.93333333  0.92407407
  0.93148148  0.91481481  0.92222222  0.92037037  0.93148148  0.93888889
  0.90185185  0.91851852  0.95185185  0.92407407  0.91296296  0.93148148
  0.91111111  0.93518519  0.92407407  0.91666667  0.92592593  0.92777778
  0.91666667  0.90925926  0.92962963  0.93333333  0.91296296  0.92777778
  0.92222222  0.92407407  0.91666667  0.91111111  0.90555556  0.93518519
  0.8962963   0.91851852]",0.979651577503,0.00380094467231,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 0, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.01, 'loss': 'modified_huber'}",0.979440329218,0.00419797284672,"[ 0.98288066  0.98089163  0.97573388  0.97919067  0.9757476   0.98104252
  0.97504801  0.9817284   0.97266118  0.98508916  0.97555556  0.98032922
  0.98141289  0.98002743  0.98427984  0.98813443  0.98337449  0.97759945
  0.9809465   0.9808642   0.98091907  0.97491084  0.98037037  0.98198903
  0.96969822  0.97540466  0.99159122  0.97949246  0.9776406   0.9821262
  0.97972565  0.98396433  0.97906722  0.97971193  0.98091907  0.9815775
  0.97743484  0.97067215  0.98506173  0.97938272  0.97513032  0.97967078
  0.97817558  0.98069959  0.98065844  0.97404664  0.97559671  0.98423868
  0.97164609  0.9779561 ]"
10,HNU_1_deter_dti_con_ROIv_scale33,binar,pagerank,l1_l2_linf,standard,LR,0.954444444444,0.0138876542661,"{'penalty': 'l1', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.1}",0.954259259259,0.00848018751249,"[ 0.94444444  0.96111111  0.9462963   0.95        0.96296296  0.9537037
  0.93888889  0.96666667  0.95185185  0.96111111  0.94444444  0.95740741
  0.9537037   0.9537037   0.95740741  0.96666667  0.94444444  0.9462963
  0.95740741  0.95185185  0.95        0.95        0.95740741  0.96481481
  0.94074074  0.95740741  0.97222222  0.95        0.94259259  0.96481481
  0.95925926  0.97222222  0.95185185  0.96111111  0.95555556  0.9537037
  0.94074074  0.94259259  0.95555556  0.95555556  0.94444444  0.95740741
  0.9537037   0.97222222  0.96111111  0.95        0.94074074  0.9537037
  0.95        0.96111111]",0.992916323731,0.00370905065441,"{'penalty': 'l2', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.75}",0.99313744856,0.00196929438017,"[ 0.99304527  0.99418381  0.99176955  0.99259259  0.99440329  0.99251029
  0.99128944  0.99617284  0.99305898  0.9933059   0.99100137  0.99368999
  0.99384088  0.99224966  0.9929904   0.99617284  0.99368999  0.98770919
  0.99478738  0.99160494  0.99308642  0.99058985  0.99248285  0.99604938
  0.98980796  0.99375857  0.99711934  0.99270233  0.99340192  0.99478738
  0.99515775  0.99720165  0.99320988  0.99314129  0.99514403  0.99397805
  0.99097394  0.99060357  0.99465021  0.99218107  0.99064472  0.99176955
  0.99241427  0.99529492  0.99525377  0.99270233  0.98893004  0.99323731
  0.9917284   0.9948011 ]"
11,HNU_1_deter_dti_con_ROIv_scale33,binar,pagerank,l1_l2_linf,standard,SGD,0.954074074074,0.0121941315801,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 0, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'loss': 'log'}",0.952481481481,0.00811956265251,"[ 0.94259259  0.9537037   0.9462963   0.9462963   0.96481481  0.95
  0.93888889  0.96296296  0.9462963   0.96111111  0.94814815  0.96111111
  0.95740741  0.9462963   0.95185185  0.96666667  0.94814815  0.9462963
  0.95185185  0.9537037   0.95185185  0.9537037   0.94814815  0.96296296
  0.94074074  0.95925926  0.97037037  0.94814815  0.9462963   0.96296296
  0.9537037   0.97037037  0.95        0.95740741  0.95185185  0.95740741
  0.93888889  0.94259259  0.9537037   0.94444444  0.94074074  0.95
  0.94814815  0.96296296  0.96111111  0.94814815  0.94074074  0.95740741
  0.9462963   0.95925926]",0.992951989026,0.00376606944266,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'loss': 'hinge'}",0.993132784636,0.0020021606721,"[ 0.99318244  0.99426612  0.99161866  0.99293553  0.99459534  0.99233196
  0.99130316  0.99626886  0.99323731  0.99326475  0.99134431  0.9937037
  0.9933882   0.9920439   0.99314129  0.99622771  0.99341564  0.98769547
  0.99507545  0.99175583  0.99300412  0.99075446  0.9924417   0.99617284
  0.98965706  0.99384088  0.99714678  0.99274348  0.9936214   0.99497942
  0.99485597  0.99720165  0.99290809  0.99285322  0.99541838  0.99410151
  0.99119342  0.99052126  0.99437586  0.99227709  0.99052126  0.99142661
  0.99226337  0.99533608  0.99530864  0.99268861  0.98884774  0.99341564
  0.99127572  0.99469136]"
12,HNU_1_deter_dti_con_ROIv_scale33,binar,efficiency,l1_l2_linf,standard,LR,0.923333333333,0.019195049659,"{'penalty': 'l1', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.35000000000000003}",0.921888888889,0.0109537624055,"[ 0.91851852  0.93148148  0.91666667  0.8962963   0.93518519  0.90555556
  0.92037037  0.9462963   0.91666667  0.92592593  0.91296296  0.92407407
  0.92777778  0.91296296  0.92222222  0.94814815  0.91111111  0.91481481
  0.92592593  0.91111111  0.92962963  0.91666667  0.91296296  0.92222222
  0.90555556  0.92222222  0.94074074  0.91851852  0.90555556  0.92777778
  0.93518519  0.93333333  0.92407407  0.92222222  0.92037037  0.94074074
  0.91481481  0.92407407  0.92222222  0.91296296  0.92222222  0.91296296
  0.91111111  0.93518519  0.91851852  0.92222222  0.91666667  0.94259259
  0.90925926  0.92777778]",0.97675994513,0.00690170011564,"{'penalty': 'l1', 'n_jobs': -1, 'random_state': 0, 'fit_intercept': True, 'solver': 'liblinear', 'max_iter': 50, 'C': 0.9}",0.976993689986,0.00489123334375,"[ 0.97639232  0.98159122  0.97790123  0.96768176  0.98046639  0.96858711
  0.9769273   0.98406036  0.97946502  0.97604938  0.96953361  0.97643347
  0.98010974  0.97355281  0.97474623  0.98500686  0.97122085  0.96997257
  0.97824417  0.97205761  0.98097394  0.97203018  0.98264746  0.97684499
  0.96839506  0.97293553  0.98716049  0.9782716   0.97240055  0.98436214
  0.98231824  0.98415638  0.97447188  0.97792867  0.97711934  0.98043896
  0.97539095  0.9730727   0.9784225   0.97500686  0.97742112  0.97127572
  0.97194787  0.98050754  0.9803155   0.97887517  0.97534979  0.98668038
  0.97179698  0.98116598]"
13,HNU_1_deter_dti_con_ROIv_scale33,binar,efficiency,l1_l2_linf,standard,SGD,0.925925925926,0.0179543698423,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'loss': 'hinge'}",0.923555555556,0.0110556641226,"[ 0.92037037  0.93333333  0.92777778  0.9         0.94444444  0.89814815
  0.92407407  0.94259259  0.91851852  0.92777778  0.91111111  0.92222222
  0.92592593  0.91666667  0.92407407  0.94259259  0.91666667  0.91851852
  0.92592593  0.91851852  0.92962963  0.92037037  0.92592593  0.91851852
  0.9037037   0.92037037  0.94259259  0.92222222  0.90555556  0.93518519
  0.93703704  0.93518519  0.92962963  0.92037037  0.92592593  0.94444444
  0.91666667  0.92592593  0.92037037  0.91111111  0.92592593  0.91111111
  0.91111111  0.93888889  0.92407407  0.92037037  0.91666667  0.93703704
  0.91296296  0.92962963]",0.976817558299,0.00697267728725,"{'eta0': 0.0, 'fit_intercept': True, 'power_t': 0.5, 'penalty': 'elasticnet', 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'n_jobs': -1, 'verbose': 0, 'shuffle': True, 'class_weight': None, 'random_state': 0, 'epsilon': 0.1, 'n_iter': 50, 'alpha': 0.001, 'loss': 'modified_huber'}",0.975772016461,0.00513251369762,"[ 0.97278464  0.98115226  0.97776406  0.96676269  0.97954733  0.97032922
  0.97714678  0.98341564  0.9777915   0.97561043  0.97144033  0.97529492
  0.97950617  0.97        0.97388203  0.98485597  0.97065844  0.96995885
  0.979369    0.97111111  0.98115226  0.97010974  0.95995885  0.97736626
  0.96858711  0.97274348  0.98595336  0.97430727  0.97113855  0.98010974
  0.98224966  0.98041152  0.97460905  0.97713306  0.97620027  0.97994513
  0.97444444  0.97344307  0.97331962  0.97443073  0.97742112  0.97076818
  0.97211248  0.98085048  0.98006859  0.97861454  0.97463649  0.98507545
  0.97224966  0.98080933]"
