,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csa_con_ROIv_scale125,binar,bag_of_edges,l1_l2_linf,standard,LR,0.985925925926,0.00277159806428,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'C': 0.1}",0.985444444444,0.00506487406019,"[ 0.98333333  0.98518519  0.99259259  0.98148148  0.98703704  0.98888889
  0.97592593  0.99259259  0.99074074  0.98333333  0.98333333  0.98703704
  0.99074074  0.97777778  0.98518519  0.97962963  0.97962963  0.98518519
  0.99444444  0.98518519  0.98888889  0.98148148  0.99074074  0.97222222
  0.98148148  0.99259259  0.98703704  0.97962963  0.98888889  0.99074074
  0.98703704  0.99074074  0.99259259  0.98148148  0.98518519  0.98148148
  0.98888889  0.98148148  0.98703704  0.98148148  0.98888889  0.98888889
  0.97777778  0.98148148  0.98333333  0.98148148  0.98703704  0.98888889
  0.99444444  0.97962963]",0.998700960219,0.000577446406381,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.01}",0.998730589849,0.000633024192532,"[ 0.99857339  0.9991358   0.99933471  0.99888889  0.99927298  0.99919067
  0.99759259  0.99808642  0.99956104  0.99829218  0.99853909  0.99886145
  0.99969822  0.99756516  0.9988546   0.99819616  0.9978738   0.99891632
  0.99998628  0.99860768  0.99904664  0.99820302  0.99927298  0.99790809
  0.99781207  0.9997668   0.99835391  0.99844993  0.99931413  0.99906722
  0.9990192   0.99823045  0.99909465  0.99709191  0.99867627  0.9988203
  0.99941015  0.99887517  0.99890947  0.9991701   0.99831276  0.99900549
  0.9988546   0.99845679  0.99860082  0.99743484  0.99888203  0.99946502
  0.99962963  0.99836763]"
1,HNU_1_deter_csa_con_ROIv_scale125,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.985925925926,0.00343467351685,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'log', 'power_t': 0.5, 'alpha': 0.001}",0.98537037037,0.00446369288637,"[ 0.98148148  0.98703704  0.99074074  0.98333333  0.98703704  0.98518519
  0.97777778  0.98888889  0.99259259  0.97962963  0.98148148  0.98703704
  0.99074074  0.97777778  0.98333333  0.98333333  0.98148148  0.98518519
  0.99444444  0.98518519  0.99074074  0.98148148  0.99074074  0.97407407
  0.98148148  0.99074074  0.98703704  0.98148148  0.98703704  0.99074074
  0.98703704  0.98888889  0.99259259  0.98333333  0.98703704  0.98148148
  0.98703704  0.98333333  0.98518519  0.98148148  0.98888889  0.98888889
  0.98148148  0.98148148  0.98333333  0.97962963  0.98518519  0.98888889
  0.99259259  0.98148148]",0.998700960219,0.000577446406381,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 0, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'hinge', 'power_t': 0.5, 'alpha': 0.001}",0.998730589849,0.000633024192532,"[ 0.99857339  0.9991358   0.99933471  0.99888889  0.99927298  0.99919067
  0.99759259  0.99808642  0.99956104  0.99829218  0.99853909  0.99886145
  0.99969822  0.99756516  0.9988546   0.99819616  0.9978738   0.99891632
  0.99998628  0.99860768  0.99904664  0.99820302  0.99927298  0.99790809
  0.99781207  0.9997668   0.99835391  0.99844993  0.99931413  0.99906722
  0.9990192   0.99823045  0.99909465  0.99709191  0.99867627  0.9988203
  0.99941015  0.99887517  0.99890947  0.9991701   0.99831276  0.99900549
  0.9988546   0.99845679  0.99860082  0.99743484  0.99888203  0.99946502
  0.99962963  0.99836763]"
2,HNU_1_deter_csa_con_ROIv_scale125,binar,degrees,l1_l2_linf,standard,LR,0.979259259259,0.00716262207623,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l2', 'C': 0.30000000000000004}",0.978444444444,0.00546544199872,"[ 0.97777778  0.97962963  0.97777778  0.98148148  0.98333333  0.97407407
  0.97962963  0.98333333  0.98703704  0.97962963  0.96296296  0.97037037
  0.98333333  0.97592593  0.97592593  0.97777778  0.97962963  0.97592593
  0.98333333  0.97407407  0.98333333  0.97592593  0.97962963  0.97222222
  0.97777778  0.98703704  0.97777778  0.98518519  0.97962963  0.99259259
  0.97962963  0.97777778  0.97962963  0.96851852  0.97592593  0.96851852
  0.97962963  0.97407407  0.98148148  0.98148148  0.97962963  0.97962963
  0.97037037  0.96666667  0.97777778  0.97777778  0.98148148  0.98518519
  0.98518519  0.97777778]",0.996288065844,0.001949295256,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.2}",0.996201097394,0.00192144870574,"[ 0.99663923  0.99576132  0.99410151  0.9959808   0.99835391  0.99743484
  0.99377229  0.99805213  0.99753086  0.99581619  0.9955144   0.99326475
  0.99829904  0.98990398  0.99695473  0.99438957  0.99271605  0.99403292
  0.9982716   0.99776406  0.99702332  0.99399177  0.99773663  0.99218107
  0.9941701   0.99906722  0.9955144   0.9973251   0.99768176  0.99729767
  0.99636488  0.9962963   0.99588477  0.99390947  0.99803841  0.99397805
  0.99849108  0.99676269  0.99742112  0.99805213  0.99831276  0.99475995
  0.99647462  0.99562414  0.99620027  0.99646091  0.99754458  0.99781893
  0.99824417  0.99687243]"
3,HNU_1_deter_csa_con_ROIv_scale125,binar,degrees,l1_l2_linf,standard,SGD,0.979259259259,0.0068693470337,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'hinge', 'power_t': 0.5, 'alpha': 0.1}",0.978444444444,0.00519522836892,"[ 0.97592593  0.97962963  0.98148148  0.97962963  0.98148148  0.97407407
  0.97777778  0.98333333  0.98333333  0.97962963  0.97037037  0.96851852
  0.97962963  0.97222222  0.97962963  0.97962963  0.97962963  0.97592593
  0.98333333  0.97407407  0.98148148  0.97592593  0.98333333  0.97777778
  0.97592593  0.98703704  0.97777778  0.98148148  0.97962963  0.99259259
  0.97962963  0.97962963  0.98333333  0.96851852  0.97592593  0.96666667
  0.98148148  0.97592593  0.98148148  0.98333333  0.98148148  0.97962963
  0.96851852  0.96481481  0.97777778  0.97777778  0.97962963  0.98333333
  0.98333333  0.97777778]",0.996315500686,0.00194140233744,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'modified_huber', 'power_t': 0.5, 'alpha': 1.0}",0.996230589849,0.00192267364104,"[ 0.9966941   0.99607682  0.99410151  0.99599451  0.99835391  0.99740741
  0.99373114  0.99812071  0.99750343  0.99577503  0.9957476   0.99320988
  0.99828532  0.99004115  0.99711934  0.99458162  0.99283951  0.9941701
  0.99832647  0.99777778  0.99709191  0.99377229  0.99754458  0.99213992
  0.99419753  0.99908093  0.9955144   0.99751715  0.99768176  0.99714678
  0.99635117  0.99633745  0.99588477  0.99396433  0.99801097  0.99396433
  0.99851852  0.99676269  0.99742112  0.99806584  0.99838134  0.99477366
  0.99663923  0.99538409  0.99624143  0.99624143  0.99776406  0.99786008
  0.9984225   0.99699588]"
4,HNU_1_deter_csa_con_ROIv_scale125,binar,closeness_centrality,l1_l2_linf,standard,LR,0.913703703704,0.00948610998138,"{'max_iter': 100, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.75}",0.911703703704,0.00872880541058,"[ 0.92037037  0.91111111  0.90925926  0.91481481  0.92962963  0.91296296
  0.92222222  0.92592593  0.92777778  0.91111111  0.9         0.89444444
  0.91481481  0.91851852  0.89074074  0.92777778  0.9037037   0.90925926
  0.92037037  0.91296296  0.92037037  0.91666667  0.91481481  0.91111111
  0.9037037   0.91111111  0.90555556  0.91111111  0.90555556  0.91666667
  0.91481481  0.90555556  0.91296296  0.9         0.91111111  0.91481481
  0.9         0.8962963   0.90555556  0.91481481  0.91296296  0.92777778
  0.90740741  0.90185185  0.92037037  0.90185185  0.90555556  0.91111111
  0.91111111  0.91481481]",0.974211248285,0.00274822635428,"{'max_iter': 100, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.9500000000000001}",0.974192866941,0.00418050791185,"[ 0.97518519  0.97314129  0.97251029  0.97432099  0.97951989  0.97333333
  0.97552812  0.98013717  0.97980796  0.97397805  0.96252401  0.96219479
  0.97467764  0.97368999  0.97112483  0.97923182  0.97311385  0.97144033
  0.97921811  0.97902606  0.97255144  0.97478738  0.97460905  0.97037037
  0.97074074  0.97363512  0.97748971  0.97517147  0.97422497  0.9808642
  0.97684499  0.97146776  0.97257888  0.96596708  0.97611797  0.97371742
  0.97050754  0.9690535   0.97176955  0.97843621  0.9791358   0.98319616
  0.97278464  0.97165981  0.97838134  0.97098765  0.97710562  0.97371742
  0.9761454   0.97192044]"
5,HNU_1_deter_csa_con_ROIv_scale125,binar,closeness_centrality,l1_l2_linf,standard,SGD,0.917777777778,0.0101159261361,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'modified_huber', 'power_t': 0.5, 'alpha': 0.001}",0.917333333333,0.00887158810168,"[ 0.91296296  0.92222222  0.91296296  0.92407407  0.93148148  0.91481481
  0.92962963  0.92407407  0.93148148  0.91666667  0.91851852  0.90185185
  0.92592593  0.92777778  0.8962963   0.94074074  0.91111111  0.91851852
  0.92592593  0.92592593  0.90925926  0.92407407  0.92037037  0.91481481
  0.91481481  0.91296296  0.91481481  0.91296296  0.91851852  0.91481481
  0.90740741  0.91296296  0.91481481  0.90185185  0.91851852  0.92592593
  0.9037037   0.90185185  0.90925926  0.92037037  0.92407407  0.92592593
  0.90740741  0.90740741  0.92777778  0.92037037  0.92222222  0.91851852
  0.91296296  0.91296296]",0.96336351166,0.00632760950968,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'modified_huber', 'power_t': 0.5, 'alpha': 0.001}",0.963212071331,0.0088922411332,"[ 0.95814815  0.96304527  0.97074074  0.96183813  0.97465021  0.96499314
  0.96492455  0.97396433  0.98364883  0.97418381  0.96532236  0.95342936
  0.95567901  0.9670096   0.9663786   0.97407407  0.95921811  0.95360768
  0.97687243  0.97310014  0.95777778  0.96364883  0.95813443  0.95314129
  0.95746228  0.95824417  0.96581619  0.94534979  0.96862826  0.9772428
  0.96773663  0.95888889  0.96366255  0.96123457  0.95857339  0.95995885
  0.96368999  0.95297668  0.94694102  0.95563786  0.96419753  0.98274348
  0.9514952   0.95447188  0.97364883  0.95473251  0.96123457  0.97041152
  0.9702332   0.94786008]"
6,HNU_1_deter_csa_con_ROIv_scale125,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.5,0.0,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.01}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]",0.5,0.0,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.01}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,HNU_1_deter_csa_con_ROIv_scale125,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.501481481481,0.00181443684651,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 0, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'log', 'power_t': 0.5, 'alpha': 0.001}",0.499111111111,0.00363340695361,"[ 0.5         0.5         0.5         0.49444444  0.5037037   0.50555556
  0.49814815  0.5         0.50555556  0.5         0.5         0.49814815
  0.49444444  0.49444444  0.5         0.5         0.5         0.5
  0.49444444  0.5         0.5         0.50555556  0.50185185  0.49444444
  0.5         0.5         0.49814815  0.48518519  0.5         0.4962963
  0.5037037   0.5         0.49814815  0.5         0.5         0.50185185
  0.5037037   0.49444444  0.5         0.5         0.5         0.5
  0.49074074  0.49444444  0.5         0.49814815  0.49814815  0.5
  0.50185185  0.5       ]",0.501096021948,0.00516407326295,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 0, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'modified_huber', 'power_t': 0.5, 'alpha': 0.001}",0.500201508916,0.00560068796752,"[ 0.49076818  0.50189986  0.50720165  0.50534979  0.50366255  0.50554184
  0.49812071  0.50175583  0.50550754  0.50183128  0.51659808  0.50187929
  0.49458162  0.50561043  0.50735254  0.50380658  0.50010974  0.49455418
  0.50740741  0.50001372  0.49631001  0.49444444  0.5016941   0.49446502
  0.50024691  0.49989026  0.49817558  0.48534979  0.49997257  0.49635802
  0.50364198  0.49989712  0.49816187  0.50561043  0.49991084  0.50192044
  0.50374486  0.49460905  0.50007545  0.50353909  0.5019273   0.49995885
  0.49088477  0.49451989  0.50561043  0.49844307  0.49827846  0.50552126
  0.49817558  0.48518519]"
8,HNU_1_deter_csa_con_ROIv_scale125,binar,eigenvector_centrality,l1_l2_linf,standard,LR,0.986296296296,0.00188852574578,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.25}",0.985666666667,0.00551603225126,"[ 0.98703704  0.97222222  0.97777778  0.98888889  0.99259259  0.99074074
  0.98333333  0.98518519  0.99074074  0.98703704  0.96851852  0.98518519
  0.99259259  0.97777778  0.98148148  0.98888889  0.98518519  0.98703704
  0.98703704  0.98888889  0.98148148  0.98148148  0.97777778  0.97592593
  0.99074074  0.98518519  0.98888889  0.99444444  0.99259259  0.99074074
  0.98518519  0.98888889  0.98518519  0.98148148  0.98703704  0.98148148
  0.98518519  0.98333333  0.98888889  0.98703704  0.98888889  0.98148148
  0.98333333  0.99259259  0.99259259  0.98148148  0.98518519  0.99444444
  0.99074074  0.98148148]",0.998685871056,0.000663979863581,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.55}",0.998800548697,0.000972104228305,"[ 0.99861454  0.99853224  0.99718793  0.99934156  0.99990398  0.99883402
  0.99909465  0.99780521  0.99979424  0.99939643  0.99820302  0.99925926
  0.9999177   0.99585734  0.99949246  0.99853224  0.99805213  0.99798354
  0.99969822  0.99908093  0.99871056  0.99647462  0.99824417  0.99736626
  0.99890261  0.99935528  0.99946502  0.99987654  0.99960219  0.99962963
  0.99853224  0.99919067  0.99938272  0.99909465  0.99950617  0.99897119
  0.99906722  0.99934156  0.99890261  0.99941015  0.9996845   0.99657064
  0.99820302  0.99949246  0.99953361  0.9973251   0.99924554  0.99984911
  0.99954733  0.99696845]"
9,HNU_1_deter_csa_con_ROIv_scale125,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,0.986666666667,0.00296296296296,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'modified_huber', 'power_t': 0.5, 'alpha': 0.001}",0.985481481481,0.00578963645324,"[ 0.98518519  0.97407407  0.97962963  0.99074074  0.99259259  0.99074074
  0.98518519  0.98518519  0.98888889  0.98703704  0.96851852  0.98333333
  0.99814815  0.97777778  0.98518519  0.98888889  0.98518519  0.98148148
  0.98703704  0.98888889  0.98703704  0.97777778  0.97777778  0.97777778
  0.99259259  0.98518519  0.98518519  0.99259259  0.99444444  0.99074074
  0.98518519  0.98888889  0.98333333  0.97962963  0.98518519  0.98148148
  0.98518519  0.98518519  0.99074074  0.98703704  0.98703704  0.98148148
  0.98148148  0.99074074  0.99259259  0.97592593  0.98333333  0.99444444
  0.99074074  0.97962963]",0.998685871056,0.000561671026849,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'hinge', 'power_t': 0.5, 'alpha': 0.5}",0.99879122085,0.000909578352931,"[ 0.99884774  0.99828532  0.99714678  0.99935528  0.99990398  0.99894376
  0.99908093  0.99792867  0.99971193  0.9994513   0.99803841  0.99898491
  0.99979424  0.9958299   0.99935528  0.99877915  0.99836763  0.99836763
  0.9996845   0.99897119  0.9984225   0.99674897  0.99838134  0.99720165
  0.99899863  0.99890261  0.99927298  0.99978052  0.99951989  0.99960219
  0.99886145  0.99909465  0.99930041  0.9988203   0.99957476  0.99880658
  0.99901235  0.99934156  0.99906722  0.999369    0.99950617  0.99681756
  0.99860082  0.99931413  0.99950617  0.99746228  0.99902606  0.99980796
  0.99954733  0.99706447]"
10,HNU_1_deter_csa_con_ROIv_scale125,binar,pagerank,l1_l2_linf,standard,LR,0.996666666667,0.00272165526976,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.2}",0.995888888889,0.00237989982614,"[ 0.99444444  0.99259259  0.99444444  1.          1.          0.9962963
  0.9962963   0.99814815  0.99814815  0.9962963   0.99074074  0.9962963
  0.99814815  0.99444444  0.99259259  0.99444444  0.9962963   1.
  0.99814815  0.99259259  0.99444444  0.9962963   0.99444444  0.99444444
  0.99444444  0.99814815  1.          0.99259259  1.          0.9962963
  0.9962963   0.99444444  0.9962963   0.99444444  0.99814815  0.99259259
  0.99814815  0.99259259  0.9962963   0.99259259  0.9962963   0.99259259
  0.99444444  0.9962963   0.99814815  0.99814815  0.99444444  0.99814815
  0.99814815  0.99444444]",0.999961591221,4.78342819593e-05,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.01}",0.999951714678,5.69720682694e-05,"[ 1.          0.99980796  0.99990398  1.          1.          0.99990398
  1.          1.          1.          0.99997257  0.99982167  0.99997257
  1.          0.99989026  1.          0.99986283  0.99995885  1.
  0.99998628  0.99980796  0.99993141  0.99998628  0.99987654  0.9999177
  0.99993141  1.          1.          0.99989026  1.          1.
  0.99998628  0.99987654  0.99997257  0.9999177   1.          0.9999177   1.
  0.99984911  1.          1.          0.99993141  0.99990398  1.          1.
  0.99995885  0.99998628  0.9999177   0.99998628  1.          0.99995885]"
11,HNU_1_deter_csa_con_ROIv_scale125,binar,pagerank,l1_l2_linf,standard,SGD,0.997407407407,0.00148148148148,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'hinge', 'power_t': 0.5, 'alpha': 0.001}",0.996888888889,0.0019044385381,"[ 0.9962963   0.99444444  0.99444444  1.          1.          0.9962963
  0.9962963   0.99814815  0.99814815  0.99814815  0.99444444  0.9962963
  0.99814815  0.99444444  0.99444444  0.99444444  0.99814815  1.
  0.99814815  0.99444444  0.9962963   0.9962963   0.99444444  0.9962963
  0.99444444  0.99814815  1.          0.99444444  1.          0.99814815
  0.99814815  0.9962963   0.9962963   0.99444444  1.          0.99444444
  1.          0.99444444  0.9962963   0.9962963   0.9962963   0.9962963
  0.9962963   0.99814815  0.99814815  0.99814815  0.9962963   0.99814815
  1.          0.9962963 ]",0.999967078189,4.12436114633e-05,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'hinge', 'power_t': 0.5, 'alpha': 0.01}",0.999956104252,5.20539532538e-05,"[ 1.          0.99980796  0.9999177   1.          1.          0.99993141
  1.          1.          1.          0.99997257  0.99990398  0.99997257
  1.          0.9999177   1.          0.99987654  0.99995885  1.
  0.99998628  0.99980796  0.99994513  0.99998628  0.99986283  0.9999177
  0.99993141  1.          1.          0.99989026  1.          1.
  0.99998628  0.99989026  0.99998628  0.9999177   1.          0.9999177   1.
  0.99986283  1.          1.          0.99993141  0.9999177   1.          1.
  0.99995885  0.99997257  0.9999177   0.99998628  1.          0.99997257]"
12,HNU_1_deter_csa_con_ROIv_scale125,binar,efficiency,l1_l2_linf,standard,LR,0.978518518519,0.00381319634851,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.65}",0.977666666667,0.00535963166435,"[ 0.97962963  0.98148148  0.97592593  0.97777778  0.98148148  0.97037037
  0.97037037  0.97592593  0.98703704  0.97962963  0.97407407  0.96851852
  0.97777778  0.97037037  0.97592593  0.97407407  0.97962963  0.97407407
  0.98518519  0.97962963  0.97962963  0.97592593  0.98518519  0.97037037
  0.97777778  0.98333333  0.98148148  0.97777778  0.98333333  0.98888889
  0.97407407  0.97962963  0.98333333  0.96481481  0.97962963  0.97407407
  0.97777778  0.97592593  0.98148148  0.98148148  0.98148148  0.97777778
  0.96666667  0.96666667  0.97962963  0.97407407  0.98148148  0.98148148
  0.98518519  0.97407407]",0.995832647462,0.00226338945001,"{'max_iter': 50, 'random_state': 0, 'solver': 'liblinear', 'n_jobs': -1, 'fit_intercept': True, 'penalty': 'l1', 'C': 0.65}",0.99565733882,0.00208328762955,"[ 0.99631001  0.99603567  0.99320988  0.99517147  0.99816187  0.99646091
  0.99303155  0.99720165  0.99761317  0.99541838  0.99596708  0.99312757
  0.99834019  0.98872428  0.99554184  0.99334705  0.99197531  0.99327846
  0.99781893  0.99717421  0.99699588  0.99293553  0.99696845  0.99186557
  0.99374486  0.9984225   0.99532236  0.99744856  0.99676269  0.99689986
  0.99566529  0.99609053  0.99529492  0.99263374  0.99773663  0.99399177
  0.9978738   0.99703704  0.99668038  0.99736626  0.99868313  0.99408779
  0.99502058  0.99407407  0.9948011   0.99567901  0.99729767  0.99758573
  0.9978738   0.99611797]"
13,HNU_1_deter_csa_con_ROIv_scale125,binar,efficiency,l1_l2_linf,standard,SGD,0.976666666667,0.00343467351685,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'hinge', 'power_t': 0.5, 'alpha': 0.001}",0.975888888889,0.00548710922316,"[ 0.97592593  0.97777778  0.97592593  0.97592593  0.98148148  0.96666667
  0.97037037  0.97592593  0.98333333  0.97777778  0.97222222  0.96666667
  0.97592593  0.96851852  0.97777778  0.97037037  0.97777778  0.97037037
  0.98333333  0.97407407  0.97962963  0.97037037  0.98518519  0.96851852
  0.97592593  0.97592593  0.97962963  0.97777778  0.97962963  0.98888889
  0.97037037  0.97777778  0.97962963  0.96481481  0.97777778  0.97407407
  0.97962963  0.97962963  0.97962963  0.97962963  0.98148148  0.97777778
  0.96296296  0.96666667  0.97592593  0.97222222  0.97962963  0.97962963
  0.98333333  0.97222222]",0.995903978052,0.00223086938911,"{'n_iter': 50, 'verbose': 0, 'eta0': 0.0, 'random_state': 0, 'fit_intercept': True, 'n_jobs': -1, 'penalty': 'elasticnet', 'epsilon': 0.1, 'class_weight': None, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'shuffle': True, 'loss': 'hinge', 'power_t': 0.5, 'alpha': 0.001}",0.995695747599,0.00208258335668,"[ 0.99602195  0.99593964  0.99395062  0.99514403  0.99817558  0.99613169
  0.99341564  0.99716049  0.99791495  0.99526749  0.99626886  0.99356653
  0.99835391  0.98834019  0.99554184  0.99351166  0.9921262   0.99334705
  0.99798354  0.99710562  0.99696845  0.99303155  0.99677641  0.99194787
  0.99375857  0.99836763  0.99559671  0.99773663  0.99674897  0.99698217
  0.99566529  0.99615912  0.99521262  0.99215364  0.99791495  0.9941701
  0.99786008  0.99705075  0.99626886  0.99737997  0.99872428  0.9939369
  0.99489712  0.9945679   0.99477366  0.99580247  0.99758573  0.99744856
  0.99784636  0.99618656]"
