,Dataset,Normalizer,Featurizer,Pairwise_features,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csa_con_ROIv_scale125,binar,bag_of_edges,l1_l2_linf,standard,LR,0.961538461538,0.0486504255411,"{'C': 0.05, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",0.958181818182,0.0580965283952,"[ 1.          1.          0.90909091  1.          1.          1.
  0.90909091  0.81818182  0.90909091  1.          0.90909091  0.90909091
  0.90909091  0.90909091  1.          1.          1.          0.90909091
  1.          1.          0.90909091  1.          1.          1.
  0.90909091  0.90909091  1.          0.90909091  1.          1.          1.
  0.90909091  1.          0.81818182  1.          1.          0.81818182
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  0.81818182  1.          0.90909091]",1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",0.998666666667,0.00653197264742,"[ 1.          1.          1.          1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
1,IPCAS_1_proba_csa_con_ROIv_scale125,binar,bag_of_edges,l1_l2_linf,standard,SGD,0.961538461538,0.0788226981997,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'log', 'alpha': 0.01, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",0.945454545455,0.0603022689156,"[ 1.          0.90909091  0.90909091  1.          1.          0.90909091
  0.81818182  0.81818182  0.90909091  1.          1.          0.90909091
  0.90909091  1.          1.          1.          1.          0.90909091
  1.          0.90909091  0.81818182  1.          1.          0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  1.
  0.81818182  0.90909091  1.          0.90909091  1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          0.90909091  1.          0.81818182  0.90909091  1.
  0.90909091]",1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",0.998666666667,0.00653197264742,"[ 1.          1.          1.          1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
2,IPCAS_1_proba_csa_con_ROIv_scale125,binar,degrees,l1_l2_linf,standard,LR,1.0,0.0,"{'C': 0.8, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50, 'random_state': 0}",0.990909090909,0.0327777388679,"[ 1.          1.          1.          1.          1.          1.          1.
  0.81818182  1.          1.          1.          0.90909091  1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.90909091
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]",1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
3,IPCAS_1_proba_csa_con_ROIv_scale125,binar,degrees,l1_l2_linf,standard,SGD,1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
4,IPCAS_1_proba_csa_con_ROIv_scale125,binar,closeness_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'C': 0.8500000000000001, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50, 'random_state': 0}",0.985454545455,0.0379647509415,"[ 1.          0.90909091  1.          1.          1.          1.          1.
  0.81818182  1.          1.          1.          1.          1.          1.
  0.90909091  0.90909091  1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.90909091
  1.          1.          1.          1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.        ]",1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
5,IPCAS_1_proba_csa_con_ROIv_scale125,binar,closeness_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",0.998181818182,0.0127272727273,"[ 1.          1.          1.          1.          0.90909091  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
6,IPCAS_1_proba_csa_con_ROIv_scale125,binar,betweenness_centrality,l1_l2_linf,standard,LR,0.980769230769,0.0394113490998,"{'C': 0.1, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50, 'random_state': 0}",0.983636363636,0.0349261322042,"[ 1.          1.          0.90909091  1.          1.          1.          1.
  0.90909091  1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          0.90909091  1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.90909091  1.          0.90909091]",1.0,0.0,"{'C': 0.1, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
7,IPCAS_1_proba_csa_con_ROIv_scale125,binar,betweenness_centrality,l1_l2_linf,standard,SGD,0.980769230769,0.0394113490998,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.01, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",0.983636363636,0.0349261322042,"[ 1.          1.          0.90909091  1.          1.          1.          1.
  0.90909091  1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          0.90909091  1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.90909091  1.          0.90909091]",1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",0.997333333333,0.00904310664417,"[ 1.          1.          1.          1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]"
8,IPCAS_1_proba_csa_con_ROIv_scale125,binar,eigenvector_centrality,l1_l2_linf,standard,LR,1.0,0.0,"{'C': 0.8500000000000001, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50, 'random_state': 0}",0.990909090909,0.0272727272727,"[ 1.          1.          0.90909091  1.          1.          1.          1.
  0.90909091  1.          1.          1.          0.90909091  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.90909091]",1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
9,IPCAS_1_proba_csa_con_ROIv_scale125,binar,eigenvector_centrality,l1_l2_linf,standard,SGD,1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
10,IPCAS_1_proba_csa_con_ROIv_scale125,binar,pagerank,l1_l2_linf,standard,LR,0.980769230769,0.0394113490998,"{'C': 0.7000000000000001, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",0.969090909091,0.0501567789968,"[ 0.90909091  1.          0.81818182  1.          1.          1.          1.
  0.90909091  1.          1.          1.          0.81818182  0.90909091
  0.90909091  1.          1.          1.          1.          0.90909091
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  0.90909091  0.90909091  1.          1.
  1.          1.          1.          1.          0.90909091  1.
  0.90909091  0.90909091  1.          1.          1.          0.90909091
  1.          1.          1.          1.          1.        ]",1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
11,IPCAS_1_proba_csa_con_ROIv_scale125,binar,pagerank,l1_l2_linf,standard,SGD,1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
12,IPCAS_1_proba_csa_con_ROIv_scale125,binar,efficiency,l1_l2_linf,standard,LR,1.0,0.0,"{'C': 0.9, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50, 'random_state': 0}",0.990909090909,0.0327777388679,"[ 1.          0.90909091  1.          1.          1.          1.          1.
  0.81818182  1.          1.          1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.90909091
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.        ]",1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
13,IPCAS_1_proba_csa_con_ROIv_scale125,binar,efficiency,l1_l2_linf,standard,SGD,1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
14,IPCAS_1_proba_csa_con_ROIv_scale125,binar,clustering_coefficient,l1_l2_linf,standard,LR,0.980769230769,0.0394113490998,"{'C': 0.1, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 50, 'random_state': 0}",0.981818181818,0.0363636363636,"[ 1.          1.          0.90909091  1.          1.          1.          1.
  0.90909091  1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.90909091  0.90909091  1.          1.          0.90909091  1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.90909091  1.          0.90909091]",1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",0.998666666667,0.00653197264742,"[ 1.          1.          0.96666667  1.          1.          1.          1.
  1.          1.          1.          0.96666667  1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
15,IPCAS_1_proba_csa_con_ROIv_scale125,binar,clustering_coefficient,l1_l2_linf,standard,SGD,1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 1.0}",0.985454545455,0.033327823236,"[ 1.          1.          0.90909091  1.          1.          1.          1.
  0.90909091  1.          1.          0.90909091  0.90909091  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.90909091  1.          0.90909091]",1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
16,IPCAS_1_proba_csa_con_ROIv_scale125,binar,triangles,l1_l2_linf,standard,LR,0.980769230769,0.0394113490998,"{'C': 0.7000000000000001, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",0.970909090909,0.0528212328958,"[ 1.          0.90909091  1.          1.          1.          1.          1.
  0.81818182  1.          1.          1.          0.90909091  1.
  0.90909091  0.90909091  0.81818182  1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  0.90909091  1.          0.90909091  1.          1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  0.81818182  0.90909091  1.        ]",1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
17,IPCAS_1_proba_csa_con_ROIv_scale125,binar,triangles,l1_l2_linf,standard,SGD,1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",0.987272727273,0.0364090625355,"[ 1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          0.81818182  1.          1.          1.
  1.          1.          0.90909091  0.90909091  0.90909091  1.          1.
  1.          1.          0.90909091  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]",1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",1.0,0.0,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]"
18,IPCAS_1_proba_csa_con_ROIv_scale125,max,bag_of_edges,l1_l2_linf,standard,LR,0.961538461538,0.0486504255411,"{'C': 0.05, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",0.958181818182,0.0580965283952,"[ 1.          1.          0.90909091  1.          1.          1.
  0.90909091  0.81818182  0.90909091  1.          0.90909091  0.90909091
  0.90909091  0.90909091  1.          1.          1.          0.90909091
  1.          1.          0.90909091  1.          1.          1.
  0.90909091  0.90909091  1.          0.90909091  1.          1.          1.
  0.90909091  1.          0.81818182  1.          1.          0.81818182
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.90909091  0.81818182  1.          0.90909091]",1.0,0.0,"{'C': 0.01, 'n_jobs': -1, 'fit_intercept': True, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 50, 'random_state': 0}",0.998666666667,0.00653197264742,"[ 1.          1.          1.          1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
19,IPCAS_1_proba_csa_con_ROIv_scale125,max,bag_of_edges,l1_l2_linf,standard,SGD,0.961538461538,0.0788226981997,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'log', 'alpha': 0.01, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",0.945454545455,0.0603022689156,"[ 1.          0.90909091  0.90909091  1.          1.          0.90909091
  0.81818182  0.81818182  0.90909091  1.          1.          0.90909091
  0.90909091  1.          1.          1.          1.          0.90909091
  1.          0.90909091  0.81818182  1.          1.          0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  0.90909091  1.
  0.81818182  0.90909091  1.          0.90909091  1.          1.
  0.90909091  1.          1.          1.          1.          1.          1.
  1.          0.90909091  1.          0.81818182  0.90909091  1.
  0.90909091]",1.0,0.0,"{'power_t': 0.5, 'n_iter': 50, 'learning_rate': 'optimal', 'loss': 'hinge', 'alpha': 0.001, 'n_jobs': -1, 'random_state': 0, 'verbose': 0, 'shuffle': True, 'penalty': 'elasticnet', 'epsilon': 0.1, 'fit_intercept': True, 'eta0': 0.0, 'class_weight': None, 'l1_ratio': 0}",0.998666666667,0.00653197264742,"[ 1.          1.          1.          1.          1.          1.          1.
  0.96666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          0.96666667  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.        ]"
